chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154684955	1	0	1	0	0	0
chr1	154684956	1	0	1	0	0	0
chr1	154684957	1	0	1	0	0	0
chr1	154684958	1	0	1	0	0	0
chr1	154684959	1	0	1	0	0	0
chr1	154684960	1	0	1	0	0	0
chr1	154684961	1	0	1	0	0	0
chr1	154684962	1	0	1	0	0	0
chr1	154684963	1	0	1	0	0	0
chr1	154684964	1	0	1	0	0	0
chr1	154684965	1	0	1	0	0	0
chr1	154684966	1	0	1	0	0	0
chr1	154684967	1	0	1	0	0	0
chr1	154684968	1	0	1	0	0	0
chr1	154684969	1	0	1	0	0	0
chr1	154684970	1	0	1	0	0	0
chr1	154684971	1	0	1	0	0	0
chr1	154684972	1	0	1	0	0	0
chr1	154684973	1	0	1	0	0	0
chr1	154684974	2	0	2	0	0	0
chr1	154684975	2	0	2	0	0	0
chr1	154684976	2	0	2	0	0	0
chr1	154684977	2	0	2	0	0	0
chr1	154684978	2	0	2	0	0	0
chr1	154684979	2	0	2	0	0	0
chr1	154684980	2	0	2	0	0	0
chr1	154684981	2	0	2	0	0	0
chr1	154684982	2	0	2	0	0	0
chr1	154684983	2	0	2	0	0	0
chr1	154684984	2	0	2	0	0	0
chr1	154684985	2	0	2	0	0	0
chr1	154684986	2	0	2	0	0	0
chr1	154684987	2	0	2	0	0	0
chr1	154684988	2	0	2	0	0	0
chr1	154684989	2	0	2	0	0	0
chr1	154684990	2	0	2	0	0	0
chr1	154684991	2	0	2	0	0	0
chr1	154684992	2	0	2	0	0	0
chr1	154684993	2	0	2	0	0	0
chr1	154684994	2	0	2	0	0	0
chr1	154684995	2	0	2	0	0	0
chr1	154684996	2	0	2	0	0	0
chr1	154684997	2	0	2	0	0	0
chr1	154684998	2	0	2	0	0	0
chr1	154684999	2	0	2	0	0	0
chr1	154685000	2	0	2	0	0	0
chr1	154685001	2	0	2	0	0	0
chr1	154685002	3	1	2	0	0	0
chr1	154685003	3	1	2	0	0	0
chr1	154685004	3	1	2	0	0	0
chr1	154685005	3	1	2	0	0	0
chr1	154685006	3	1	2	0	0	0
chr1	154685007	3	1	2	0	0	0
chr1	154685008	3	1	2	0	0	0
chr1	154685009	3	1	2	0	0	0
chr1	154685010	3	1	2	0	0	0
chr1	154685011	3	1	2	0	0	0
chr1	154685012	3	1	2	0	0	0
chr1	154685013	3	1	2	0	0	0
chr1	154685014	3	1	2	0	0	0
chr1	154685015	3	1	2	0	0	0
chr1	154685016	3	1	2	0	0	0
chr1	154685017	3	1	2	0	0	0
chr1	154685018	3	1	2	0	0	0
chr1	154685019	3	1	2	0	0	0
chr1	154685020	3	1	2	0	0	0
chr1	154685021	3	1	2	0	0	0
chr1	154685022	3	1	2	0	0	0
chr1	154685023	3	1	2	0	0	0
chr1	154685024	3	1	2	0	0	0
chr1	154685025	3	1	2	0	0	0
chr1	154685026	3	1	2	0	0	0
chr1	154685027	3	1	2	0	0	0
chr1	154685028	3	1	2	0	0	0
chr1	154685029	3	1	2	0	0	0
chr1	154685030	3	1	2	0	0	0
chr1	154685031	3	1	2	0	0	0
chr1	154685032	3	1	2	0	0	0
chr1	154685033	3	1	2	0	0	0
chr1	154685034	3	1	2	0	0	0
chr1	154685035	3	1	2	0	0	0
chr1	154685036	3	1	2	0	0	0
chr1	154685037	3	1	2	0	0	0
chr1	154685038	3	1	2	0	0	0
chr1	154685039	3	1	2	0	0	0
chr1	154685040	3	1	2	0	0	0
chr1	154685041	3	1	2	0	0	0
