chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154684940	1	0	1	0	0	0
chr1	154684941	1	0	1	0	0	0
chr1	154684942	1	0	1	0	0	0
chr1	154684943	1	0	1	0	0	0
chr1	154684944	1	0	1	0	0	0
chr1	154684945	1	0	1	0	0	0
chr1	154684946	1	0	1	0	0	0
chr1	154684947	1	0	1	0	0	0
chr1	154684948	1	0	1	0	0	0
chr1	154684949	1	0	1	0	0	0
chr1	154684950	1	0	1	0	0	0
chr1	154684951	1	0	1	0	0	0
chr1	154684952	1	0	1	0	0	0
chr1	154684953	1	0	1	0	0	0
chr1	154684954	1	0	1	0	0	0
chr1	154684955	1	0	1	0	0	0
chr1	154684956	1	0	1	0	0	0
chr1	154684957	1	0	1	0	0	0
chr1	154684958	1	0	1	0	0	0
chr1	154684959	1	0	1	0	0	0
chr1	154684960	1	0	1	0	0	0
chr1	154684961	1	0	1	0	0	0
chr1	154684962	1	0	1	0	0	0
chr1	154684963	1	0	1	0	0	0
chr1	154684964	1	0	1	0	0	0
chr1	154684965	1	0	1	0	0	0
chr1	154684966	1	0	1	0	0	0
chr1	154684967	1	0	1	0	0	0
chr1	154684968	1	0	1	0	0	0
chr1	154684969	1	0	1	0	0	0
chr1	154684970	1	0	1	0	0	0
chr1	154684971	1	0	1	0	0	0
chr1	154684972	1	0	1	0	0	0
chr1	154684973	1	0	1	0	0	0
chr1	154684974	1	0	1	0	0	0
chr1	154684975	1	0	1	0	0	0
chr1	154684976	1	0	1	0	0	0
chr1	154684977	1	0	1	0	0	0
chr1	154684978	1	0	1	0	0	0
chr1	154684979	1	0	1	0	0	0
chr1	154684980	1	0	1	0	0	0
chr1	154684981	1	0	1	0	0	0
chr1	154684982	1	0	1	0	0	0
chr1	154684983	1	0	1	0	0	0
chr1	154684984	1	0	1	0	0	0
chr1	154684985	1	0	1	0	0	0
chr1	154684986	1	0	1	0	0	0
chr1	154684987	1	0	1	0	0	0
chr1	154684988	1	0	1	0	0	0
chr1	154684989	1	0	1	0	0	0
chr1	154684990	1	0	1	0	0	0
chr1	154684991	1	0	1	0	0	0
chr1	154684992	1	0	1	0	0	0
chr1	154684993	1	0	1	0	0	0
chr1	154684994	1	0	1	0	0	0
chr1	154684995	1	0	1	0	0	0
chr1	154684996	2	1	1	0	0	0
chr1	154684997	2	1	1	0	0	0
chr1	154684998	2	1	1	0	0	0
chr1	154684999	2	1	1	0	0	0
chr1	154685000	2	1	1	0	0	0
chr1	154685001	2	1	1	0	0	0
chr1	154685002	2	1	1	0	0	0
chr1	154685003	2	1	1	0	0	0
chr1	154685004	2	1	1	0	0	0
chr1	154685005	2	1	1	0	0	0
chr1	154685006	2	1	1	0	0	0
chr1	154685007	2	1	1	0	0	0
chr1	154685008	2	1	1	0	0	0
chr1	154685009	2	1	1	0	0	0
chr1	154685010	2	1	1	0	0	0
chr1	154685011	2	1	1	0	0	0
chr1	154685012	2	1	1	0	0	0
chr1	154685013	2	1	1	0	0	0
chr1	154685014	2	1	1	0	0	0
chr1	154685015	2	1	1	0	0	0
chr1	154685016	2	1	1	0	0	0
chr1	154685017	2	1	1	0	0	0
chr1	154685018	2	1	1	0	0	0
chr1	154685019	2	1	1	0	0	0
chr1	154685020	2	1	1	0	0	0
chr1	154685021	2	1	1	0	0	0
chr1	154685022	2	1	1	0	0	0
chr1	154685023	2	1	1	0	0	0
chr1	154685024	2	1	1	0	0	0
chr1	154685025	2	1	1	0	0	0
chr1	154685026	2	1	1	0	0	0
chr1	154685027	2	1	1	0	0	0
chr1	154685028	2	1	1	0	0	0
chr1	154685029	2	1	1	0	0	0
chr1	154685030	2	1	1	0	0	0
chr1	154685031	2	1	1	0	0	0
chr1	154685032	2	1	1	0	0	0
chr1	154685033	2	1	1	0	0	0
chr1	154685034	2	1	1	0	0	0
chr1	154685035	2	1	1	0	0	0
chr1	154685036	2	1	1	0	0	0
chr1	154685037	2	1	1	0	0	0
chr1	154685038	2	1	1	0	0	0
chr1	154685039	2	1	1	0	0	0
chr1	154685040	2	1	1	0	0	0
chr1	154685041	1	1	0	0	0	0
chr1	154685042	1	1	0	0	0	0
chr1	154685043	1	1	0	0	0	0
chr1	154685044	1	1	0	0	0	0
chr1	154685045	1	1	0	0	0	0
chr1	154685046	1	1	0	0	0	0
chr1	154685047	1	1	0	0	0	0
chr1	154685048	1	1	0	0	0	0
chr1	154685049	1	1	0	0	0	0
chr1	154685050	1	1	0	0	0	0
chr1	154685051	1	1	0	0	0	0
chr1	154685052	1	1	0	0	0	0
chr1	154685053	1	1	0	0	0	0
chr1	154685054	1	1	0	0	0	0
chr1	154685055	1	1	0	0	0	0
chr1	154685056	1	1	0	0	0	0
chr1	154685057	1	1	0	0	0	0
chr1	154685058	1	1	0	0	0	0
chr1	154685059	1	1	0	0	0	0
chr1	154685060	1	1	0	0	0	0
chr1	154685061	1	1	0	0	0	0
chr1	154685062	1	1	0	0	0	0
chr1	154685063	1	1	0	0	0	0
chr1	154685064	1	1	0	0	0	0
chr1	154685065	1	1	0	0	0	0
chr1	154685066	1	1	0	0	0	0
chr1	154685067	1	1	0	0	0	0
chr1	154685068	1	1	0	0	0	0
chr1	154685069	1	1	0	0	0	0
chr1	154685070	1	1	0	0	0	0
chr1	154685071	1	1	0	0	0	0
chr1	154685072	1	1	0	0	0	0
chr1	154685073	1	1	0	0	0	0
chr1	154685074	1	1	0	0	0	0
chr1	154685075	1	1	0	0	0	0
chr1	154685076	1	1	0	0	0	0
chr1	154685077	1	1	0	0	0	0
chr1	154685078	1	1	0	0	0	0
chr1	154685079	1	1	0	0	0	0
chr1	154685080	1	1	0	0	0	0
chr1	154685081	1	1	0	0	0	0
chr1	154685082	1	1	0	0	0	0
chr1	154685083	1	1	0	0	0	0
chr1	154685084	1	1	0	0	0	0
chr1	154685085	1	1	0	0	0	0
chr1	154685086	1	1	0	0	0	0
chr1	154685087	1	1	0	0	0	0
chr1	154685088	1	1	0	0	0	0
chr1	154685089	1	1	0	0	0	0
chr1	154685090	1	1	0	0	0	0
chr1	154685091	1	1	0	0	0	0
chr1	154685092	1	1	0	0	0	0
chr1	154685093	1	1	0	0	0	0
chr1	154685094	1	1	0	0	0	0
chr1	154685095	1	1	0	0	0	0
chr1	154685096	1	1	0	0	0	0
chr1	154685153	1	0	1	0	0	0
chr1	154685154	1	0	1	0	0	0
chr1	154685155	1	0	1	0	0	0
chr1	154685156	1	0	1	0	0	0
chr1	154685157	1	0	1	0	0	0
chr1	154685158	1	0	1	0	0	0
chr1	154685159	1	0	1	0	0	0
chr1	154685160	1	0	1	0	0	0
chr1	154685161	1	0	1	0	0	0
chr1	154685162	1	0	1	0	0	0
chr1	154685163	1	0	1	0	0	0
chr1	154685164	1	0	1	0	0	0
chr1	154685165	1	0	1	0	0	0
chr1	154685166	1	0	1	0	0	0
chr1	154685167	1	0	1	0	0	0
chr1	154685168	1	0	1	0	0	0
chr1	154685169	1	0	1	0	0	0
chr1	154685170	1	0	1	0	0	0
chr1	154685171	1	0	1	0	0	0
chr1	154685172	1	0	1	0	0	0
chr1	154685173	1	0	1	0	0	0
chr1	154685174	1	0	1	0	0	0
chr1	154685175	1	0	1	0	0	0
chr1	154685176	1	0	1	0	0	0
chr1	154685177	1	0	1	0	0	0
chr1	154685178	1	0	1	0	0	0
chr1	154685179	1	0	1	0	0	0
chr1	154685180	1	0	1	0	0	0
chr1	154685181	1	0	1	0	0	0
chr1	154685182	1	0	1	0	0	0
chr1	154685183	1	0	1	0	0	0
chr1	154685184	1	0	1	0	0	0
chr1	154685185	1	0	1	0	0	0
chr1	154685186	1	0	1	0	0	0
chr1	154685187	1	0	1	0	0	0
chr1	154685188	1	0	1	0	0	0
chr1	154685189	1	0	1	0	0	0
chr1	154685190	1	0	1	0	0	0
chr1	154685191	1	0	1	0	0	0
chr1	154685192	1	0	1	0	0	0
chr1	154685193	1	0	1	0	0	0
chr1	154685194	1	0	1	0	0	0
chr1	154685195	1	0	1	0	0	0
chr1	154685196	1	0	1	0	0	0
chr1	154685197	1	0	1	0	0	0
chr1	154685198	1	0	1	0	0	0
chr1	154685199	1	0	1	0	0	0
chr1	154685200	1	0	1	0	0	0
chr1	154685201	1	0	1	0	0	0
chr1	154685202	1	0	1	0	0	0
chr1	154685203	1	0	1	0	0	0
chr1	154685204	1	0	1	0	0	0
chr1	154685205	1	0	1	0	0	0
chr1	154685206	1	0	1	0	0	0
chr1	154685207	1	0	1	0	0	0
chr1	154685208	1	0	1	0	0	0
chr1	154685209	1	0	1	0	0	0
chr1	154685210	1	0	1	0	0	0
chr1	154685211	1	0	1	0	0	0
chr1	154685212	1	0	1	0	0	0
chr1	154685213	1	0	1	0	0	0
chr1	154685214	1	0	1	0	0	0
chr1	154685215	1	0	1	0	0	0
chr1	154685216	1	0	1	0	0	0
chr1	154685217	1	0	1	0	0	0
