chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr19	17941173	1	0	1	0	0	0
chr19	17941174	1	0	1	0	0	0
chr19	17941175	1	0	1	0	0	0
chr19	17941176	1	0	1	0	0	0
chr19	17941177	1	0	1	0	0	0
chr19	17941178	1	0	1	0	0	0
chr19	17941179	1	0	1	0	0	0
chr19	17941180	1	0	1	0	0	0
chr19	17941181	1	0	1	0	0	0
chr19	17941182	1	0	1	0	0	0
chr19	17941183	1	0	1	0	0	0
chr19	17941184	1	0	1	0	0	0
chr19	17941185	1	0	1	0	0	0
chr19	17941186	1	0	1	0	0	0
chr19	17941187	1	0	1	0	0	0
chr19	17941188	1	0	1	0	0	0
chr19	17941189	1	0	1	0	0	0
chr19	17941190	1	0	1	0	0	0
chr19	17941191	1	0	1	0	0	0
chr19	17941192	1	0	1	0	0	0
chr19	17941193	1	0	1	0	0	0
chr19	17941194	1	0	1	0	0	0
chr19	17941195	1	0	1	0	0	0
chr19	17941196	1	0	1	0	0	0
chr19	17941197	1	0	1	0	0	0
chr19	17941198	1	0	1	0	0	0
chr19	17941199	1	0	1	0	0	0
chr19	17941200	1	0	1	0	0	0
chr19	17941201	1	0	1	0	0	0
chr19	17941202	1	0	1	0	0	0
chr19	17941203	1	0	1	0	0	0
chr19	17941204	1	0	1	0	0	0
chr19	17941205	1	0	1	0	0	0
chr19	17941206	1	0	1	0	0	0
chr19	17941207	1	0	1	0	0	0
chr19	17941208	1	0	1	0	0	0
chr19	17941209	1	0	1	0	0	0
chr19	17941210	1	0	1	0	0	0
chr19	17941211	1	0	1	0	0	0
chr19	17941212	1	0	1	0	0	0
chr19	17941213	1	0	1	0	0	0
chr19	17941214	1	0	1	0	0	0
chr19	17941215	1	0	1	0	0	0
chr19	17941216	1	0	1	0	0	0
chr19	17941217	1	0	1	0	0	0
chr19	17941218	1	0	1	0	0	0
chr19	17941219	1	0	1	0	0	0
chr19	17941220	1	0	1	0	0	0
chr19	17941221	1	0	1	0	0	0
chr19	17941222	1	0	1	0	0	0
chr19	17941223	1	0	1	0	0	0
chr19	17941224	1	0	1	0	0	0
chr19	17941225	1	0	1	0	0	0
chr19	17941226	1	0	1	0	0	0
chr19	17941227	1	0	1	0	0	0
