chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr19	17940031	1	1	0	0	0	0
chr19	17940032	1	1	0	0	0	0
chr19	17940033	1	1	0	0	0	0
chr19	17940034	1	1	0	0	0	0
chr19	17940035	1	1	0	0	0	0
chr19	17940036	1	1	0	0	0	0
chr19	17940037	1	1	0	0	0	0
chr19	17940038	1	1	0	0	0	0
chr19	17940039	1	1	0	0	0	0
chr19	17940040	1	1	0	0	0	0
chr19	17940041	1	1	0	0	0	0
chr19	17940042	1	1	0	0	0	0
chr19	17940043	1	1	0	0	0	0
chr19	17940044	1	1	0	0	0	0
chr19	17940045	1	1	0	0	0	0
chr19	17940046	1	1	0	0	0	0
chr19	17940047	1	1	0	0	0	0
chr19	17940048	1	1	0	0	0	0
chr19	17940049	1	1	0	0	0	0
chr19	17940050	1	1	0	0	0	0
chr19	17940051	1	1	0	0	0	0
chr19	17940052	1	1	0	0	0	0
chr19	17940053	1	1	0	0	0	0
chr19	17940054	1	1	0	0	0	0
chr19	17940055	1	1	0	0	0	0
chr19	17940056	1	1	0	0	0	0
chr19	17940057	1	1	0	0	0	0
chr19	17940058	1	1	0	0	0	0
chr19	17940059	1	1	0	0	0	0
chr19	17940060	1	1	0	0	0	0
chr19	17940061	1	1	0	0	0	0
chr19	17940062	1	1	0	0	0	0
chr19	17940063	1	1	0	0	0	0
chr19	17940064	1	1	0	0	0	0
chr19	17940065	1	1	0	0	0	0
chr19	17940066	1	1	0	0	0	0
chr19	17940067	1	1	0	0	0	0
chr19	17940068	1	1	0	0	0	0
chr19	17940069	1	1	0	0	0	0
chr19	17940070	1	1	0	0	0	0
chr19	17940071	1	1	0	0	0	0
chr19	17940072	1	1	0	0	0	0
chr19	17940073	1	1	0	0	0	0
chr19	17940074	1	1	0	0	0	0
chr19	17940075	1	1	0	0	0	0
chr19	17940076	1	1	0	0	0	0
chr19	17940077	1	1	0	0	0	0
chr19	17940078	1	1	0	0	0	0
chr19	17940079	1	1	0	0	0	0
chr19	17940080	1	1	0	0	0	0
chr19	17940081	1	1	0	0	0	0
chr19	17940082	1	1	0	0	0	0
chr19	17940083	1	1	0	0	0	0
chr19	17940084	1	1	0	0	0	0
chr19	17940085	1	1	0	0	0	0
chr19	17940086	1	1	0	0	0	0
chr19	17940087	1	1	0	0	0	0
chr19	17940088	1	1	0	0	0	0
chr19	17940089	1	1	0	0	0	0
chr19	17940090	1	1	0	0	0	0
chr19	17940091	1	1	0	0	0	0
chr19	17940092	1	1	0	0	0	0
chr19	17940093	1	1	0	0	0	0
chr19	17940094	1	1	0	0	0	0
chr19	17940095	1	1	0	0	0	0
chr19	17940096	1	1	0	0	0	0
chr19	17940097	1	1	0	0	0	0
chr19	17940098	1	1	0	0	0	0
chr19	17940099	1	1	0	0	0	0
chr19	17940100	1	1	0	0	0	0
chr19	17940101	1	1	0	0	0	0
chr19	17940102	1	1	0	0	0	0
chr19	17940103	1	1	0	0	0	0
chr19	17940104	1	1	0	0	0	0
chr19	17940105	1	1	0	0	0	0
chr19	17940106	1	1	0	0	0	0
chr19	17940107	1	1	0	0	0	0
chr19	17940108	1	1	0	0	0	0
chr19	17940109	1	1	0	0	0	0
chr19	17940110	1	1	0	0	0	0
chr19	17940111	1	1	0	0	0	0
chr19	17940112	1	1	0	0	0	0
chr19	17940113	1	1	0	0	0	0
chr19	17940114	1	1	0	0	0	0
chr19	17940115	1	1	0	0	0	0
chr19	17940116	1	1	0	0	0	0
chr19	17940117	1	1	0	0	0	0
chr19	17940118	2	2	0	0	0	0
chr19	17940119	2	2	0	0	0	0
chr19	17940120	2	2	0	0	0	0
chr19	17940121	2	2	0	0	0	0
chr19	17940122	2	2	0	0	0	0
chr19	17940123	2	2	0	0	0	0
chr19	17940124	2	2	0	0	0	0
chr19	17940125	2	2	0	0	0	0
chr19	17940126	2	2	0	0	0	0
chr19	17940127	2	2	0	0	0	0
chr19	17940128	2	2	0	0	0	0
chr19	17940129	2	2	0	0	0	0
chr19	17940130	2	2	0	0	0	0
chr19	17940131	2	2	0	0	0	0
chr19	17940132	2	2	0	0	0	0
chr19	17940133	2	2	0	0	0	0
chr19	17940134	2	2	0	0	0	0
chr19	17940135	2	2	0	0	0	0
chr19	17940136	2	2	0	0	0	0
chr19	17940137	2	2	0	0	0	0
chr19	17940138	2	2	0	0	0	0
chr19	17940139	2	2	0	0	0	0
chr19	17940140	2	2	0	0	0	0
chr19	17940141	2	2	0	0	0	0
chr19	17940142	2	2	0	0	0	0
chr19	17940143	2	2	0	0	0	0
chr19	17940144	2	2	0	0	0	0
chr19	17940145	2	2	0	0	0	0
chr19	17940146	2	2	0	0	0	0
chr19	17940147	2	2	0	0	0	0
chr19	17940148	2	2	0	0	0	0
chr19	17940149	2	2	0	0	0	0
chr19	17940150	2	2	0	0	0	0
chr19	17940151	2	2	0	0	0	0
chr19	17940152	2	2	0	0	0	0
chr19	17940153	2	2	0	0	0	0
chr19	17940154	2	2	0	0	0	0
chr19	17940155	3	3	0	0	0	0
chr19	17940156	3	3	0	0	0	0
chr19	17940157	3	3	0	0	0	0
chr19	17940158	3	3	0	0	0	0
chr19	17940159	3	3	0	0	0	0
chr19	17940160	3	3	0	0	0	0
chr19	17940161	3	3	0	0	0	0
chr19	17940162	3	3	0	0	0	0
chr19	17940163	3	3	0	0	0	0
chr19	17940164	3	3	0	0	0	0
chr19	17940165	3	3	0	0	0	0
chr19	17940166	3	3	0	0	0	0
chr19	17940167	3	3	0	0	0	0
chr19	17940168	3	3	0	0	0	0
chr19	17940169	3	3	0	0	0	0
chr19	17940170	3	3	0	0	0	0
chr19	17940171	3	3	0	0	0	0
chr19	17940172	3	3	0	0	0	0
chr19	17940173	3	3	0	0	0	0
chr19	17940174	3	3	0	0	0	0
chr19	17940175	3	3	0	0	0	0
chr19	17940176	3	3	0	0	0	0
chr19	17940177	3	3	0	0	0	0
chr19	17940178	3	3	0	0	0	0
chr19	17940179	3	3	0	0	0	0
chr19	17940180	3	3	0	0	0	0
chr19	17940181	3	3	0	0	0	0
chr19	17940182	2	2	0	0	0	0
chr19	17940183	2	2	0	0	0	0
chr19	17940184	2	2	0	0	0	0
chr19	17940185	2	2	0	0	0	0
chr19	17940186	2	2	0	0	0	0
chr19	17940187	2	2	0	0	0	0
chr19	17940188	2	2	0	0	0	0
chr19	17940189	2	2	0	0	0	0
chr19	17940190	2	2	0	0	0	0
chr19	17940191	2	2	0	0	0	0
chr19	17940192	2	2	0	0	0	0
chr19	17940193	2	2	0	0	0	0
chr19	17940194	2	2	0	0	0	0
chr19	17940195	2	2	0	0	0	0
chr19	17940196	2	2	0	0	0	0
chr19	17940197	2	2	0	0	0	0
chr19	17940198	2	2	0	0	0	0
chr19	17940199	2	2	0	0	0	0
chr19	17940200	2	2	0	0	0	0
chr19	17940201	2	2	0	0	0	0
chr19	17940202	2	2	0	0	0	0
chr19	17940203	2	2	0	0	0	0
chr19	17940204	2	2	0	0	0	0
chr19	17940205	2	2	0	0	0	0
chr19	17940206	2	2	0	0	0	0
chr19	17940207	2	2	0	0	0	0
chr19	17940208	2	2	0	0	0	0
chr19	17940209	1	1	0	0	0	0
chr19	17940210	1	1	0	0	0	0
chr19	17940211	1	1	0	0	0	0
chr19	17940212	2	2	0	0	0	0
chr19	17940213	2	2	0	0	0	0
chr19	17940214	2	2	0	0	0	0
chr19	17940215	2	2	0	0	0	0
chr19	17940216	2	2	0	0	0	0
chr19	17940217	2	2	0	0	0	0
chr19	17940218	2	2	0	0	0	0
chr19	17940219	2	2	0	0	0	0
chr19	17940220	2	2	0	0	0	0
chr19	17940221	2	2	0	0	0	0
chr19	17940222	2	2	0	0	0	0
chr19	17940223	2	2	0	0	0	0
chr19	17940224	2	2	0	0	0	0
chr19	17940225	2	2	0	0	0	0
chr19	17940226	2	2	0	0	0	0
chr19	17940227	2	2	0	0	0	0
chr19	17940228	2	2	0	0	0	0
chr19	17940229	2	2	0	0	0	0
chr19	17940230	2	2	0	0	0	0
chr19	17940231	2	2	0	0	0	0
chr19	17940232	2	2	0	0	0	0
chr19	17940233	2	2	0	0	0	0
chr19	17940234	2	2	0	0	0	0
chr19	17940235	2	2	0	0	0	0
chr19	17940236	2	2	0	0	0	0
chr19	17940237	2	2	0	0	0	0
chr19	17940238	2	2	0	0	0	0
chr19	17940239	2	2	0	0	0	0
chr19	17940240	2	2	0	0	0	0
chr19	17940241	2	2	0	0	0	0
chr19	17940242	2	2	0	0	0	0
chr19	17940243	2	2	0	0	0	0
chr19	17940244	2	2	0	0	0	0
chr19	17940245	2	2	0	0	0	0
chr19	17940246	2	2	0	0	0	0
chr19	17940247	2	2	0	0	0	0
chr19	17940248	2	2	0	0	0	0
chr19	17940249	2	2	0	0	0	0
chr19	17940250	2	2	0	0	0	0
chr19	17940251	2	2	0	0	0	0
chr19	17940252	2	2	0	0	0	0
chr19	17940253	2	2	0	0	0	0
chr19	17940254	2	2	0	0	0	0
chr19	17940255	2	2	0	0	0	0
chr19	17940256	2	2	0	0	0	0
chr19	17940257	2	2	0	0	0	0
chr19	17940258	2	2	0	0	0	0
chr19	17940259	2	2	0	0	0	0
chr19	17940260	2	2	0	0	0	0
chr19	17940261	2	2	0	0	0	0
chr19	17940262	2	2	0	0	0	0
chr19	17940263	2	2	0	0	0	0
chr19	17940264	2	2	0	0	0	0
chr19	17940265	2	2	0	0	0	0
chr19	17940266	2	2	0	0	0	0
chr19	17940267	2	2	0	0	0	0
chr19	17940268	2	2	0	0	0	0
chr19	17940269	2	2	0	0	0	0
chr19	17940270	2	2	0	0	0	0
chr19	17940271	2	2	0	0	0	0
chr19	17940272	2	2	0	0	0	0
chr19	17940273	2	2	0	0	0	0
chr19	17940274	2	2	0	0	0	0
chr19	17940275	2	2	0	0	0	0
chr19	17940276	2	2	0	0	0	0
chr19	17940277	2	2	0	0	0	0
chr19	17940278	2	2	0	0	0	0
chr19	17940279	2	2	0	0	0	0
chr19	17940280	2	2	0	0	0	0
chr19	17940281	2	2	0	0	0	0
chr19	17940282	2	2	0	0	0	0
chr19	17940283	2	2	0	0	0	0
chr19	17940284	2	2	0	0	0	0
chr19	17940285	2	2	0	0	0	0
chr19	17940286	2	2	0	0	0	0
chr19	17940287	2	2	0	0	0	0
chr19	17940288	2	2	0	0	0	0
chr19	17940289	2	2	0	0	0	0
chr19	17940290	2	2	0	0	0	0
chr19	17940291	2	2	0	0	0	0
chr19	17940292	2	2	0	0	0	0
chr19	17940293	2	2	0	0	0	0
chr19	17940294	2	2	0	0	0	0
chr19	17940295	2	2	0	0	0	0
chr19	17940296	2	2	0	0	0	0
chr19	17940297	2	2	0	0	0	0
chr19	17940298	2	2	0	0	0	0
chr19	17940299	2	2	0	0	0	0
chr19	17940300	2	2	0	0	0	0
chr19	17940301	2	2	0	0	0	0
chr19	17940302	2	2	0	0	0	0
chr19	17940303	2	2	0	0	0	0
chr19	17940304	2	2	0	0	0	0
chr19	17940305	2	2	0	0	0	0
chr19	17940306	1	1	0	0	0	0
chr19	17940307	1	1	0	0	0	0
chr19	17940308	1	1	0	0	0	0
chr19	17940309	1	1	0	0	0	0
chr19	17940310	1	1	0	0	0	0
chr19	17940311	1	1	0	0	0	0
chr19	17940312	1	1	0	0	0	0
chr19	17940313	1	1	0	0	0	0
chr19	17940314	1	1	0	0	0	0
chr19	17940315	1	1	0	0	0	0
chr19	17940316	1	1	0	0	0	0
chr19	17940317	1	1	0	0	0	0
chr19	17940318	1	1	0	0	0	0
chr19	17940319	1	1	0	0	0	0
chr19	17940320	1	1	0	0	0	0
chr19	17940321	1	1	0	0	0	0
chr19	17940322	1	1	0	0	0	0
chr19	17940323	1	1	0	0	0	0
chr19	17940324	1	1	0	0	0	0
chr19	17940325	1	1	0	0	0	0
chr19	17940326	1	1	0	0	0	0
chr19	17940327	1	1	0	0	0	0
chr19	17940328	1	1	0	0	0	0
chr19	17940329	1	1	0	0	0	0
chr19	17940330	1	1	0	0	0	0
chr19	17940331	1	1	0	0	0	0
chr19	17940332	2	1	1	0	0	0
chr19	17940333	2	1	1	0	0	0
chr19	17940334	2	1	1	0	0	0
chr19	17940335	2	1	1	0	0	0
chr19	17940336	2	1	1	0	0	0
chr19	17940337	2	1	1	0	0	0
chr19	17940338	2	1	1	0	0	0
chr19	17940339	2	1	1	0	0	0
chr19	17940340	2	1	1	0	0	0
chr19	17940341	2	1	1	0	0	0
chr19	17940342	2	1	1	0	0	0
chr19	17940343	2	1	1	0	0	0
chr19	17940344	2	1	1	0	0	0
chr19	17940345	2	1	1	0	0	0
chr19	17940346	2	1	1	0	0	0
chr19	17940347	2	1	1	0	0	0
chr19	17940348	2	1	1	0	0	0
chr19	17940349	2	1	1	0	0	0
chr19	17940350	2	1	1	0	0	0
chr19	17940351	2	1	1	0	0	0
chr19	17940352	2	1	1	0	0	0
chr19	17940353	2	1	1	0	0	0
chr19	17940354	2	1	1	0	0	0
chr19	17940355	2	1	1	0	0	0
chr19	17940356	2	1	1	0	0	0
chr19	17940357	2	1	1	0	0	0
chr19	17940358	2	1	1	0	0	0
chr19	17940359	2	1	1	0	0	0
chr19	17940360	2	1	1	0	0	0
chr19	17940361	2	1	1	0	0	0
chr19	17940362	2	1	1	0	0	0
chr19	17940363	1	0	1	0	0	0
chr19	17940364	1	0	1	0	0	0
chr19	17940365	1	0	1	0	0	0
chr19	17940366	1	0	1	0	0	0
chr19	17940367	1	0	1	0	0	0
chr19	17940368	1	0	1	0	0	0
chr19	17940369	1	0	1	0	0	0
chr19	17940370	1	0	1	0	0	0
chr19	17940371	1	0	1	0	0	0
chr19	17940372	1	0	1	0	0	0
chr19	17940373	1	0	1	0	0	0
chr19	17940374	1	0	1	0	0	0
chr19	17940375	1	0	1	0	0	0
chr19	17940376	1	0	1	0	0	0
chr19	17940377	1	0	1	0	0	0
chr19	17940378	1	0	1	0	0	0
chr19	17940379	1	0	1	0	0	0
chr19	17940380	1	0	1	0	0	0
chr19	17940381	1	0	1	0	0	0
chr19	17940382	1	0	1	0	0	0
chr19	17940383	1	0	1	0	0	0
chr19	17940384	1	0	1	0	0	0
chr19	17940385	1	0	1	0	0	0
chr19	17940386	1	0	1	0	0	0
chr19	17940387	1	0	1	0	0	0
chr19	17940388	1	0	1	0	0	0
chr19	17940389	1	0	1	0	0	0
chr19	17940390	1	0	1	0	0	0
chr19	17940391	1	0	1	0	0	0
chr19	17940392	1	0	1	0	0	0
chr19	17940393	1	0	1	0	0	0
chr19	17940394	1	0	1	0	0	0
chr19	17940395	1	0	1	0	0	0
chr19	17940396	1	0	1	0	0	0
chr19	17940397	1	0	1	0	0	0
chr19	17940398	1	0	1	0	0	0
chr19	17940399	1	0	1	0	0	0
chr19	17940400	1	0	1	0	0	0
chr19	17940401	1	0	1	0	0	0
chr19	17940402	1	0	1	0	0	0
chr19	17940403	1	0	1	0	0	0
chr19	17940404	1	0	1	0	0	0
chr19	17940405	1	0	1	0	0	0
chr19	17940406	1	0	1	0	0	0
chr19	17940407	1	0	1	0	0	0
chr19	17940408	1	0	1	0	0	0
chr19	17940409	1	0	1	0	0	0
chr19	17940410	1	0	1	0	0	0
chr19	17940411	1	0	1	0	0	0
