chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr19	17940992	1	0	1	0	0	0
chr19	17940993	1	0	1	0	0	0
chr19	17940994	1	0	1	0	0	0
chr19	17940995	1	0	1	0	0	0
chr19	17940996	1	0	1	0	0	0
chr19	17940997	1	0	1	0	0	0
chr19	17940998	1	0	1	0	0	0
chr19	17940999	1	0	1	0	0	0
chr19	17941000	1	0	1	0	0	0
chr19	17941001	1	0	1	0	0	0
chr19	17941002	1	0	1	0	0	0
chr19	17941003	1	0	1	0	0	0
chr19	17941004	1	0	1	0	0	0
chr19	17941005	1	0	1	0	0	0
chr19	17941006	1	0	1	0	0	0
chr19	17941007	1	0	1	0	0	0
chr19	17941008	1	0	1	0	0	0
chr19	17941009	1	0	1	0	0	0
chr19	17941010	1	0	1	0	0	0
chr19	17941011	1	0	1	0	0	0
chr19	17941012	1	0	1	0	0	0
chr19	17941013	1	0	1	0	0	0
chr19	17941014	1	0	1	0	0	0
chr19	17941015	1	0	1	0	0	0
chr19	17941016	1	0	1	0	0	0
chr19	17941017	1	0	1	0	0	0
chr19	17941018	1	0	1	0	0	0
chr19	17941019	1	0	1	0	0	0
chr19	17941020	1	0	1	0	0	0
chr19	17941021	1	0	1	0	0	0
chr19	17941022	1	0	1	0	0	0
chr19	17941023	1	0	1	0	0	0
chr19	17941024	1	0	1	0	0	0
chr19	17941025	1	0	1	0	0	0
chr19	17941026	1	0	1	0	0	0
chr19	17941027	1	0	1	0	0	0
chr19	17941028	1	0	1	0	0	0
chr19	17941029	1	0	1	0	0	0
chr19	17941030	1	0	1	0	0	0
chr19	17941031	1	0	1	0	0	0
chr19	17941032	1	0	1	0	0	0
chr19	17941033	1	0	1	0	0	0
chr19	17941034	1	0	1	0	0	0
chr19	17941035	1	0	1	0	0	0
chr19	17941036	1	0	1	0	0	0
chr19	17941037	1	0	1	0	0	0
chr19	17941038	1	0	1	0	0	0
chr19	17941039	1	0	1	0	0	0
chr19	17941040	1	0	1	0	0	0
chr19	17941041	1	0	1	0	0	0
chr19	17941042	1	0	1	0	0	0
chr19	17941043	1	0	1	0	0	0
chr19	17941044	1	0	1	0	0	0
chr19	17941045	1	0	1	0	0	0
chr19	17941046	1	0	1	0	0	0
chr19	17941047	1	0	1	0	0	0
chr19	17941048	1	0	1	0	0	0
chr19	17941049	1	0	1	0	0	0
chr19	17941050	1	0	1	0	0	0
chr19	17941051	1	0	1	0	0	0
chr19	17941052	1	0	1	0	0	0
chr19	17941053	1	0	1	0	0	0
chr19	17941054	1	0	1	0	0	0
chr19	17941055	1	0	1	0	0	0
chr19	17941056	1	0	1	0	0	0
chr19	17941057	1	0	1	0	0	0
chr19	17941058	1	0	1	0	0	0
chr19	17941059	1	0	1	0	0	0
chr19	17941060	1	0	1	0	0	0
chr19	17941061	1	0	1	0	0	0
chr19	17941062	1	0	1	0	0	0
chr19	17941063	1	0	1	0	0	0
chr19	17941064	1	0	1	0	0	0
chr19	17941065	1	0	1	0	0	0
chr19	17941066	1	0	1	0	0	0
chr19	17941067	1	0	1	0	0	0
chr19	17941068	1	0	1	0	0	0
chr19	17941069	1	0	1	0	0	0
chr19	17941070	1	0	1	0	0	0
chr19	17941071	1	0	1	0	0	0
chr19	17941072	1	0	1	0	0	0
chr19	17941073	1	0	1	0	0	0
chr19	17941074	1	0	1	0	0	0
chr19	17941075	1	0	1	0	0	0
chr19	17941076	1	0	1	0	0	0
chr19	17941077	1	0	1	0	0	0
chr19	17941078	1	0	1	0	0	0
chr19	17941079	1	0	1	0	0	0
chr19	17941080	1	0	1	0	0	0
chr19	17941081	1	0	1	0	0	0
chr19	17941082	1	0	1	0	0	0
chr19	17941083	1	0	1	0	0	0
chr19	17941084	1	0	1	0	0	0
chr19	17941085	1	0	1	0	0	0
chr19	17941086	1	0	1	0	0	0
chr19	17941087	1	0	1	0	0	0
chr19	17941088	1	0	1	0	0	0
chr19	17941089	1	0	1	0	0	0
chr19	17941090	1	0	1	0	0	0
chr19	17941091	1	0	1	0	0	0
chr19	17941092	1	0	1	0	0	0
chr19	17941219	1	1	0	0	0	0
chr19	17941220	1	1	0	0	0	0
chr19	17941221	1	1	0	0	0	0
chr19	17941222	1	1	0	0	0	0
chr19	17941223	1	1	0	0	0	0
chr19	17941224	1	1	0	0	0	0
chr19	17941225	1	1	0	0	0	0
chr19	17941226	1	1	0	0	0	0
chr19	17941227	1	1	0	0	0	0
chr19	17941228	1	1	0	0	0	0
chr19	17941229	1	1	0	0	0	0
chr19	17941230	2	1	1	0	0	0
chr19	17941231	2	1	1	0	0	0
chr19	17941232	2	1	1	0	0	0
chr19	17941233	2	1	1	0	0	0
chr19	17941234	2	1	1	0	0	0
chr19	17941235	2	1	1	0	0	0
chr19	17941236	2	1	1	0	0	0
chr19	17941237	2	1	1	0	0	0
chr19	17941238	2	1	1	0	0	0
chr19	17941239	2	1	1	0	0	0
chr19	17941240	2	1	1	0	0	0
chr19	17941241	2	1	1	0	0	0
chr19	17941242	2	1	1	0	0	0
chr19	17941243	2	1	1	0	0	0
chr19	17941244	2	1	1	0	0	0
chr19	17941245	2	1	1	0	0	0
chr19	17941246	2	1	1	0	0	0
