chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154686271	1	1	0	0	0	0
chr1	154686272	1	1	0	0	0	0
chr1	154686273	1	1	0	0	0	0
chr1	154686274	1	1	0	0	0	0
chr1	154686275	1	1	0	0	0	0
chr1	154686276	1	1	0	0	0	0
chr1	154686277	1	1	0	0	0	0
chr1	154686278	1	1	0	0	0	0
chr1	154686279	1	1	0	0	0	0
chr1	154686280	1	1	0	0	0	0
chr1	154686281	1	1	0	0	0	0
chr1	154686282	1	1	0	0	0	0
chr1	154686283	1	1	0	0	0	0
chr1	154686284	1	1	0	0	0	0
chr1	154686285	1	1	0	0	0	0
chr1	154686286	1	1	0	0	0	0
chr1	154686287	1	1	0	0	0	0
chr1	154686288	1	1	0	0	0	0
chr1	154686289	1	1	0	0	0	0
chr1	154686290	1	1	0	0	0	0
chr1	154686291	1	1	0	0	0	0
chr1	154686292	1	1	0	0	0	0
chr1	154686293	1	1	0	0	0	0
chr1	154686294	1	1	0	0	0	0
chr1	154686295	1	1	0	0	0	0
chr1	154686296	1	1	0	0	0	0
chr1	154686297	1	1	0	0	0	0
chr1	154686298	1	1	0	0	0	0
chr1	154686299	1	1	0	0	0	0
chr1	154686300	1	1	0	0	0	0
chr1	154686301	1	1	0	0	0	0
chr1	154686302	1	1	0	0	0	0
chr1	154686303	1	1	0	0	0	0
chr1	154686304	1	1	0	0	0	0
chr1	154686305	1	1	0	0	0	0
chr1	154686306	1	1	0	0	0	0
chr1	154686307	1	1	0	0	0	0
chr1	154686308	1	1	0	0	0	0
chr1	154686309	1	1	0	0	0	0
chr1	154686310	1	1	0	0	0	0
chr1	154686311	1	1	0	0	0	0
chr1	154686312	1	1	0	0	0	0
chr1	154686313	1	1	0	0	0	0
chr1	154686314	1	1	0	0	0	0
chr1	154686315	1	1	0	0	0	0
chr1	154686316	1	1	0	0	0	0
chr1	154686317	1	1	0	0	0	0
chr1	154686318	1	1	0	0	0	0
chr1	154686319	1	1	0	0	0	0
chr1	154686320	1	1	0	0	0	0
chr1	154686321	1	1	0	0	0	0
chr1	154686322	1	1	0	0	0	0
chr1	154686323	1	1	0	0	0	0
chr1	154686324	1	1	0	0	0	0
chr1	154686325	1	1	0	0	0	0
chr1	154686326	1	1	0	0	0	0
chr1	154686327	1	1	0	0	0	0
chr1	154686328	1	1	0	0	0	0
chr1	154686329	1	1	0	0	0	0
chr1	154686330	1	1	0	0	0	0
chr1	154686331	1	1	0	0	0	0
chr1	154686332	1	1	0	0	0	0
chr1	154686333	1	1	0	0	0	0
chr1	154686334	1	1	0	0	0	0
chr1	154686335	1	1	0	0	0	0
chr1	154686336	1	1	0	0	0	0
chr1	154686337	1	1	0	0	0	0
chr1	154686338	1	1	0	0	0	0
chr1	154686339	1	1	0	0	0	0
chr1	154686340	1	1	0	0	0	0
chr1	154686341	1	1	0	0	0	0
chr1	154686342	1	1	0	0	0	0
chr1	154686343	1	1	0	0	0	0
chr1	154686344	1	1	0	0	0	0
chr1	154686345	1	1	0	0	0	0
chr1	154686346	1	1	0	0	0	0
chr1	154686347	1	1	0	0	0	0
chr1	154686348	1	1	0	0	0	0
chr1	154686349	1	1	0	0	0	0
chr1	154686350	1	1	0	0	0	0
chr1	154686351	1	1	0	0	0	0
chr1	154686352	1	1	0	0	0	0
chr1	154686353	1	1	0	0	0	0
