chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154684913	1	0	1	0	0	0
chr1	154684914	1	0	1	0	0	0
chr1	154684915	1	0	1	0	0	0
chr1	154684916	1	0	1	0	0	0
chr1	154684917	1	0	1	0	0	0
chr1	154684918	1	0	1	0	0	0
chr1	154684919	1	0	1	0	0	0
chr1	154684920	1	0	1	0	0	0
chr1	154684921	1	0	1	0	0	0
chr1	154684922	1	0	1	0	0	0
chr1	154684923	1	0	1	0	0	0
chr1	154684924	1	0	1	0	0	0
chr1	154684925	1	0	1	0	0	0
chr1	154684926	1	0	1	0	0	0
chr1	154684927	1	0	1	0	0	0
chr1	154684928	1	0	1	0	0	0
chr1	154684929	1	0	1	0	0	0
chr1	154684930	1	0	1	0	0	0
chr1	154684931	1	0	1	0	0	0
chr1	154684932	1	0	1	0	0	0
chr1	154684933	1	0	1	0	0	0
chr1	154684934	2	0	2	0	0	0
chr1	154684935	2	0	2	0	0	0
chr1	154684936	2	0	2	0	0	0
chr1	154684937	2	0	2	0	0	0
chr1	154684938	2	0	2	0	0	0
chr1	154684939	2	0	2	0	0	0
chr1	154684940	2	0	2	0	0	0
chr1	154684941	2	0	2	0	0	0
chr1	154684942	2	0	2	0	0	0
chr1	154684943	2	0	2	0	0	0
chr1	154684944	2	0	2	0	0	0
chr1	154684945	2	0	2	0	0	0
chr1	154684946	2	0	2	0	0	0
chr1	154684947	2	0	2	0	0	0
chr1	154684948	3	0	3	0	0	0
chr1	154684949	3	0	3	0	0	0
chr1	154684950	3	0	3	0	0	0
chr1	154684951	3	0	3	0	0	0
chr1	154684952	3	0	3	0	0	0
chr1	154684953	3	0	3	0	0	0
chr1	154684954	3	0	3	0	0	0
chr1	154684955	3	0	3	0	0	0
chr1	154684956	3	0	3	0	0	0
chr1	154684957	3	0	3	0	0	0
chr1	154684958	3	0	3	0	0	0
chr1	154684959	3	0	3	0	0	0
chr1	154684960	3	0	3	0	0	0
chr1	154684961	3	0	3	0	0	0
chr1	154684962	3	0	3	0	0	0
chr1	154684963	3	0	3	0	0	0
chr1	154684964	3	0	3	0	0	0
chr1	154684965	4	1	3	0	0	0
chr1	154684966	4	1	3	0	0	0
chr1	154684967	4	1	3	0	0	0
chr1	154684968	4	1	3	0	0	0
chr1	154684969	4	1	3	0	0	0
chr1	154684970	4	1	3	0	0	0
chr1	154684971	4	1	3	0	0	0
chr1	154684972	4	1	3	0	0	0
