chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154684921	1	0	1	0	0	0
chr1	154684922	1	0	1	0	0	0
chr1	154684923	1	0	1	0	0	0
chr1	154684924	1	0	1	0	0	0
chr1	154684925	1	0	1	0	0	0
chr1	154684926	1	0	1	0	0	0
chr1	154684927	1	0	1	0	0	0
chr1	154684928	1	0	1	0	0	0
chr1	154684929	1	0	1	0	0	0
chr1	154684930	1	0	1	0	0	0
chr1	154684931	1	0	1	0	0	0
chr1	154684932	1	0	1	0	0	0
chr1	154684933	1	0	1	0	0	0
chr1	154684934	1	0	1	0	0	0
chr1	154684935	1	0	1	0	0	0
chr1	154684936	1	0	1	0	0	0
chr1	154684937	1	0	1	0	0	0
chr1	154684938	2	1	1	0	0	0
chr1	154684939	2	1	1	0	0	0
chr1	154684940	2	1	1	0	0	0
chr1	154684941	2	1	1	0	0	0
chr1	154684942	2	1	1	0	0	0
chr1	154684943	2	1	1	0	0	0
chr1	154684944	2	1	1	0	0	0
chr1	154684945	2	1	1	0	0	0
chr1	154684946	2	1	1	0	0	0
chr1	154684947	2	1	1	0	0	0
chr1	154684948	2	1	1	0	0	0
chr1	154684949	2	1	1	0	0	0
chr1	154684950	2	1	1	0	0	0
chr1	154684951	2	1	1	0	0	0
chr1	154684952	2	1	1	0	0	0
chr1	154684953	2	1	1	0	0	0
chr1	154684954	2	1	1	0	0	0
chr1	154684955	2	1	1	0	0	0
chr1	154684956	2	1	1	0	0	0
chr1	154684957	2	1	1	0	0	0
chr1	154684958	2	1	1	0	0	0
chr1	154684959	2	1	1	0	0	0
chr1	154684960	2	1	1	0	0	0
chr1	154684961	2	1	1	0	0	0
chr1	154684962	2	1	1	0	0	0
chr1	154684963	2	1	1	0	0	0
chr1	154684964	2	1	1	0	0	0
chr1	154684965	2	1	1	0	0	0
chr1	154684966	2	1	1	0	0	0
chr1	154684967	2	1	1	0	0	0
chr1	154684968	2	1	1	0	0	0
chr1	154684969	2	1	1	0	0	0
chr1	154684970	2	1	1	0	0	0
chr1	154684971	2	1	1	0	0	0
chr1	154684972	2	1	1	0	0	0
chr1	154684973	2	1	1	0	0	0
chr1	154684974	2	1	1	0	0	0
chr1	154684975	2	1	1	0	0	0
chr1	154684976	2	1	1	0	0	0
chr1	154684977	2	1	1	0	0	0
chr1	154684978	2	1	1	0	0	0
chr1	154684979	2	1	1	0	0	0
chr1	154684980	2	1	1	0	0	0
chr1	154684981	2	1	1	0	0	0
chr1	154684982	2	1	1	0	0	0
chr1	154684983	2	1	1	0	0	0
chr1	154684984	2	1	1	0	0	0
chr1	154684985	2	1	1	0	0	0
chr1	154684986	2	1	1	0	0	0
chr1	154684987	2	1	1	0	0	0
chr1	154684988	2	1	1	0	0	0
chr1	154684989	2	1	1	0	0	0
chr1	154684990	2	1	1	0	0	0
chr1	154684991	2	1	1	0	0	0
chr1	154684992	2	1	1	0	0	0
chr1	154684993	2	1	1	0	0	0
chr1	154684994	2	1	1	0	0	0
chr1	154684995	2	1	1	0	0	0
chr1	154684996	2	1	1	0	0	0
chr1	154684997	2	1	1	0	0	0
chr1	154684998	2	1	1	0	0	0
chr1	154684999	2	1	1	0	0	0
chr1	154685000	2	1	1	0	0	0
chr1	154685001	2	1	1	0	0	0
chr1	154685002	2	1	1	0	0	0
chr1	154685003	2	1	1	0	0	0
chr1	154685004	2	1	1	0	0	0
chr1	154685005	3	1	2	0	0	0
chr1	154685006	3	1	2	0	0	0
chr1	154685007	3	1	2	0	0	0
chr1	154685008	3	1	2	0	0	0
chr1	154685009	3	1	2	0	0	0
chr1	154685010	3	1	2	0	0	0
chr1	154685011	3	1	2	0	0	0
chr1	154685012	3	1	2	0	0	0
chr1	154685013	3	1	2	0	0	0
chr1	154685014	3	1	2	0	0	0
chr1	154685015	3	1	2	0	0	0
chr1	154685016	3	1	2	0	0	0
chr1	154685017	3	1	2	0	0	0
chr1	154685018	3	1	2	0	0	0
chr1	154685019	3	1	2	0	0	0
chr1	154685020	3	1	2	0	0	0
chr1	154685021	3	1	2	0	0	0
chr1	154685022	2	1	1	0	0	0
chr1	154685023	2	1	1	0	0	0
chr1	154685024	2	1	1	0	0	0
chr1	154685025	2	1	1	0	0	0
chr1	154685026	2	1	1	0	0	0
chr1	154685027	2	1	1	0	0	0
chr1	154685028	2	1	1	0	0	0
chr1	154685029	2	1	1	0	0	0
chr1	154685030	2	1	1	0	0	0
chr1	154685031	2	1	1	0	0	0
chr1	154685032	2	1	1	0	0	0
chr1	154685033	2	1	1	0	0	0
chr1	154685034	2	1	1	0	0	0
chr1	154685035	3	2	1	0	0	0
chr1	154685036	3	2	1	0	0	0
chr1	154685037	3	2	1	0	0	0
chr1	154685038	3	2	1	0	0	0
chr1	154685039	2	1	1	0	0	0
chr1	154685040	2	1	1	0	0	0
chr1	154685041	2	1	1	0	0	0
chr1	154685042	2	1	1	0	0	0
chr1	154685043	2	1	1	0	0	0
chr1	154685044	2	1	1	0	0	0
chr1	154685045	2	1	1	0	0	0
chr1	154685046	2	1	1	0	0	0
chr1	154685047	2	1	1	0	0	0
chr1	154685048	2	1	1	0	0	0
chr1	154685049	2	1	1	0	0	0
chr1	154685050	2	1	1	0	0	0
chr1	154685051	2	1	1	0	0	0
chr1	154685052	2	1	1	0	0	0
chr1	154685053	2	1	1	0	0	0
chr1	154685054	2	1	1	0	0	0
chr1	154685055	2	1	1	0	0	0
chr1	154685056	2	1	1	0	0	0
chr1	154685057	2	1	1	0	0	0
chr1	154685058	2	1	1	0	0	0
chr1	154685059	2	1	1	0	0	0
chr1	154685060	2	1	1	0	0	0
chr1	154685061	2	1	1	0	0	0
chr1	154685062	2	1	1	0	0	0
chr1	154685063	2	1	1	0	0	0
chr1	154685064	2	1	1	0	0	0
chr1	154685065	2	1	1	0	0	0
chr1	154685066	2	1	1	0	0	0
chr1	154685067	2	1	1	0	0	0
chr1	154685068	2	1	1	0	0	0
chr1	154685069	2	1	1	0	0	0
chr1	154685070	2	1	1	0	0	0
chr1	154685071	2	1	1	0	0	0
chr1	154685072	2	1	1	0	0	0
chr1	154685073	2	1	1	0	0	0
chr1	154685074	2	1	1	0	0	0
chr1	154685075	2	1	1	0	0	0
chr1	154685076	3	1	2	0	0	0
chr1	154685077	3	1	2	0	0	0
chr1	154685078	3	1	2	0	0	0
chr1	154685079	3	1	2	0	0	0
chr1	154685080	3	1	2	0	0	0
chr1	154685081	3	1	2	0	0	0
chr1	154685082	3	1	2	0	0	0
chr1	154685083	3	1	2	0	0	0
chr1	154685084	3	1	2	0	0	0
chr1	154685085	3	1	2	0	0	0
chr1	154685086	3	1	2	0	0	0
chr1	154685087	3	1	2	0	0	0
chr1	154685088	3	1	2	0	0	0
chr1	154685089	3	1	2	0	0	0
chr1	154685090	3	1	2	0	0	0
chr1	154685091	3	1	2	0	0	0
chr1	154685092	3	1	2	0	0	0
chr1	154685093	3	1	2	0	0	0
chr1	154685094	3	1	2	0	0	0
chr1	154685095	3	1	2	0	0	0
chr1	154685096	3	1	2	0	0	0
chr1	154685097	3	1	2	0	0	0
chr1	154685098	3	1	2	0	0	0
chr1	154685099	3	1	2	0	0	0
chr1	154685100	3	1	2	0	0	0
chr1	154685101	3	1	2	0	0	0
chr1	154685102	3	1	2	0	0	0
chr1	154685103	3	1	2	0	0	0
chr1	154685104	3	1	2	0	0	0
chr1	154685105	3	1	2	0	0	0
chr1	154685106	2	1	1	0	0	0
chr1	154685107	2	1	1	0	0	0
chr1	154685108	2	1	1	0	0	0
chr1	154685109	2	1	1	0	0	0
chr1	154685110	2	1	1	0	0	0
chr1	154685111	2	1	1	0	0	0
chr1	154685112	2	1	1	0	0	0
chr1	154685113	2	1	1	0	0	0
chr1	154685114	2	1	1	0	0	0
chr1	154685115	2	1	1	0	0	0
chr1	154685116	2	1	1	0	0	0
chr1	154685117	2	1	1	0	0	0
chr1	154685118	2	1	1	0	0	0
chr1	154685119	2	1	1	0	0	0
chr1	154685120	2	1	1	0	0	0
chr1	154685121	2	1	1	0	0	0
chr1	154685122	2	1	1	0	0	0
chr1	154685123	2	1	1	0	0	0
chr1	154685124	2	1	1	0	0	0
chr1	154685125	2	1	1	0	0	0
chr1	154685126	2	1	1	0	0	0
chr1	154685127	2	1	1	0	0	0
chr1	154685128	2	1	1	0	0	0
chr1	154685129	2	1	1	0	0	0
chr1	154685130	2	1	1	0	0	0
chr1	154685131	2	1	1	0	0	0
chr1	154685132	2	1	1	0	0	0
chr1	154685133	2	1	1	0	0	0
chr1	154685134	2	1	1	0	0	0
chr1	154685135	2	1	1	0	0	0
chr1	154685136	1	0	1	0	0	0
chr1	154685137	1	0	1	0	0	0
chr1	154685138	1	0	1	0	0	0
chr1	154685139	1	0	1	0	0	0
chr1	154685140	1	0	1	0	0	0
chr1	154685141	1	0	1	0	0	0
chr1	154685142	1	0	1	0	0	0
chr1	154685143	1	0	1	0	0	0
chr1	154685144	1	0	1	0	0	0
chr1	154685145	1	0	1	0	0	0
chr1	154685146	1	0	1	0	0	0
chr1	154685147	2	0	2	0	0	0
chr1	154685148	2	0	2	0	0	0
chr1	154685149	2	0	2	0	0	0
chr1	154685150	2	0	2	0	0	0
chr1	154685151	2	0	2	0	0	0
chr1	154685152	2	0	2	0	0	0
chr1	154685153	2	0	2	0	0	0
chr1	154685154	2	0	2	0	0	0
chr1	154685155	2	0	2	0	0	0
chr1	154685156	2	0	2	0	0	0
chr1	154685157	2	0	2	0	0	0
chr1	154685158	2	0	2	0	0	0
chr1	154685159	2	0	2	0	0	0
chr1	154685160	2	0	2	0	0	0
chr1	154685161	2	0	2	0	0	0
chr1	154685162	2	0	2	0	0	0
chr1	154685163	2	0	2	0	0	0
chr1	154685164	2	0	2	0	0	0
chr1	154685165	2	0	2	0	0	0
chr1	154685166	2	0	2	0	0	0
chr1	154685167	2	0	2	0	0	0
chr1	154685168	2	0	2	0	0	0
chr1	154685169	2	0	2	0	0	0
