chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154684909	1	1	0	0	0	0
chr1	154684910	1	1	0	0	0	0
chr1	154684911	1	1	0	0	0	0
chr1	154684912	1	1	0	0	0	0
chr1	154684913	1	1	0	0	0	0
chr1	154684914	1	1	0	0	0	0
chr1	154684915	1	1	0	0	0	0
chr1	154684916	1	1	0	0	0	0
chr1	154684917	1	1	0	0	0	0
chr1	154684918	1	1	0	0	0	0
chr1	154684919	1	1	0	0	0	0
chr1	154684920	1	1	0	0	0	0
chr1	154684921	1	1	0	0	0	0
chr1	154684922	1	1	0	0	0	0
chr1	154684923	1	1	0	0	0	0
chr1	154684924	1	1	0	0	0	0
chr1	154684925	1	1	0	0	0	0
chr1	154684926	1	1	0	0	0	0
chr1	154684927	1	1	0	0	0	0
chr1	154684928	1	1	0	0	0	0
chr1	154684929	1	1	0	0	0	0
chr1	154684930	1	1	0	0	0	0
chr1	154684931	1	1	0	0	0	0
chr1	154684932	1	1	0	0	0	0
chr1	154684933	1	1	0	0	0	0
chr1	154684934	1	1	0	0	0	0
chr1	154684935	1	1	0	0	0	0
chr1	154684936	1	1	0	0	0	0
chr1	154684937	1	1	0	0	0	0
chr1	154684938	1	1	0	0	0	0
chr1	154684939	1	1	0	0	0	0
chr1	154684940	1	1	0	0	0	0
chr1	154684941	1	1	0	0	0	0
chr1	154684942	1	1	0	0	0	0
chr1	154684943	1	1	0	0	0	0
chr1	154684944	1	1	0	0	0	0
chr1	154684945	1	1	0	0	0	0
chr1	154684946	1	1	0	0	0	0
chr1	154684947	1	1	0	0	0	0
chr1	154684948	1	1	0	0	0	0
chr1	154684949	1	1	0	0	0	0
chr1	154684950	1	1	0	0	0	0
chr1	154684951	1	1	0	0	0	0
chr1	154684952	1	1	0	0	0	0
chr1	154684953	1	1	0	0	0	0
chr1	154684954	1	1	0	0	0	0
chr1	154684955	1	1	0	0	0	0
chr1	154684956	1	1	0	0	0	0
chr1	154684957	1	1	0	0	0	0
chr1	154684958	1	1	0	0	0	0
chr1	154684959	1	1	0	0	0	0
chr1	154684960	1	1	0	0	0	0
chr1	154684961	1	1	0	0	0	0
chr1	154684962	1	1	0	0	0	0
chr1	154684963	1	1	0	0	0	0
chr1	154684964	1	1	0	0	0	0
chr1	154684965	1	1	0	0	0	0
chr1	154684966	1	1	0	0	0	0
chr1	154684967	1	1	0	0	0	0
chr1	154684968	1	1	0	0	0	0
chr1	154684969	1	1	0	0	0	0
