chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154685140	1	1	0	0	0	0
chr1	154685141	1	1	0	0	0	0
chr1	154685142	1	1	0	0	0	0
chr1	154685143	1	1	0	0	0	0
chr1	154685144	1	1	0	0	0	0
chr1	154685145	1	1	0	0	0	0
chr1	154685146	1	1	0	0	0	0
chr1	154685147	1	1	0	0	0	0
chr1	154685148	1	1	0	0	0	0
chr1	154685149	1	1	0	0	0	0
chr1	154685150	1	1	0	0	0	0
chr1	154685151	1	1	0	0	0	0
chr1	154685152	1	1	0	0	0	0
chr1	154685153	1	1	0	0	0	0
chr1	154685154	1	1	0	0	0	0
chr1	154685155	1	1	0	0	0	0
chr1	154685156	1	1	0	0	0	0
chr1	154685157	1	1	0	0	0	0
chr1	154685158	1	1	0	0	0	0
chr1	154685159	1	1	0	0	0	0
chr1	154685160	1	1	0	0	0	0
chr1	154685161	1	1	0	0	0	0
chr1	154685162	1	1	0	0	0	0
chr1	154685163	1	1	0	0	0	0
chr1	154685164	1	1	0	0	0	0
chr1	154685165	1	1	0	0	0	0
chr1	154685166	1	1	0	0	0	0
chr1	154685167	1	1	0	0	0	0
chr1	154685168	1	1	0	0	0	0
chr1	154685169	1	1	0	0	0	0
chr1	154685170	1	1	0	0	0	0
chr1	154685171	1	1	0	0	0	0
chr1	154685172	1	1	0	0	0	0
chr1	154685173	1	1	0	0	0	0
chr1	154685174	1	1	0	0	0	0
chr1	154685175	1	1	0	0	0	0
chr1	154685176	1	1	0	0	0	0
chr1	154685177	1	1	0	0	0	0
chr1	154685178	1	1	0	0	0	0
chr1	154685179	1	1	0	0	0	0
chr1	154685180	1	1	0	0	0	0
chr1	154685181	1	1	0	0	0	0
chr1	154685182	1	1	0	0	0	0
chr1	154685183	1	1	0	0	0	0
chr1	154685184	1	1	0	0	0	0
chr1	154685185	1	1	0	0	0	0
chr1	154685186	1	1	0	0	0	0
chr1	154685187	1	1	0	0	0	0
chr1	154685188	1	1	0	0	0	0
chr1	154685189	1	1	0	0	0	0
chr1	154685190	1	1	0	0	0	0
chr1	154685191	1	1	0	0	0	0
chr1	154685192	1	1	0	0	0	0
chr1	154685193	1	1	0	0	0	0
chr1	154685194	1	1	0	0	0	0
chr1	154685195	1	1	0	0	0	0
chr1	154685196	1	1	0	0	0	0
chr1	154685197	1	1	0	0	0	0
chr1	154685198	1	1	0	0	0	0
chr1	154685199	1	1	0	0	0	0
chr1	154685200	1	1	0	0	0	0
chr1	154685201	1	1	0	0	0	0
chr1	154685202	1	1	0	0	0	0
chr1	154685203	1	1	0	0	0	0
chr1	154685204	1	1	0	0	0	0
chr1	154685205	1	1	0	0	0	0
chr1	154685206	1	1	0	0	0	0
chr1	154685207	1	1	0	0	0	0
chr1	154685208	1	1	0	0	0	0
chr1	154685209	1	1	0	0	0	0
chr1	154685210	1	1	0	0	0	0
chr1	154685211	1	1	0	0	0	0
chr1	154685212	1	1	0	0	0	0
chr1	154685213	1	1	0	0	0	0
chr1	154685214	1	1	0	0	0	0
chr1	154685215	1	1	0	0	0	0
chr1	154685216	1	1	0	0	0	0
chr1	154685217	1	1	0	0	0	0
chr1	154685218	1	1	0	0	0	0
chr1	154685219	1	1	0	0	0	0
chr1	154685220	1	1	0	0	0	0
chr1	154685221	1	1	0	0	0	0
chr1	154685222	1	1	0	0	0	0
chr1	154685223	1	1	0	0	0	0
chr1	154685224	2	1	1	0	0	0
chr1	154685225	2	1	1	0	0	0
chr1	154685226	2	1	1	0	0	0
chr1	154685227	2	1	1	0	0	0
chr1	154685228	2	1	1	0	0	0
chr1	154685229	2	1	1	0	0	0
chr1	154685230	2	1	1	0	0	0
chr1	154685231	2	1	1	0	0	0
chr1	154685232	2	1	1	0	0	0
chr1	154685233	2	1	1	0	0	0
chr1	154685234	2	1	1	0	0	0
chr1	154685235	2	1	1	0	0	0
chr1	154685236	2	1	1	0	0	0
chr1	154685237	2	1	1	0	0	0
chr1	154685238	2	1	1	0	0	0
chr1	154685239	2	1	1	0	0	0
chr1	154685240	2	1	1	0	0	0
chr1	154685241	1	0	1	0	0	0
chr1	154685242	1	0	1	0	0	0
chr1	154685243	1	0	1	0	0	0
chr1	154685244	1	0	1	0	0	0
chr1	154685245	1	0	1	0	0	0
chr1	154685246	1	0	1	0	0	0
chr1	154685247	1	0	1	0	0	0
chr1	154685248	1	0	1	0	0	0
chr1	154685249	1	0	1	0	0	0
chr1	154685250	1	0	1	0	0	0
chr1	154685251	1	0	1	0	0	0
chr1	154685252	1	0	1	0	0	0
chr1	154685253	1	0	1	0	0	0
chr1	154685254	1	0	1	0	0	0
chr1	154685255	1	0	1	0	0	0
chr1	154685256	1	0	1	0	0	0
chr1	154685257	1	0	1	0	0	0
chr1	154685258	1	0	1	0	0	0
chr1	154685259	1	0	1	0	0	0
chr1	154685260	1	0	1	0	0	0
chr1	154685261	1	0	1	0	0	0
chr1	154685262	1	0	1	0	0	0
chr1	154685263	1	0	1	0	0	0
chr1	154685264	1	0	1	0	0	0
chr1	154685265	1	0	1	0	0	0
chr1	154685266	1	0	1	0	0	0
chr1	154685267	1	0	1	0	0	0
chr1	154685268	1	0	1	0	0	0
chr1	154685269	1	0	1	0	0	0
chr1	154685270	1	0	1	0	0	0
chr1	154685271	1	0	1	0	0	0
chr1	154685272	1	0	1	0	0	0
chr1	154685273	1	0	1	0	0	0
chr1	154685274	1	0	1	0	0	0
chr1	154685275	1	0	1	0	0	0
chr1	154685276	1	0	1	0	0	0
chr1	154685277	1	0	1	0	0	0
chr1	154685278	1	0	1	0	0	0
chr1	154685279	1	0	1	0	0	0
chr1	154685280	1	0	1	0	0	0
chr1	154685281	1	0	1	0	0	0
chr1	154685282	1	0	1	0	0	0
chr1	154685283	1	0	1	0	0	0
chr1	154685284	1	0	1	0	0	0
chr1	154685285	1	0	1	0	0	0
chr1	154685286	1	0	1	0	0	0
chr1	154685287	1	0	1	0	0	0
chr1	154685288	1	0	1	0	0	0
chr1	154685289	1	0	1	0	0	0
chr1	154685290	1	0	1	0	0	0
chr1	154685291	1	0	1	0	0	0
chr1	154685292	1	0	1	0	0	0
chr1	154685293	1	0	1	0	0	0
chr1	154685294	1	0	1	0	0	0
chr1	154685295	1	0	1	0	0	0
chr1	154685296	1	0	1	0	0	0
chr1	154685297	1	0	1	0	0	0
chr1	154685298	1	0	1	0	0	0
chr1	154685299	1	0	1	0	0	0
chr1	154685300	1	0	1	0	0	0
chr1	154685301	1	0	1	0	0	0
chr1	154685302	1	0	1	0	0	0
chr1	154685303	1	0	1	0	0	0
chr1	154685304	1	0	1	0	0	0
chr1	154685305	1	0	1	0	0	0
chr1	154685306	1	0	1	0	0	0
chr1	154685307	1	0	1	0	0	0
chr1	154685308	1	0	1	0	0	0
chr1	154685309	1	0	1	0	0	0
chr1	154685310	1	0	1	0	0	0
chr1	154685311	1	0	1	0	0	0
chr1	154685312	1	0	1	0	0	0
chr1	154685313	1	0	1	0	0	0
chr1	154685314	1	0	1	0	0	0
chr1	154685315	1	0	1	0	0	0
chr1	154685316	1	0	1	0	0	0
chr1	154685317	1	0	1	0	0	0
chr1	154685318	1	0	1	0	0	0
chr1	154685319	1	0	1	0	0	0
chr1	154685320	1	0	1	0	0	0
chr1	154685321	1	0	1	0	0	0
chr1	154685322	1	0	1	0	0	0
chr1	154685323	1	0	1	0	0	0
chr1	154685324	1	0	1	0	0	0
chr1	154687007	1	1	0	0	0	0
chr1	154687008	1	1	0	0	0	0
chr1	154687009	1	1	0	0	0	0
chr1	154687010	1	1	0	0	0	0
chr1	154687011	1	1	0	0	0	0
chr1	154687012	1	1	0	0	0	0
chr1	154687013	1	1	0	0	0	0
chr1	154687014	1	1	0	0	0	0
chr1	154687015	1	1	0	0	0	0
chr1	154687016	1	1	0	0	0	0
chr1	154687017	1	1	0	0	0	0
chr1	154687018	1	1	0	0	0	0
chr1	154687019	1	1	0	0	0	0
chr1	154687020	1	1	0	0	0	0
chr1	154687021	1	1	0	0	0	0
chr1	154687022	1	1	0	0	0	0
chr1	154687023	1	1	0	0	0	0
chr1	154687024	1	1	0	0	0	0
chr1	154687025	1	1	0	0	0	0
chr1	154687026	1	1	0	0	0	0
chr1	154687027	1	1	0	0	0	0
chr1	154687028	1	1	0	0	0	0
chr1	154687029	1	1	0	0	0	0
chr1	154687030	1	1	0	0	0	0
chr1	154687031	1	1	0	0	0	0
chr1	154687032	1	1	0	0	0	0
chr1	154687033	1	1	0	0	0	0
chr1	154687034	1	1	0	0	0	0
chr1	154687035	1	1	0	0	0	0
chr1	154687036	1	1	0	0	0	0
chr1	154687037	1	1	0	0	0	0
chr1	154687038	1	1	0	0	0	0
chr1	154687039	1	1	0	0	0	0
chr1	154687040	1	1	0	0	0	0
chr1	154687041	1	1	0	0	0	0
chr1	154687042	1	1	0	0	0	0
chr1	154687043	1	1	0	0	0	0
chr1	154687044	1	1	0	0	0	0
chr1	154687045	1	1	0	0	0	0
chr1	154687046	1	1	0	0	0	0
chr1	154687047	1	1	0	0	0	0
chr1	154687048	1	1	0	0	0	0
chr1	154687049	1	1	0	0	0	0
chr1	154687050	1	1	0	0	0	0
chr1	154687051	1	1	0	0	0	0
chr1	154687052	1	1	0	0	0	0
chr1	154687053	1	1	0	0	0	0
chr1	154687054	1	1	0	0	0	0
chr1	154687055	1	1	0	0	0	0
chr1	154687056	1	1	0	0	0	0
chr1	154687057	1	1	0	0	0	0
chr1	154687058	1	1	0	0	0	0
chr1	154687059	1	1	0	0	0	0
chr1	154687060	1	1	0	0	0	0
chr1	154687061	1	1	0	0	0	0
chr1	154687062	1	1	0	0	0	0
chr1	154687063	1	1	0	0	0	0
chr1	154687064	1	1	0	0	0	0
chr1	154687065	1	1	0	0	0	0
chr1	154687066	1	1	0	0	0	0
chr1	154687067	1	1	0	0	0	0
chr1	154687068	1	1	0	0	0	0
chr1	154687069	1	1	0	0	0	0
chr1	154687070	1	1	0	0	0	0
chr1	154687071	1	1	0	0	0	0
chr1	154687072	1	1	0	0	0	0
chr1	154687073	1	1	0	0	0	0
chr1	154687074	1	1	0	0	0	0
chr1	154687075	1	1	0	0	0	0
chr1	154687076	1	1	0	0	0	0
chr1	154687077	1	1	0	0	0	0
chr1	154687078	1	1	0	0	0	0
chr1	154687079	1	1	0	0	0	0
chr1	154687080	1	1	0	0	0	0
chr1	154687081	1	1	0	0	0	0
chr1	154687082	1	1	0	0	0	0
chr1	154687083	1	1	0	0	0	0
chr1	154687084	1	1	0	0	0	0
chr1	154687085	1	1	0	0	0	0
chr1	154687086	1	1	0	0	0	0
chr1	154687087	1	1	0	0	0	0
chr1	154687088	1	1	0	0	0	0
chr1	154687089	1	1	0	0	0	0
chr1	154687090	1	1	0	0	0	0
chr1	154687091	1	1	0	0	0	0
chr1	154687092	1	1	0	0	0	0
chr1	154687093	1	1	0	0	0	0
chr1	154687094	1	1	0	0	0	0
chr1	154687095	1	1	0	0	0	0
chr1	154687096	1	1	0	0	0	0
chr1	154687097	1	1	0	0	0	0
chr1	154687098	1	1	0	0	0	0
chr1	154687099	1	1	0	0	0	0
chr1	154687100	1	1	0	0	0	0
chr1	154687101	1	1	0	0	0	0
chr1	154687102	1	1	0	0	0	0
chr1	154687103	1	1	0	0	0	0
chr1	154687104	1	1	0	0	0	0
chr1	154687105	1	1	0	0	0	0
chr1	154687106	1	1	0	0	0	0
chr1	154687107	1	1	0	0	0	0
chr1	154687323	1	1	0	0	0	0
chr1	154687324	1	1	0	0	0	0
chr1	154687325	1	1	0	0	0	0
chr1	154687326	1	1	0	0	0	0
chr1	154687327	1	1	0	0	0	0
chr1	154687328	1	1	0	0	0	0
chr1	154687329	1	1	0	0	0	0
chr1	154687330	1	1	0	0	0	0
chr1	154687331	1	1	0	0	0	0
chr1	154687332	1	1	0	0	0	0
chr1	154687333	1	1	0	0	0	0
chr1	154687334	1	1	0	0	0	0
chr1	154687335	1	1	0	0	0	0
chr1	154687336	1	1	0	0	0	0
chr1	154687337	1	1	0	0	0	0
chr1	154687338	1	1	0	0	0	0
chr1	154687339	1	1	0	0	0	0
chr1	154687340	1	1	0	0	0	0
chr1	154687341	1	1	0	0	0	0
chr1	154687342	1	1	0	0	0	0
chr1	154687343	1	1	0	0	0	0
chr1	154687344	1	1	0	0	0	0
chr1	154687345	1	1	0	0	0	0
chr1	154687346	1	1	0	0	0	0
chr1	154687347	1	1	0	0	0	0
chr1	154687348	1	1	0	0	0	0
chr1	154687349	1	1	0	0	0	0
chr1	154687350	1	1	0	0	0	0
chr1	154687351	1	1	0	0	0	0
chr1	154687352	1	1	0	0	0	0
chr1	154687353	1	1	0	0	0	0
chr1	154687354	1	1	0	0	0	0
chr1	154687355	1	1	0	0	0	0
chr1	154687356	1	1	0	0	0	0
chr1	154687357	1	1	0	0	0	0
chr1	154687358	1	1	0	0	0	0
chr1	154687359	1	1	0	0	0	0
chr1	154687360	1	1	0	0	0	0
chr1	154687361	1	1	0	0	0	0
chr1	154687362	1	1	0	0	0	0
chr1	154687363	1	1	0	0	0	0
chr1	154687364	1	1	0	0	0	0
chr1	154687365	1	1	0	0	0	0
chr1	154687366	1	1	0	0	0	0
chr1	154687367	1	1	0	0	0	0
chr1	154687368	1	1	0	0	0	0
chr1	154687369	1	1	0	0	0	0
chr1	154687370	1	1	0	0	0	0
chr1	154687371	1	1	0	0	0	0
chr1	154687372	1	1	0	0	0	0
chr1	154687373	1	1	0	0	0	0
chr1	154687374	1	1	0	0	0	0
chr1	154687375	1	1	0	0	0	0
chr1	154687376	1	1	0	0	0	0
chr1	154687377	1	1	0	0	0	0
chr1	154687378	1	1	0	0	0	0
chr1	154687379	1	1	0	0	0	0
chr1	154687380	1	1	0	0	0	0
chr1	154687381	1	1	0	0	0	0
