chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154685612	1	0	1	0	0	0
chr1	154685613	1	0	1	0	0	0
chr1	154685614	1	0	1	0	0	0
chr1	154685615	1	0	1	0	0	0
chr1	154685616	1	0	1	0	0	0
chr1	154685617	1	0	1	0	0	0
chr1	154685618	1	0	1	0	0	0
chr1	154685619	1	0	1	0	0	0
chr1	154685620	1	0	1	0	0	0
chr1	154685621	1	0	1	0	0	0
chr1	154685622	1	0	1	0	0	0
chr1	154685623	1	0	1	0	0	0
chr1	154685624	1	0	1	0	0	0
chr1	154685625	1	0	1	0	0	0
chr1	154685626	1	0	1	0	0	0
chr1	154685627	1	0	1	0	0	0
chr1	154685628	1	0	1	0	0	0
chr1	154685629	1	0	1	0	0	0
chr1	154685630	1	0	1	0	0	0
chr1	154685631	1	0	1	0	0	0
chr1	154685632	1	0	1	0	0	0
chr1	154685633	1	0	1	0	0	0
chr1	154685634	1	0	1	0	0	0
chr1	154685635	1	0	1	0	0	0
chr1	154685636	1	0	1	0	0	0
chr1	154685637	1	0	1	0	0	0
chr1	154685638	1	0	1	0	0	0
chr1	154685639	1	0	1	0	0	0
chr1	154685640	1	0	1	0	0	0
chr1	154685641	1	0	1	0	0	0
chr1	154685642	1	0	1	0	0	0
chr1	154685643	1	0	1	0	0	0
chr1	154685644	1	0	1	0	0	0
chr1	154685645	1	0	1	0	0	0
chr1	154685646	1	0	1	0	0	0
chr1	154685647	1	0	1	0	0	0
chr1	154685648	1	0	1	0	0	0
chr1	154685649	1	0	1	0	0	0
chr1	154685650	1	0	1	0	0	0
chr1	154685651	1	0	1	0	0	0
chr1	154685652	1	0	1	0	0	0
chr1	154685653	1	0	1	0	0	0
chr1	154685654	1	0	1	0	0	0
chr1	154685655	1	0	1	0	0	0
chr1	154685656	1	0	1	0	0	0
chr1	154685657	1	0	1	0	0	0
chr1	154685658	1	0	1	0	0	0
chr1	154685659	1	0	1	0	0	0
chr1	154685660	1	0	1	0	0	0
chr1	154685661	1	0	1	0	0	0
chr1	154685662	1	0	1	0	0	0
chr1	154685663	1	0	1	0	0	0
chr1	154685664	1	0	1	0	0	0
chr1	154685665	1	0	1	0	0	0
chr1	154685666	1	0	1	0	0	0
chr1	154685667	1	0	1	0	0	0
chr1	154685668	1	0	1	0	0	0
chr1	154685669	1	0	1	0	0	0
chr1	154685670	1	0	1	0	0	0
chr1	154685671	1	0	1	0	0	0
chr1	154685672	1	0	1	0	0	0
chr1	154685673	1	0	1	0	0	0
chr1	154685674	1	0	1	0	0	0
chr1	154685675	1	0	1	0	0	0
chr1	154685676	1	0	1	0	0	0
chr1	154685677	1	0	1	0	0	0
chr1	154685678	1	0	1	0	0	0
chr1	154685679	1	0	1	0	0	0
chr1	154685680	1	0	1	0	0	0
chr1	154685681	1	0	1	0	0	0
chr1	154685682	1	0	1	0	0	0
chr1	154685683	1	0	1	0	0	0
chr1	154685684	1	0	1	0	0	0
chr1	154685685	1	0	1	0	0	0
chr1	154685686	1	0	1	0	0	0
chr1	154685687	1	0	1	0	0	0
chr1	154685688	1	0	1	0	0	0
chr1	154685689	1	0	1	0	0	0
chr1	154685690	1	0	1	0	0	0
chr1	154685691	1	0	1	0	0	0
chr1	154685692	1	0	1	0	0	0
chr1	154685693	1	0	1	0	0	0
chr1	154685694	1	0	1	0	0	0
chr1	154685695	1	0	1	0	0	0
chr1	154685696	1	0	1	0	0	0
chr1	154685697	1	0	1	0	0	0
chr1	154685698	1	0	1	0	0	0
chr1	154685699	1	0	1	0	0	0
chr1	154685700	1	0	1	0	0	0
chr1	154685701	1	0	1	0	0	0
chr1	154685702	1	0	1	0	0	0
chr1	154685703	1	0	1	0	0	0
chr1	154685704	1	0	1	0	0	0
chr1	154685705	1	0	1	0	0	0
chr1	154685706	1	0	1	0	0	0
chr1	154685707	1	0	1	0	0	0
chr1	154685708	1	0	1	0	0	0
chr1	154685709	1	0	1	0	0	0
chr1	154685710	1	0	1	0	0	0
chr1	154685711	1	0	1	0	0	0
chr1	154685712	1	0	1	0	0	0
chr1	154686018	1	1	0	0	0	0
chr1	154686019	1	1	0	0	0	0
chr1	154686020	1	1	0	0	0	0
chr1	154686021	1	1	0	0	0	0
chr1	154686022	1	1	0	0	0	0
chr1	154686023	1	1	0	0	0	0
chr1	154686024	1	1	0	0	0	0
chr1	154686025	1	1	0	0	0	0
chr1	154686026	1	1	0	0	0	0
chr1	154686027	1	1	0	0	0	0
chr1	154686028	1	1	0	0	0	0
chr1	154686029	1	1	0	0	0	0
chr1	154686030	1	1	0	0	0	0
chr1	154686031	1	1	0	0	0	0
chr1	154686032	1	1	0	0	0	0
chr1	154686033	1	1	0	0	0	0
chr1	154686034	1	1	0	0	0	0
chr1	154686035	1	1	0	0	0	0
chr1	154686036	1	1	0	0	0	0
chr1	154686037	1	1	0	0	0	0
chr1	154686038	1	1	0	0	0	0
chr1	154686039	1	1	0	0	0	0
chr1	154686040	1	1	0	0	0	0
chr1	154686041	1	1	0	0	0	0
chr1	154686042	1	1	0	0	0	0
chr1	154686043	1	1	0	0	0	0
chr1	154686044	1	1	0	0	0	0
chr1	154686045	1	1	0	0	0	0
chr1	154686046	1	1	0	0	0	0
chr1	154686047	1	1	0	0	0	0
chr1	154686048	1	1	0	0	0	0
chr1	154686049	1	1	0	0	0	0
chr1	154686050	1	1	0	0	0	0
chr1	154686051	1	1	0	0	0	0
chr1	154686052	1	1	0	0	0	0
chr1	154686053	1	1	0	0	0	0
chr1	154686054	1	1	0	0	0	0
chr1	154686055	1	1	0	0	0	0
chr1	154686056	1	1	0	0	0	0
chr1	154686057	1	1	0	0	0	0
chr1	154686058	1	1	0	0	0	0
chr1	154686059	1	1	0	0	0	0
chr1	154686060	1	1	0	0	0	0
chr1	154686061	1	1	0	0	0	0
chr1	154686062	1	1	0	0	0	0
chr1	154686063	1	1	0	0	0	0
chr1	154686064	1	1	0	0	0	0
chr1	154686065	1	1	0	0	0	0
chr1	154686066	1	1	0	0	0	0
chr1	154686067	1	1	0	0	0	0
chr1	154686068	1	1	0	0	0	0
chr1	154686069	1	1	0	0	0	0
chr1	154686070	1	1	0	0	0	0
chr1	154686071	1	1	0	0	0	0
chr1	154686072	1	1	0	0	0	0
chr1	154686073	1	1	0	0	0	0
chr1	154686074	1	1	0	0	0	0
chr1	154686075	1	1	0	0	0	0
chr1	154686076	1	1	0	0	0	0
chr1	154686077	1	1	0	0	0	0
chr1	154686078	1	1	0	0	0	0
chr1	154686079	1	1	0	0	0	0
chr1	154686080	1	1	0	0	0	0
chr1	154686081	1	1	0	0	0	0
chr1	154686082	1	1	0	0	0	0
chr1	154686083	1	1	0	0	0	0
chr1	154686084	1	1	0	0	0	0
chr1	154686085	1	1	0	0	0	0
chr1	154686086	1	1	0	0	0	0
chr1	154686087	1	1	0	0	0	0
chr1	154686088	1	1	0	0	0	0
chr1	154686089	1	1	0	0	0	0
chr1	154686090	1	1	0	0	0	0
chr1	154686091	1	1	0	0	0	0
chr1	154686092	1	1	0	0	0	0
chr1	154686093	1	1	0	0	0	0
chr1	154686094	1	1	0	0	0	0
chr1	154686095	1	1	0	0	0	0
chr1	154686096	1	1	0	0	0	0
chr1	154686097	1	1	0	0	0	0
chr1	154686098	1	1	0	0	0	0
chr1	154686099	1	1	0	0	0	0
chr1	154686100	1	1	0	0	0	0
chr1	154686101	1	1	0	0	0	0
chr1	154686102	1	1	0	0	0	0
chr1	154686103	1	1	0	0	0	0
chr1	154686104	1	1	0	0	0	0
chr1	154686105	1	1	0	0	0	0
chr1	154686106	1	1	0	0	0	0
chr1	154686107	1	1	0	0	0	0
chr1	154686108	1	1	0	0	0	0
chr1	154686109	1	1	0	0	0	0
chr1	154686110	1	1	0	0	0	0
chr1	154686111	1	1	0	0	0	0
chr1	154686112	1	1	0	0	0	0
chr1	154686113	1	1	0	0	0	0
chr1	154686114	1	1	0	0	0	0
chr1	154686115	1	1	0	0	0	0
chr1	154686116	1	1	0	0	0	0
chr1	154686117	1	1	0	0	0	0
chr1	154686118	1	1	0	0	0	0
chr1	154686183	1	0	1	0	0	0
chr1	154686184	1	0	1	0	0	0
chr1	154686185	1	0	1	0	0	0
chr1	154686186	1	0	1	0	0	0
chr1	154686187	1	0	1	0	0	0
chr1	154686188	1	0	1	0	0	0
chr1	154686189	1	0	1	0	0	0
chr1	154686190	1	0	1	0	0	0
chr1	154686191	1	0	1	0	0	0
chr1	154686192	2	0	2	0	0	0
chr1	154686193	2	0	2	0	0	0
chr1	154686194	2	0	2	0	0	0
chr1	154686195	2	0	2	0	0	0
chr1	154686196	2	0	2	0	0	0
chr1	154686197	2	0	2	0	0	0
chr1	154686198	2	0	2	0	0	0
chr1	154686199	2	0	2	0	0	0
chr1	154686200	2	0	2	0	0	0
chr1	154686201	2	0	2	0	0	0
chr1	154686202	2	0	2	0	0	0
chr1	154686203	2	0	2	0	0	0
chr1	154686204	2	0	2	0	0	0
chr1	154686205	2	0	2	0	0	0
chr1	154686206	2	0	2	0	0	0
chr1	154686207	2	0	2	0	0	0
chr1	154686208	2	0	2	0	0	0
chr1	154686209	2	0	2	0	0	0
chr1	154686210	2	0	2	0	0	0
chr1	154686211	2	0	2	0	0	0
chr1	154686212	2	0	2	0	0	0
chr1	154686213	2	0	2	0	0	0
chr1	154686214	2	0	2	0	0	0
chr1	154686215	2	0	2	0	0	0
chr1	154686216	2	0	2	0	0	0
chr1	154686217	2	0	2	0	0	0
chr1	154686218	2	0	2	0	0	0
chr1	154686219	2	0	2	0	0	0
chr1	154686220	2	0	2	0	0	0
chr1	154686221	2	0	2	0	0	0
chr1	154686222	2	0	2	0	0	0
chr1	154686223	2	0	2	0	0	0
chr1	154686224	2	0	2	0	0	0
chr1	154686225	2	0	2	0	0	0
chr1	154686226	2	0	2	0	0	0
chr1	154686227	2	0	2	0	0	0
chr1	154686228	2	0	2	0	0	0
chr1	154686229	2	0	2	0	0	0
chr1	154686230	2	0	2	0	0	0
chr1	154686231	2	0	2	0	0	0
chr1	154686232	2	0	2	0	0	0
chr1	154686233	2	0	2	0	0	0
chr1	154686234	2	0	2	0	0	0
chr1	154686235	2	0	2	0	0	0
chr1	154686236	2	0	2	0	0	0
chr1	154686237	2	0	2	0	0	0
chr1	154686238	2	0	2	0	0	0
chr1	154686239	2	0	2	0	0	0
chr1	154686240	2	0	2	0	0	0
chr1	154686241	2	0	2	0	0	0
chr1	154686242	2	0	2	0	0	0
chr1	154686243	2	0	2	0	0	0
chr1	154686244	2	0	2	0	0	0
chr1	154686245	2	0	2	0	0	0
chr1	154686246	2	0	2	0	0	0
chr1	154686247	2	0	2	0	0	0
chr1	154686248	2	0	2	0	0	0
chr1	154686249	2	0	2	0	0	0
chr1	154686250	2	0	2	0	0	0
chr1	154686251	2	0	2	0	0	0
chr1	154686252	2	0	2	0	0	0
chr1	154686253	2	0	2	0	0	0
chr1	154686254	2	0	2	0	0	0
chr1	154686255	2	0	2	0	0	0
chr1	154686256	2	0	2	0	0	0
chr1	154686257	2	0	2	0	0	0
chr1	154686258	2	0	2	0	0	0
chr1	154686259	2	0	2	0	0	0
chr1	154686260	2	0	2	0	0	0
chr1	154686261	2	0	2	0	0	0
chr1	154686262	2	0	2	0	0	0
chr1	154686263	2	0	2	0	0	0
chr1	154686264	2	0	2	0	0	0
chr1	154686265	2	0	2	0	0	0
chr1	154686266	2	0	2	0	0	0
chr1	154686267	2	0	2	0	0	0
chr1	154686268	2	0	2	0	0	0
chr1	154686269	2	0	2	0	0	0
chr1	154686270	2	0	2	0	0	0
chr1	154686271	2	0	2	0	0	0
chr1	154686272	2	0	2	0	0	0
chr1	154686273	2	0	2	0	0	0
chr1	154686274	2	0	2	0	0	0
chr1	154686275	2	0	2	0	0	0
