chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154684918	1	1	0	0	0	0
chr1	154684919	1	1	0	0	0	0
chr1	154684920	1	1	0	0	0	0
chr1	154684921	1	1	0	0	0	0
chr1	154684922	1	1	0	0	0	0
chr1	154684923	1	1	0	0	0	0
chr1	154684924	1	1	0	0	0	0
chr1	154684925	1	1	0	0	0	0
chr1	154684926	1	1	0	0	0	0
chr1	154684927	1	1	0	0	0	0
chr1	154684928	1	1	0	0	0	0
chr1	154684929	1	1	0	0	0	0
chr1	154684930	1	1	0	0	0	0
chr1	154684931	1	1	0	0	0	0
chr1	154684932	1	1	0	0	0	0
chr1	154684933	1	1	0	0	0	0
chr1	154684934	1	1	0	0	0	0
chr1	154684935	1	1	0	0	0	0
chr1	154684936	1	1	0	0	0	0
chr1	154684937	1	1	0	0	0	0
chr1	154684938	1	1	0	0	0	0
chr1	154684939	1	1	0	0	0	0
chr1	154684940	1	1	0	0	0	0
chr1	154684941	1	1	0	0	0	0
chr1	154684942	1	1	0	0	0	0
chr1	154684943	1	1	0	0	0	0
chr1	154684944	1	1	0	0	0	0
chr1	154684945	1	1	0	0	0	0
chr1	154684946	1	1	0	0	0	0
chr1	154684947	1	1	0	0	0	0
chr1	154684948	1	1	0	0	0	0
chr1	154684949	1	1	0	0	0	0
chr1	154684950	1	1	0	0	0	0
chr1	154684951	1	1	0	0	0	0
chr1	154684952	1	1	0	0	0	0
chr1	154684953	1	1	0	0	0	0
chr1	154684954	1	1	0	0	0	0
chr1	154684955	1	1	0	0	0	0
chr1	154684956	1	1	0	0	0	0
chr1	154684957	1	1	0	0	0	0
chr1	154684958	1	1	0	0	0	0
chr1	154684959	1	1	0	0	0	0
chr1	154684960	1	1	0	0	0	0
chr1	154684961	1	1	0	0	0	0
chr1	154684962	1	1	0	0	0	0
chr1	154684963	1	1	0	0	0	0
chr1	154684964	1	1	0	0	0	0
chr1	154684965	1	1	0	0	0	0
chr1	154684966	1	1	0	0	0	0
chr1	154684967	1	1	0	0	0	0
chr1	154684968	1	1	0	0	0	0
chr1	154684969	1	1	0	0	0	0
chr1	154684970	1	1	0	0	0	0
chr1	154684971	1	1	0	0	0	0
chr1	154684972	1	1	0	0	0	0
chr1	154684973	1	1	0	0	0	0
chr1	154684974	1	1	0	0	0	0
chr1	154684975	1	1	0	0	0	0
chr1	154684976	1	1	0	0	0	0
chr1	154684977	1	1	0	0	0	0
chr1	154684978	1	1	0	0	0	0
chr1	154684979	1	1	0	0	0	0
chr1	154684980	1	1	0	0	0	0
chr1	154684981	1	1	0	0	0	0
chr1	154684982	1	1	0	0	0	0
chr1	154684983	1	1	0	0	0	0
chr1	154684984	1	1	0	0	0	0
chr1	154684985	1	1	0	0	0	0
chr1	154684986	1	1	0	0	0	0
chr1	154684987	1	1	0	0	0	0
chr1	154684988	1	1	0	0	0	0
chr1	154684989	1	1	0	0	0	0
chr1	154684990	1	1	0	0	0	0
chr1	154684991	1	1	0	0	0	0
chr1	154684992	1	1	0	0	0	0
chr1	154684993	1	1	0	0	0	0
chr1	154684994	1	1	0	0	0	0
chr1	154684995	1	1	0	0	0	0
chr1	154684996	1	1	0	0	0	0
chr1	154684997	1	1	0	0	0	0
chr1	154684998	1	1	0	0	0	0
chr1	154684999	1	1	0	0	0	0
chr1	154685000	1	1	0	0	0	0
chr1	154685001	1	1	0	0	0	0
chr1	154685002	1	1	0	0	0	0
chr1	154685003	1	1	0	0	0	0
chr1	154685004	1	1	0	0	0	0
chr1	154685005	1	1	0	0	0	0
chr1	154685006	1	1	0	0	0	0
chr1	154685007	1	1	0	0	0	0
chr1	154685008	1	1	0	0	0	0
chr1	154685009	1	1	0	0	0	0
chr1	154685010	1	1	0	0	0	0
chr1	154685011	1	1	0	0	0	0
chr1	154685012	1	1	0	0	0	0
chr1	154685013	1	1	0	0	0	0
chr1	154685014	1	1	0	0	0	0
chr1	154685015	1	1	0	0	0	0
chr1	154685016	1	1	0	0	0	0
chr1	154685017	1	1	0	0	0	0
chr1	154685018	1	1	0	0	0	0
chr1	154685036	1	0	1	0	0	0
chr1	154685037	1	0	1	0	0	0
chr1	154685038	1	0	1	0	0	0
chr1	154685039	1	0	1	0	0	0
chr1	154685040	1	0	1	0	0	0
chr1	154685041	1	0	1	0	0	0
chr1	154685042	1	0	1	0	0	0
chr1	154685043	1	0	1	0	0	0
chr1	154685044	1	0	1	0	0	0
chr1	154685045	1	0	1	0	0	0
chr1	154685046	1	0	1	0	0	0
chr1	154685047	1	0	1	0	0	0
chr1	154685048	1	0	1	0	0	0
chr1	154685049	1	0	1	0	0	0
chr1	154685050	1	0	1	0	0	0
chr1	154685051	1	0	1	0	0	0
chr1	154685052	1	0	1	0	0	0
chr1	154685053	1	0	1	0	0	0
chr1	154685054	1	0	1	0	0	0
chr1	154685055	1	0	1	0	0	0
chr1	154685056	1	0	1	0	0	0
chr1	154685057	1	0	1	0	0	0
chr1	154685058	1	0	1	0	0	0
chr1	154685059	1	0	1	0	0	0
chr1	154685060	1	0	1	0	0	0
chr1	154685061	1	0	1	0	0	0
chr1	154685062	1	0	1	0	0	0
chr1	154685063	1	0	1	0	0	0
chr1	154685064	1	0	1	0	0	0
chr1	154685065	1	0	1	0	0	0
chr1	154685066	1	0	1	0	0	0
chr1	154685067	1	0	1	0	0	0
chr1	154685068	1	0	1	0	0	0
chr1	154685069	1	0	1	0	0	0
chr1	154685070	1	0	1	0	0	0
chr1	154685071	1	0	1	0	0	0
chr1	154685072	1	0	1	0	0	0
chr1	154685073	1	0	1	0	0	0
chr1	154685074	1	0	1	0	0	0
chr1	154685075	1	0	1	0	0	0
chr1	154685076	1	0	1	0	0	0
chr1	154685077	1	0	1	0	0	0
chr1	154685078	1	0	1	0	0	0
chr1	154685079	1	0	1	0	0	0
chr1	154685080	1	0	1	0	0	0
chr1	154685081	1	0	1	0	0	0
chr1	154685082	1	0	1	0	0	0
chr1	154685083	1	0	1	0	0	0
chr1	154685084	1	0	1	0	0	0
chr1	154685085	1	0	1	0	0	0
chr1	154685086	1	0	1	0	0	0
chr1	154685087	1	0	1	0	0	0
chr1	154685088	1	0	1	0	0	0
chr1	154685089	1	0	1	0	0	0
chr1	154685090	1	0	1	0	0	0
chr1	154685091	1	0	1	0	0	0
chr1	154685092	1	0	1	0	0	0
chr1	154685093	1	0	1	0	0	0
chr1	154685094	1	0	1	0	0	0
chr1	154685095	1	0	1	0	0	0
chr1	154685096	1	0	1	0	0	0
chr1	154685097	1	0	1	0	0	0
chr1	154685098	1	0	1	0	0	0
chr1	154685099	1	0	1	0	0	0
chr1	154685100	1	0	1	0	0	0
chr1	154685101	1	0	1	0	0	0
chr1	154685102	1	0	1	0	0	0
chr1	154685103	1	0	1	0	0	0
chr1	154685104	1	0	1	0	0	0
chr1	154685105	1	0	1	0	0	0
chr1	154685106	1	0	1	0	0	0
chr1	154685107	1	0	1	0	0	0
chr1	154685108	2	1	1	0	0	0
chr1	154685109	2	1	1	0	0	0
chr1	154685110	3	1	2	0	0	0
chr1	154685111	3	1	2	0	0	0
chr1	154685112	3	1	2	0	0	0
chr1	154685113	3	1	2	0	0	0
chr1	154685114	3	1	2	0	0	0
chr1	154685115	3	1	2	0	0	0
chr1	154685116	3	1	2	0	0	0
chr1	154685117	3	1	2	0	0	0
chr1	154685118	3	1	2	0	0	0
chr1	154685119	3	1	2	0	0	0
chr1	154685120	3	1	2	0	0	0
chr1	154685121	3	1	2	0	0	0
chr1	154685122	3	1	2	0	0	0
chr1	154685123	3	1	2	0	0	0
chr1	154685124	3	1	2	0	0	0
chr1	154685125	3	1	2	0	0	0
chr1	154685126	3	1	2	0	0	0
chr1	154685127	3	1	2	0	0	0
chr1	154685128	3	1	2	0	0	0
chr1	154685129	3	1	2	0	0	0
chr1	154685130	3	1	2	0	0	0
chr1	154685131	3	1	2	0	0	0
chr1	154685132	3	1	2	0	0	0
chr1	154685133	4	1	3	0	0	0
chr1	154685134	4	1	3	0	0	0
chr1	154685135	4	1	3	0	0	0
chr1	154685136	4	1	3	0	0	0
chr1	154685137	3	1	2	0	0	0
chr1	154685138	3	1	2	0	0	0
chr1	154685139	3	1	2	0	0	0
chr1	154685140	3	1	2	0	0	0
chr1	154685141	3	1	2	0	0	0
chr1	154685142	3	1	2	0	0	0
chr1	154685143	3	1	2	0	0	0
chr1	154685144	3	1	2	0	0	0
chr1	154685145	3	1	2	0	0	0
chr1	154685146	3	1	2	0	0	0
chr1	154685147	3	1	2	0	0	0
chr1	154685148	3	1	2	0	0	0
chr1	154685149	3	1	2	0	0	0
chr1	154685150	3	1	2	0	0	0
chr1	154685151	3	1	2	0	0	0
chr1	154685152	3	1	2	0	0	0
chr1	154685153	3	1	2	0	0	0
chr1	154685154	3	1	2	0	0	0
chr1	154685155	3	1	2	0	0	0
chr1	154685156	3	1	2	0	0	0
chr1	154685157	3	1	2	0	0	0
chr1	154685158	3	1	2	0	0	0
chr1	154685159	3	1	2	0	0	0
chr1	154685160	3	1	2	0	0	0
chr1	154685161	3	1	2	0	0	0
chr1	154685162	3	1	2	0	0	0
chr1	154685163	3	1	2	0	0	0
chr1	154685164	3	1	2	0	0	0
chr1	154685165	3	1	2	0	0	0
chr1	154685166	3	1	2	0	0	0
chr1	154685167	3	1	2	0	0	0
chr1	154685168	3	1	2	0	0	0
chr1	154685169	3	1	2	0	0	0
chr1	154685170	3	1	2	0	0	0
chr1	154685171	3	1	2	0	0	0
chr1	154685172	3	1	2	0	0	0
chr1	154685173	3	1	2	0	0	0
chr1	154685174	3	1	2	0	0	0
chr1	154685175	3	1	2	0	0	0
chr1	154685176	3	1	2	0	0	0
chr1	154685177	3	1	2	0	0	0
chr1	154685178	3	1	2	0	0	0
chr1	154685179	3	1	2	0	0	0
chr1	154685180	3	1	2	0	0	0
chr1	154685181	3	1	2	0	0	0
chr1	154685182	3	1	2	0	0	0
chr1	154685183	3	1	2	0	0	0
chr1	154685184	3	1	2	0	0	0
chr1	154685185	3	1	2	0	0	0
chr1	154685186	3	1	2	0	0	0
chr1	154685187	3	1	2	0	0	0
chr1	154685188	3	1	2	0	0	0
chr1	154685189	3	1	2	0	0	0
chr1	154685190	3	1	2	0	0	0
chr1	154685191	3	1	2	0	0	0
