chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr19	17939921	1	1	0	0	0	0
chr19	17939922	1	1	0	0	0	0
chr19	17939923	1	1	0	0	0	0
chr19	17939924	1	1	0	0	0	0
chr19	17939925	1	1	0	0	0	0
chr19	17939926	1	1	0	0	0	0
chr19	17939927	1	1	0	0	0	0
chr19	17939928	1	1	0	0	0	0
chr19	17939929	1	1	0	0	0	0
chr19	17939930	1	1	0	0	0	0
chr19	17939931	1	1	0	0	0	0
chr19	17939932	1	1	0	0	0	0
chr19	17939933	1	1	0	0	0	0
chr19	17939934	1	1	0	0	0	0
chr19	17939935	1	1	0	0	0	0
chr19	17939936	1	1	0	0	0	0
chr19	17939937	1	1	0	0	0	0
chr19	17939938	1	1	0	0	0	0
chr19	17939939	1	1	0	0	0	0
chr19	17939940	1	1	0	0	0	0
chr19	17939941	1	1	0	0	0	0
chr19	17939942	1	1	0	0	0	0
chr19	17939943	1	1	0	0	0	0
chr19	17939944	1	1	0	0	0	0
chr19	17939945	1	1	0	0	0	0
chr19	17939946	1	1	0	0	0	0
chr19	17939947	1	1	0	0	0	0
chr19	17939948	1	1	0	0	0	0
chr19	17939949	1	1	0	0	0	0
chr19	17939950	1	1	0	0	0	0
chr19	17939951	1	1	0	0	0	0
chr19	17939952	1	1	0	0	0	0
chr19	17939953	1	1	0	0	0	0
chr19	17939954	1	1	0	0	0	0
chr19	17939955	1	1	0	0	0	0
chr19	17939956	1	1	0	0	0	0
chr19	17939957	1	1	0	0	0	0
chr19	17939958	1	1	0	0	0	0
chr19	17939959	1	1	0	0	0	0
chr19	17939960	1	1	0	0	0	0
chr19	17939961	1	1	0	0	0	0
chr19	17939962	1	1	0	0	0	0
chr19	17939963	1	1	0	0	0	0
chr19	17939964	1	1	0	0	0	0
chr19	17939965	1	1	0	0	0	0
chr19	17939966	1	1	0	0	0	0
chr19	17939967	1	1	0	0	0	0
chr19	17939968	1	1	0	0	0	0
chr19	17939969	1	1	0	0	0	0
chr19	17939970	1	1	0	0	0	0
chr19	17939971	1	1	0	0	0	0
chr19	17939972	1	1	0	0	0	0
chr19	17939973	1	1	0	0	0	0
chr19	17939974	1	1	0	0	0	0
chr19	17939975	1	1	0	0	0	0
chr19	17939976	1	1	0	0	0	0
chr19	17939977	1	1	0	0	0	0
chr19	17939978	1	1	0	0	0	0
chr19	17939979	1	1	0	0	0	0
chr19	17939980	1	1	0	0	0	0
chr19	17939981	1	1	0	0	0	0
chr19	17939982	1	1	0	0	0	0
chr19	17939983	1	1	0	0	0	0
chr19	17939984	1	1	0	0	0	0
chr19	17939985	1	1	0	0	0	0
chr19	17939986	1	1	0	0	0	0
chr19	17939987	1	1	0	0	0	0
chr19	17939988	1	1	0	0	0	0
chr19	17939989	1	1	0	0	0	0
chr19	17939990	1	1	0	0	0	0
chr19	17939991	1	1	0	0	0	0
chr19	17939992	1	1	0	0	0	0
chr19	17939993	1	1	0	0	0	0
chr19	17939994	1	1	0	0	0	0
chr19	17939995	1	1	0	0	0	0
chr19	17939996	1	1	0	0	0	0
chr19	17939997	1	1	0	0	0	0
chr19	17939998	1	1	0	0	0	0
chr19	17939999	1	1	0	0	0	0
chr19	17940000	1	1	0	0	0	0
chr19	17940001	1	1	0	0	0	0
chr19	17940002	1	1	0	0	0	0
chr19	17940003	1	1	0	0	0	0
chr19	17940004	1	1	0	0	0	0
chr19	17940005	1	1	0	0	0	0
chr19	17940006	1	1	0	0	0	0
chr19	17940007	1	1	0	0	0	0
chr19	17940008	1	1	0	0	0	0
chr19	17940009	1	1	0	0	0	0
chr19	17940010	1	1	0	0	0	0
chr19	17940011	1	1	0	0	0	0
chr19	17940012	1	1	0	0	0	0
chr19	17940013	1	1	0	0	0	0
chr19	17940014	1	1	0	0	0	0
chr19	17940015	1	1	0	0	0	0
chr19	17940016	1	1	0	0	0	0
chr19	17940017	1	1	0	0	0	0
chr19	17940018	1	1	0	0	0	0
chr19	17940019	1	1	0	0	0	0
chr19	17940020	1	1	0	0	0	0
chr19	17940021	1	1	0	0	0	0
chr19	17941087	1	1	0	0	0	0
chr19	17941088	1	1	0	0	0	0
chr19	17941089	1	1	0	0	0	0
chr19	17941090	1	1	0	0	0	0
chr19	17941091	1	1	0	0	0	0
chr19	17941092	1	1	0	0	0	0
chr19	17941093	1	1	0	0	0	0
chr19	17941094	1	1	0	0	0	0
chr19	17941095	1	1	0	0	0	0
chr19	17941096	1	1	0	0	0	0
chr19	17941097	1	1	0	0	0	0
chr19	17941098	1	1	0	0	0	0
chr19	17941099	1	1	0	0	0	0
chr19	17941100	1	1	0	0	0	0
chr19	17941101	1	1	0	0	0	0
chr19	17941102	1	1	0	0	0	0
chr19	17941103	1	1	0	0	0	0
chr19	17941104	1	1	0	0	0	0
chr19	17941105	1	1	0	0	0	0
chr19	17941106	1	1	0	0	0	0
chr19	17941107	1	1	0	0	0	0
chr19	17941108	1	1	0	0	0	0
chr19	17941109	1	1	0	0	0	0
chr19	17941110	1	1	0	0	0	0
chr19	17941111	1	1	0	0	0	0
chr19	17941112	1	1	0	0	0	0
chr19	17941113	1	1	0	0	0	0
chr19	17941114	1	1	0	0	0	0
chr19	17941115	1	1	0	0	0	0
chr19	17941116	1	1	0	0	0	0
chr19	17941117	1	1	0	0	0	0
chr19	17941118	1	1	0	0	0	0
chr19	17941119	1	1	0	0	0	0
chr19	17941120	1	1	0	0	0	0
chr19	17941121	1	1	0	0	0	0
chr19	17941122	1	1	0	0	0	0
chr19	17941123	1	1	0	0	0	0
chr19	17941124	1	1	0	0	0	0
chr19	17941125	1	1	0	0	0	0
chr19	17941126	1	1	0	0	0	0
chr19	17941127	1	1	0	0	0	0
chr19	17941128	1	1	0	0	0	0
chr19	17941129	1	1	0	0	0	0
chr19	17941130	1	1	0	0	0	0
chr19	17941131	1	1	0	0	0	0
chr19	17941132	1	1	0	0	0	0
chr19	17941133	1	1	0	0	0	0
chr19	17941134	1	1	0	0	0	0
chr19	17941135	1	1	0	0	0	0
chr19	17941136	1	1	0	0	0	0
chr19	17941137	1	1	0	0	0	0
chr19	17941138	1	1	0	0	0	0
chr19	17941139	1	1	0	0	0	0
chr19	17941140	1	1	0	0	0	0
chr19	17941141	1	1	0	0	0	0
chr19	17941142	1	1	0	0	0	0
chr19	17941143	1	1	0	0	0	0
chr19	17941144	1	1	0	0	0	0
chr19	17941145	1	1	0	0	0	0
chr19	17941146	1	1	0	0	0	0
chr19	17941147	1	1	0	0	0	0
chr19	17941148	1	1	0	0	0	0
chr19	17941149	1	1	0	0	0	0
chr19	17941150	1	1	0	0	0	0
chr19	17941151	1	1	0	0	0	0
chr19	17941152	1	1	0	0	0	0
chr19	17941153	1	1	0	0	0	0
chr19	17941154	1	1	0	0	0	0
chr19	17941155	1	1	0	0	0	0
chr19	17941156	1	1	0	0	0	0
chr19	17941157	1	1	0	0	0	0
chr19	17941158	1	1	0	0	0	0
chr19	17941159	1	1	0	0	0	0
chr19	17941160	1	1	0	0	0	0
chr19	17941161	1	1	0	0	0	0
chr19	17941162	1	1	0	0	0	0
chr19	17941163	1	1	0	0	0	0
chr19	17941164	1	1	0	0	0	0
chr19	17941165	1	1	0	0	0	0
chr19	17941166	1	1	0	0	0	0
chr19	17941167	1	1	0	0	0	0
chr19	17941168	1	1	0	0	0	0
chr19	17941169	1	1	0	0	0	0
chr19	17941170	1	1	0	0	0	0
chr19	17941171	1	1	0	0	0	0
chr19	17941172	1	1	0	0	0	0
chr19	17941173	1	1	0	0	0	0
chr19	17941174	1	1	0	0	0	0
chr19	17941175	1	1	0	0	0	0
chr19	17941176	1	1	0	0	0	0
chr19	17941177	1	1	0	0	0	0
chr19	17941178	1	1	0	0	0	0
chr19	17941179	1	1	0	0	0	0
chr19	17941180	1	1	0	0	0	0
chr19	17941181	1	1	0	0	0	0
chr19	17941182	1	1	0	0	0	0
chr19	17941183	1	1	0	0	0	0
chr19	17941184	1	1	0	0	0	0
chr19	17941185	1	1	0	0	0	0
chr19	17941186	1	1	0	0	0	0
chr19	17941187	1	1	0	0	0	0
chr19	17941215	1	0	1	0	0	0
chr19	17941216	1	0	1	0	0	0
chr19	17941217	1	0	1	0	0	0
chr19	17941218	1	0	1	0	0	0
chr19	17941219	1	0	1	0	0	0
chr19	17941220	1	0	1	0	0	0
chr19	17941221	1	0	1	0	0	0
chr19	17941222	1	0	1	0	0	0
chr19	17941223	1	0	1	0	0	0
chr19	17941224	1	0	1	0	0	0
chr19	17941225	1	0	1	0	0	0
chr19	17941226	1	0	1	0	0	0
chr19	17941227	1	0	1	0	0	0
chr19	17941228	1	0	1	0	0	0
chr19	17941229	1	0	1	0	0	0
chr19	17941230	1	0	1	0	0	0
chr19	17941231	1	0	1	0	0	0
chr19	17941232	1	0	1	0	0	0
chr19	17941233	1	0	1	0	0	0
chr19	17941234	1	0	1	0	0	0
chr19	17941235	1	0	1	0	0	0
chr19	17941236	1	0	1	0	0	0
chr19	17941237	1	0	1	0	0	0
chr19	17941238	1	0	1	0	0	0
chr19	17941239	1	0	1	0	0	0
chr19	17941240	1	0	1	0	0	0
chr19	17941241	1	0	1	0	0	0
chr19	17941242	1	0	1	0	0	0
chr19	17941243	1	0	1	0	0	0
chr19	17941244	1	0	1	0	0	0
chr19	17941245	1	0	1	0	0	0
chr19	17941246	1	0	1	0	0	0
chr19	17941247	1	0	1	0	0	0
chr19	17941248	1	0	1	0	0	0
chr19	17941249	1	0	1	0	0	0
chr19	17941250	1	0	1	0	0	0
chr19	17941251	1	0	1	0	0	0
chr19	17941252	1	0	1	0	0	0
chr19	17941253	1	0	1	0	0	0
chr19	17941254	1	0	1	0	0	0
