chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154684940	1	0	1	0	0	0
chr1	154684941	1	0	1	0	0	0
chr1	154684942	1	0	1	0	0	0
chr1	154684943	1	0	1	0	0	0
chr1	154684944	1	0	1	0	0	0
chr1	154684945	1	0	1	0	0	0
chr1	154684946	1	0	1	0	0	0
chr1	154684947	1	0	1	0	0	0
chr1	154684948	1	0	1	0	0	0
chr1	154684949	1	0	1	0	0	0
chr1	154684950	1	0	1	0	0	0
chr1	154684951	1	0	1	0	0	0
chr1	154684952	1	0	1	0	0	0
chr1	154684953	1	0	1	0	0	0
chr1	154684954	1	0	1	0	0	0
chr1	154684955	1	0	1	0	0	0
chr1	154684956	1	0	1	0	0	0
chr1	154684957	1	0	1	0	0	0
chr1	154684958	1	0	1	0	0	0
chr1	154684959	1	0	1	0	0	0
chr1	154684960	1	0	1	0	0	0
chr1	154684961	1	0	1	0	0	0
chr1	154684962	1	0	1	0	0	0
chr1	154684963	1	0	1	0	0	0
chr1	154684964	1	0	1	0	0	0
chr1	154684965	1	0	1	0	0	0
chr1	154684966	1	0	1	0	0	0
chr1	154684967	1	0	1	0	0	0
chr1	154684968	1	0	1	0	0	0
chr1	154684969	1	0	1	0	0	0
chr1	154684970	1	0	1	0	0	0
chr1	154684971	1	0	1	0	0	0
chr1	154684972	1	0	1	0	0	0
chr1	154684973	1	0	1	0	0	0
chr1	154684974	1	0	1	0	0	0
chr1	154684975	1	0	1	0	0	0
chr1	154684976	1	0	1	0	0	0
chr1	154684977	1	0	1	0	0	0
chr1	154684978	1	0	1	0	0	0
chr1	154684979	1	0	1	0	0	0
chr1	154684980	1	0	1	0	0	0
chr1	154684981	1	0	1	0	0	0
chr1	154684982	1	0	1	0	0	0
chr1	154684983	1	0	1	0	0	0
chr1	154684984	1	0	1	0	0	0
chr1	154684985	1	0	1	0	0	0
chr1	154684986	1	0	1	0	0	0
chr1	154684987	1	0	1	0	0	0
chr1	154684988	1	0	1	0	0	0
chr1	154684989	1	0	1	0	0	0
chr1	154684990	1	0	1	0	0	0
chr1	154684991	1	0	1	0	0	0
chr1	154684992	1	0	1	0	0	0
chr1	154684993	1	0	1	0	0	0
chr1	154684994	1	0	1	0	0	0
chr1	154684995	1	0	1	0	0	0
chr1	154684996	1	0	1	0	0	0
chr1	154684997	1	0	1	0	0	0
chr1	154684998	1	0	1	0	0	0
chr1	154684999	1	0	1	0	0	0
chr1	154685000	1	0	1	0	0	0
chr1	154685001	1	0	1	0	0	0
chr1	154685002	1	0	1	0	0	0
chr1	154685003	1	0	1	0	0	0
chr1	154685004	1	0	1	0	0	0
chr1	154685005	1	0	1	0	0	0
chr1	154685006	1	0	1	0	0	0
chr1	154685007	1	0	1	0	0	0
chr1	154685008	1	0	1	0	0	0
chr1	154685009	1	0	1	0	0	0
chr1	154685010	1	0	1	0	0	0
chr1	154685011	1	0	1	0	0	0
chr1	154685012	1	0	1	0	0	0
chr1	154685013	1	0	1	0	0	0
chr1	154685014	2	1	1	0	0	0
chr1	154685015	2	1	1	0	0	0
chr1	154685016	2	1	1	0	0	0
chr1	154685017	2	1	1	0	0	0
chr1	154685018	2	1	1	0	0	0
chr1	154685019	2	1	1	0	0	0
chr1	154685020	2	1	1	0	0	0
chr1	154685021	2	1	1	0	0	0
chr1	154685022	2	1	1	0	0	0
chr1	154685023	2	1	1	0	0	0
chr1	154685024	2	1	1	0	0	0
chr1	154685025	2	1	1	0	0	0
chr1	154685026	2	1	1	0	0	0
chr1	154685027	2	1	1	0	0	0
chr1	154685028	2	1	1	0	0	0
chr1	154685029	2	1	1	0	0	0
chr1	154685030	2	1	1	0	0	0
chr1	154685031	2	1	1	0	0	0
chr1	154685032	2	1	1	0	0	0
chr1	154685033	2	1	1	0	0	0
chr1	154685034	2	1	1	0	0	0
chr1	154685035	2	1	1	0	0	0
chr1	154685036	2	1	1	0	0	0
chr1	154685037	2	1	1	0	0	0
chr1	154685038	2	1	1	0	0	0
chr1	154685039	2	1	1	0	0	0
chr1	154685040	2	1	1	0	0	0
chr1	154685041	1	1	0	0	0	0
chr1	154685042	1	1	0	0	0	0
chr1	154685043	1	1	0	0	0	0
chr1	154685044	1	1	0	0	0	0
chr1	154685045	1	1	0	0	0	0
chr1	154685046	1	1	0	0	0	0
chr1	154685047	1	1	0	0	0	0
chr1	154685048	1	1	0	0	0	0
chr1	154685049	1	1	0	0	0	0
chr1	154685050	1	1	0	0	0	0
chr1	154685051	1	1	0	0	0	0
chr1	154685052	1	1	0	0	0	0
chr1	154685053	1	1	0	0	0	0
chr1	154685054	1	1	0	0	0	0
chr1	154685055	1	1	0	0	0	0
chr1	154685056	1	1	0	0	0	0
chr1	154685057	1	1	0	0	0	0
chr1	154685058	1	1	0	0	0	0
chr1	154685059	1	1	0	0	0	0
chr1	154685060	1	1	0	0	0	0
chr1	154685061	1	1	0	0	0	0
chr1	154685062	1	1	0	0	0	0
chr1	154685063	1	1	0	0	0	0
chr1	154685064	1	1	0	0	0	0
chr1	154685065	1	1	0	0	0	0
chr1	154685066	1	1	0	0	0	0
chr1	154685067	1	1	0	0	0	0
chr1	154685068	1	1	0	0	0	0
chr1	154685069	1	1	0	0	0	0
chr1	154685070	1	1	0	0	0	0
chr1	154685071	1	1	0	0	0	0
chr1	154685072	1	1	0	0	0	0
chr1	154685073	1	1	0	0	0	0
chr1	154685074	1	1	0	0	0	0
chr1	154685075	1	1	0	0	0	0
chr1	154685076	1	1	0	0	0	0
chr1	154685077	1	1	0	0	0	0
chr1	154685078	1	1	0	0	0	0
chr1	154685079	1	1	0	0	0	0
chr1	154685080	1	1	0	0	0	0
chr1	154685081	1	1	0	0	0	0
chr1	154685082	1	1	0	0	0	0
chr1	154685083	1	1	0	0	0	0
chr1	154685084	1	1	0	0	0	0
chr1	154685085	1	1	0	0	0	0
chr1	154685086	1	1	0	0	0	0
chr1	154685087	1	1	0	0	0	0
chr1	154685088	1	1	0	0	0	0
chr1	154685089	1	1	0	0	0	0
chr1	154685090	1	1	0	0	0	0
chr1	154685091	1	1	0	0	0	0
chr1	154685092	1	1	0	0	0	0
chr1	154685093	1	1	0	0	0	0
chr1	154685094	1	1	0	0	0	0
chr1	154685095	1	1	0	0	0	0
chr1	154685096	1	1	0	0	0	0
chr1	154685097	1	1	0	0	0	0
chr1	154685098	1	1	0	0	0	0
chr1	154685099	1	1	0	0	0	0
chr1	154685100	1	1	0	0	0	0
chr1	154685101	1	1	0	0	0	0
chr1	154685102	1	1	0	0	0	0
chr1	154685103	1	1	0	0	0	0
chr1	154685104	1	1	0	0	0	0
chr1	154685105	1	1	0	0	0	0
chr1	154685106	1	1	0	0	0	0
chr1	154685107	1	1	0	0	0	0
chr1	154685108	1	1	0	0	0	0
chr1	154685109	1	1	0	0	0	0
chr1	154685110	1	1	0	0	0	0
chr1	154685111	1	1	0	0	0	0
chr1	154685112	1	1	0	0	0	0
chr1	154685113	1	1	0	0	0	0
chr1	154685114	1	1	0	0	0	0
chr1	154685307	1	1	0	0	0	0
chr1	154685308	1	1	0	0	0	0
chr1	154685309	1	1	0	0	0	0
chr1	154685310	1	1	0	0	0	0
chr1	154685311	1	1	0	0	0	0
chr1	154685312	1	1	0	0	0	0
chr1	154685313	1	1	0	0	0	0
chr1	154685314	1	1	0	0	0	0
chr1	154685315	1	1	0	0	0	0
chr1	154685316	1	1	0	0	0	0
chr1	154685317	1	1	0	0	0	0
chr1	154685318	1	1	0	0	0	0
chr1	154685319	1	1	0	0	0	0
chr1	154685320	1	1	0	0	0	0
chr1	154685321	1	1	0	0	0	0
chr1	154685322	1	1	0	0	0	0
chr1	154685323	1	1	0	0	0	0
chr1	154685324	1	1	0	0	0	0
chr1	154685325	1	1	0	0	0	0
chr1	154685326	1	1	0	0	0	0
chr1	154685327	1	1	0	0	0	0
chr1	154685328	1	1	0	0	0	0
chr1	154685329	1	1	0	0	0	0
chr1	154685330	1	1	0	0	0	0
chr1	154685331	1	1	0	0	0	0
chr1	154685332	1	1	0	0	0	0
chr1	154685333	1	1	0	0	0	0
chr1	154685334	1	1	0	0	0	0
chr1	154685335	1	1	0	0	0	0
chr1	154685336	1	1	0	0	0	0
chr1	154685337	1	1	0	0	0	0
chr1	154685338	1	1	0	0	0	0
chr1	154685339	1	1	0	0	0	0
chr1	154685340	1	1	0	0	0	0
chr1	154685341	1	1	0	0	0	0
chr1	154685342	1	1	0	0	0	0
chr1	154685343	1	1	0	0	0	0
chr1	154685344	1	1	0	0	0	0
chr1	154685345	1	1	0	0	0	0
chr1	154685346	1	1	0	0	0	0
chr1	154685347	1	1	0	0	0	0
chr1	154685348	1	1	0	0	0	0
chr1	154685349	1	1	0	0	0	0
chr1	154685350	1	1	0	0	0	0
chr1	154685351	1	1	0	0	0	0
chr1	154685352	1	1	0	0	0	0
chr1	154685353	1	1	0	0	0	0
