chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr19	17939922	1	0	1	0	0	0
chr19	17939923	1	0	1	0	0	0
chr19	17939924	1	0	1	0	0	0
chr19	17939925	1	0	1	0	0	0
chr19	17939926	1	0	1	0	0	0
chr19	17939927	1	0	1	0	0	0
chr19	17939928	1	0	1	0	0	0
chr19	17939929	1	0	1	0	0	0
chr19	17939930	1	0	1	0	0	0
chr19	17939931	1	0	1	0	0	0
chr19	17939932	1	0	1	0	0	0
chr19	17939933	1	0	1	0	0	0
chr19	17939934	1	0	1	0	0	0
chr19	17939935	1	0	1	0	0	0
chr19	17939936	1	0	1	0	0	0
chr19	17939937	1	0	1	0	0	0
chr19	17939938	1	0	1	0	0	0
chr19	17939939	1	0	1	0	0	0
chr19	17939940	1	0	1	0	0	0
chr19	17939941	1	0	1	0	0	0
chr19	17939942	1	0	1	0	0	0
chr19	17939943	1	0	1	0	0	0
chr19	17939944	1	0	1	0	0	0
chr19	17939945	1	0	1	0	0	0
chr19	17939946	1	0	1	0	0	0
chr19	17939947	1	0	1	0	0	0
chr19	17939948	1	0	1	0	0	0
chr19	17939949	1	0	1	0	0	0
chr19	17939950	1	0	1	0	0	0
chr19	17939951	1	0	1	0	0	0
chr19	17939952	1	0	1	0	0	0
chr19	17939953	1	0	1	0	0	0
chr19	17939954	1	0	1	0	0	0
chr19	17939955	1	0	1	0	0	0
chr19	17939956	1	0	1	0	0	0
chr19	17939957	1	0	1	0	0	0
chr19	17939958	1	0	1	0	0	0
chr19	17939959	1	0	1	0	0	0
chr19	17939960	1	0	1	0	0	0
chr19	17939961	1	0	1	0	0	0
chr19	17939962	1	0	1	0	0	0
chr19	17939963	1	0	1	0	0	0
chr19	17939964	1	0	1	0	0	0
chr19	17939965	1	0	1	0	0	0
chr19	17939966	1	0	1	0	0	0
chr19	17939967	1	0	1	0	0	0
chr19	17939968	1	0	1	0	0	0
chr19	17939969	1	0	1	0	0	0
chr19	17939970	1	0	1	0	0	0
chr19	17939971	1	0	1	0	0	0
chr19	17939972	1	0	1	0	0	0
chr19	17939973	1	0	1	0	0	0
chr19	17939974	1	0	1	0	0	0
chr19	17939975	1	0	1	0	0	0
chr19	17939976	1	0	1	0	0	0
chr19	17939977	1	0	1	0	0	0
chr19	17939978	1	0	1	0	0	0
chr19	17939979	1	0	1	0	0	0
chr19	17939980	1	0	1	0	0	0
chr19	17939981	1	0	1	0	0	0
chr19	17939982	1	0	1	0	0	0
chr19	17939983	1	0	1	0	0	0
chr19	17939984	1	0	1	0	0	0
chr19	17939985	1	0	1	0	0	0
chr19	17939986	1	0	1	0	0	0
chr19	17939987	2	1	1	0	0	0
chr19	17939988	2	1	1	0	0	0
chr19	17939989	2	1	1	0	0	0
chr19	17939990	2	1	1	0	0	0
chr19	17939991	2	1	1	0	0	0
chr19	17939992	2	1	1	0	0	0
chr19	17939993	2	1	1	0	0	0
chr19	17939994	2	1	1	0	0	0
chr19	17939995	2	1	1	0	0	0
chr19	17939996	2	1	1	0	0	0
chr19	17939997	2	1	1	0	0	0
chr19	17939998	2	1	1	0	0	0
chr19	17939999	2	1	1	0	0	0
chr19	17940000	2	1	1	0	0	0
chr19	17940001	2	1	1	0	0	0
chr19	17940002	2	1	1	0	0	0
chr19	17940003	2	1	1	0	0	0
chr19	17940004	2	1	1	0	0	0
chr19	17940005	1	1	0	0	0	0
chr19	17940006	1	1	0	0	0	0
chr19	17940007	1	1	0	0	0	0
chr19	17940008	1	1	0	0	0	0
chr19	17940009	1	1	0	0	0	0
chr19	17940010	1	1	0	0	0	0
chr19	17940011	1	1	0	0	0	0
chr19	17940012	1	1	0	0	0	0
chr19	17940013	1	1	0	0	0	0
chr19	17940014	1	1	0	0	0	0
chr19	17940015	1	1	0	0	0	0
chr19	17940016	1	1	0	0	0	0
chr19	17940017	1	1	0	0	0	0
chr19	17940018	1	1	0	0	0	0
chr19	17940019	2	2	0	0	0	0
chr19	17940020	2	2	0	0	0	0
chr19	17940021	2	2	0	0	0	0
chr19	17940022	2	2	0	0	0	0
chr19	17940023	2	2	0	0	0	0
chr19	17940024	2	2	0	0	0	0
chr19	17940025	2	2	0	0	0	0
chr19	17940026	2	2	0	0	0	0
chr19	17940027	2	2	0	0	0	0
chr19	17940028	2	2	0	0	0	0
chr19	17940029	2	2	0	0	0	0
chr19	17940030	2	2	0	0	0	0
chr19	17940031	2	2	0	0	0	0
chr19	17940032	2	2	0	0	0	0
chr19	17940033	2	2	0	0	0	0
chr19	17940034	2	2	0	0	0	0
chr19	17940035	2	2	0	0	0	0
chr19	17940036	2	2	0	0	0	0
chr19	17940037	2	2	0	0	0	0
chr19	17940038	2	2	0	0	0	0
chr19	17940039	2	2	0	0	0	0
chr19	17940040	2	2	0	0	0	0
chr19	17940041	2	2	0	0	0	0
chr19	17940042	2	2	0	0	0	0
chr19	17940043	2	2	0	0	0	0
chr19	17940044	2	2	0	0	0	0
chr19	17940045	2	2	0	0	0	0
chr19	17940046	2	2	0	0	0	0
chr19	17940047	2	2	0	0	0	0
chr19	17940048	2	2	0	0	0	0
chr19	17940049	2	2	0	0	0	0
chr19	17940050	2	2	0	0	0	0
chr19	17940051	2	2	0	0	0	0
chr19	17940052	2	2	0	0	0	0
chr19	17940053	3	2	1	0	0	0
chr19	17940054	3	2	1	0	0	0
chr19	17940055	3	2	1	0	0	0
chr19	17940056	3	2	1	0	0	0
chr19	17940057	3	2	1	0	0	0
chr19	17940058	3	2	1	0	0	0
chr19	17940059	3	2	1	0	0	0
chr19	17940060	3	2	1	0	0	0
chr19	17940061	3	2	1	0	0	0
chr19	17940062	3	2	1	0	0	0
chr19	17940063	3	2	1	0	0	0
chr19	17940064	3	2	1	0	0	0
chr19	17940065	3	2	1	0	0	0
chr19	17940066	3	2	1	0	0	0
chr19	17940067	3	2	1	0	0	0
chr19	17940068	3	2	1	0	0	0
chr19	17940069	3	2	1	0	0	0
