chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154684981	1	0	1	0	0	0
chr1	154684982	1	0	1	0	0	0
chr1	154684983	1	0	1	0	0	0
chr1	154684984	1	0	1	0	0	0
chr1	154684985	1	0	1	0	0	0
chr1	154684986	1	0	1	0	0	0
chr1	154684987	1	0	1	0	0	0
chr1	154684988	1	0	1	0	0	0
chr1	154684989	1	0	1	0	0	0
chr1	154684990	1	0	1	0	0	0
chr1	154684991	1	0	1	0	0	0
chr1	154684992	1	0	1	0	0	0
chr1	154684993	1	0	1	0	0	0
chr1	154684994	1	0	1	0	0	0
chr1	154684995	1	0	1	0	0	0
chr1	154684996	1	0	1	0	0	0
chr1	154684997	1	0	1	0	0	0
chr1	154684998	1	0	1	0	0	0
chr1	154684999	1	0	1	0	0	0
chr1	154685000	1	0	1	0	0	0
chr1	154685001	1	0	1	0	0	0
chr1	154685002	1	0	1	0	0	0
chr1	154685003	1	0	1	0	0	0
chr1	154685004	1	0	1	0	0	0
chr1	154685005	1	0	1	0	0	0
chr1	154685006	1	0	1	0	0	0
chr1	154685007	1	0	1	0	0	0
chr1	154685008	1	0	1	0	0	0
chr1	154685009	1	0	1	0	0	0
chr1	154685010	1	0	1	0	0	0
chr1	154685011	1	0	1	0	0	0
chr1	154685012	1	0	1	0	0	0
chr1	154685013	1	0	1	0	0	0
chr1	154685014	1	0	1	0	0	0
chr1	154685015	1	0	1	0	0	0
chr1	154685016	1	0	1	0	0	0
chr1	154685017	1	0	1	0	0	0
chr1	154685018	1	0	1	0	0	0
chr1	154685019	1	0	1	0	0	0
chr1	154685020	1	0	1	0	0	0
chr1	154685021	1	0	1	0	0	0
chr1	154685022	1	0	1	0	0	0
chr1	154685023	1	0	1	0	0	0
chr1	154685024	1	0	1	0	0	0
chr1	154685025	1	0	1	0	0	0
chr1	154685026	1	0	1	0	0	0
chr1	154685027	1	0	1	0	0	0
chr1	154685028	1	0	1	0	0	0
chr1	154685029	1	0	1	0	0	0
chr1	154685030	1	0	1	0	0	0
chr1	154685031	1	0	1	0	0	0
chr1	154685032	1	0	1	0	0	0
chr1	154685033	1	0	1	0	0	0
chr1	154685034	1	0	1	0	0	0
chr1	154685035	1	0	1	0	0	0
chr1	154685036	1	0	1	0	0	0
chr1	154685037	1	0	1	0	0	0
chr1	154685038	1	0	1	0	0	0
chr1	154685039	1	0	1	0	0	0
chr1	154685040	1	0	1	0	0	0
chr1	154685041	1	0	1	0	0	0
chr1	154685042	1	0	1	0	0	0
chr1	154685043	1	0	1	0	0	0
chr1	154685044	1	0	1	0	0	0
chr1	154685045	1	0	1	0	0	0
chr1	154685046	1	0	1	0	0	0
chr1	154685047	1	0	1	0	0	0
chr1	154685048	1	0	1	0	0	0
chr1	154685049	1	0	1	0	0	0
chr1	154685050	1	0	1	0	0	0
chr1	154685051	1	0	1	0	0	0
chr1	154685052	1	0	1	0	0	0
chr1	154685053	1	0	1	0	0	0
chr1	154685054	1	0	1	0	0	0
chr1	154685055	1	0	1	0	0	0
chr1	154685056	1	0	1	0	0	0
chr1	154685057	1	0	1	0	0	0
chr1	154685058	1	0	1	0	0	0
chr1	154685059	1	0	1	0	0	0
chr1	154685060	1	0	1	0	0	0
chr1	154685061	1	0	1	0	0	0
chr1	154685062	1	0	1	0	0	0
chr1	154685063	1	0	1	0	0	0
chr1	154685064	1	0	1	0	0	0
chr1	154685065	1	0	1	0	0	0
chr1	154685066	1	0	1	0	0	0
chr1	154685067	1	0	1	0	0	0
chr1	154685068	1	0	1	0	0	0
chr1	154685069	1	0	1	0	0	0
chr1	154685070	1	0	1	0	0	0
chr1	154685071	1	0	1	0	0	0
chr1	154685072	1	0	1	0	0	0
chr1	154685073	1	0	1	0	0	0
chr1	154685074	1	0	1	0	0	0
chr1	154685075	1	0	1	0	0	0
chr1	154685076	1	0	1	0	0	0
chr1	154685077	1	0	1	0	0	0
chr1	154685078	1	0	1	0	0	0
chr1	154685079	1	0	1	0	0	0
chr1	154685080	1	0	1	0	0	0
chr1	154685081	1	0	1	0	0	0
chr1	154685520	1	1	0	0	0	0
chr1	154685521	1	1	0	0	0	0
chr1	154685522	1	1	0	0	0	0
chr1	154685523	1	1	0	0	0	0
chr1	154685524	1	1	0	0	0	0
chr1	154685525	1	1	0	0	0	0
chr1	154685526	1	1	0	0	0	0
chr1	154685527	1	1	0	0	0	0
chr1	154685528	1	1	0	0	0	0
chr1	154685529	1	1	0	0	0	0
chr1	154685530	1	1	0	0	0	0
chr1	154685531	1	1	0	0	0	0
chr1	154685532	1	1	0	0	0	0
chr1	154685533	1	1	0	0	0	0
chr1	154685534	1	1	0	0	0	0
chr1	154685535	1	1	0	0	0	0
chr1	154685536	1	1	0	0	0	0
chr1	154685537	1	1	0	0	0	0
chr1	154685538	1	1	0	0	0	0
chr1	154685539	1	1	0	0	0	0
chr1	154685540	1	1	0	0	0	0
chr1	154685541	1	1	0	0	0	0
chr1	154685542	1	1	0	0	0	0
chr1	154685543	1	1	0	0	0	0
chr1	154685544	1	1	0	0	0	0
chr1	154685545	1	1	0	0	0	0
chr1	154685546	1	1	0	0	0	0
chr1	154685547	1	1	0	0	0	0
chr1	154685548	1	1	0	0	0	0
chr1	154685549	1	1	0	0	0	0
chr1	154685550	1	1	0	0	0	0
chr1	154685551	1	1	0	0	0	0
chr1	154685552	1	1	0	0	0	0
