chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154684902	1	1	0	0	0	0
chr1	154684903	1	1	0	0	0	0
chr1	154684904	1	1	0	0	0	0
chr1	154684905	1	1	0	0	0	0
chr1	154684906	1	1	0	0	0	0
chr1	154684907	1	1	0	0	0	0
chr1	154684908	1	1	0	0	0	0
chr1	154684909	1	1	0	0	0	0
chr1	154684910	1	1	0	0	0	0
chr1	154684911	1	1	0	0	0	0
chr1	154684912	1	1	0	0	0	0
chr1	154684913	1	1	0	0	0	0
chr1	154684914	1	1	0	0	0	0
chr1	154684915	1	1	0	0	0	0
chr1	154684916	1	1	0	0	0	0
chr1	154684917	1	1	0	0	0	0
chr1	154684918	1	1	0	0	0	0
chr1	154684919	1	1	0	0	0	0
chr1	154684920	1	1	0	0	0	0
chr1	154684921	2	1	1	0	0	0
chr1	154684922	2	1	1	0	0	0
chr1	154684923	2	1	1	0	0	0
chr1	154684924	2	1	1	0	0	0
chr1	154684925	2	1	1	0	0	0
chr1	154684926	2	1	1	0	0	0
chr1	154684927	2	1	1	0	0	0
chr1	154684928	2	1	1	0	0	0
chr1	154684929	2	1	1	0	0	0
chr1	154684930	2	1	1	0	0	0
chr1	154684931	2	1	1	0	0	0
chr1	154684932	2	1	1	0	0	0
chr1	154684933	2	1	1	0	0	0
chr1	154684934	2	1	1	0	0	0
chr1	154684935	2	1	1	0	0	0
chr1	154684936	2	1	1	0	0	0
chr1	154684937	2	1	1	0	0	0
chr1	154684938	2	1	1	0	0	0
chr1	154684939	2	1	1	0	0	0
chr1	154684940	2	1	1	0	0	0
chr1	154684941	2	1	1	0	0	0
chr1	154684942	2	1	1	0	0	0
chr1	154684943	2	1	1	0	0	0
chr1	154684944	2	1	1	0	0	0
chr1	154684945	2	1	1	0	0	0
chr1	154684946	2	1	1	0	0	0
chr1	154684947	2	1	1	0	0	0
chr1	154684948	2	1	1	0	0	0
chr1	154684949	2	1	1	0	0	0
chr1	154684950	2	1	1	0	0	0
chr1	154684951	2	1	1	0	0	0
chr1	154684952	2	1	1	0	0	0
chr1	154684953	2	1	1	0	0	0
chr1	154684954	2	1	1	0	0	0
chr1	154684955	2	1	1	0	0	0
chr1	154684956	2	1	1	0	0	0
chr1	154684957	2	1	1	0	0	0
chr1	154684958	2	1	1	0	0	0
chr1	154684959	2	1	1	0	0	0
chr1	154684960	2	1	1	0	0	0
chr1	154684961	2	1	1	0	0	0
chr1	154684962	2	1	1	0	0	0
chr1	154684963	2	1	1	0	0	0
chr1	154684964	2	1	1	0	0	0
chr1	154684965	2	1	1	0	0	0
chr1	154684966	2	1	1	0	0	0
chr1	154684967	2	1	1	0	0	0
chr1	154684968	2	1	1	0	0	0
chr1	154684969	2	1	1	0	0	0
chr1	154684970	2	1	1	0	0	0
chr1	154684971	2	1	1	0	0	0
chr1	154684972	2	1	1	0	0	0
chr1	154684973	2	1	1	0	0	0
chr1	154684974	2	1	1	0	0	0
chr1	154684975	2	1	1	0	0	0
chr1	154684976	2	1	1	0	0	0
chr1	154684977	2	1	1	0	0	0
chr1	154684978	2	1	1	0	0	0
chr1	154684979	2	1	1	0	0	0
chr1	154684980	2	1	1	0	0	0
chr1	154684981	2	1	1	0	0	0
chr1	154684982	2	1	1	0	0	0
chr1	154684983	2	1	1	0	0	0
chr1	154684984	2	1	1	0	0	0
chr1	154684985	2	1	1	0	0	0
chr1	154684986	2	1	1	0	0	0
chr1	154684987	3	2	1	0	0	0
chr1	154684988	3	2	1	0	0	0
chr1	154684989	3	2	1	0	0	0
chr1	154684990	3	2	1	0	0	0
chr1	154684991	3	2	1	0	0	0
chr1	154684992	3	2	1	0	0	0
chr1	154684993	3	2	1	0	0	0
chr1	154684994	3	2	1	0	0	0
chr1	154684995	3	2	1	0	0	0
chr1	154684996	3	2	1	0	0	0
chr1	154684997	3	2	1	0	0	0
chr1	154684998	3	2	1	0	0	0
chr1	154684999	3	2	1	0	0	0
chr1	154685000	3	2	1	0	0	0
chr1	154685001	3	2	1	0	0	0
chr1	154685002	3	2	1	0	0	0
chr1	154685003	3	2	1	0	0	0
chr1	154685004	3	2	1	0	0	0
chr1	154685005	3	2	1	0	0	0
chr1	154685006	3	2	1	0	0	0
chr1	154685007	3	2	1	0	0	0
chr1	154685008	3	2	1	0	0	0
chr1	154685009	3	2	1	0	0	0
chr1	154685010	3	2	1	0	0	0
chr1	154685011	3	2	1	0	0	0
chr1	154685012	3	2	1	0	0	0
chr1	154685013	3	2	1	0	0	0
chr1	154685014	3	2	1	0	0	0
chr1	154685015	3	2	1	0	0	0
chr1	154685016	3	2	1	0	0	0
chr1	154685017	3	2	1	0	0	0
chr1	154685018	3	2	1	0	0	0
chr1	154685019	3	2	1	0	0	0
chr1	154685020	3	2	1	0	0	0
chr1	154685021	3	2	1	0	0	0
chr1	154685022	3	2	1	0	0	0
chr1	154685023	3	2	1	0	0	0
chr1	154685024	3	2	1	0	0	0
chr1	154685025	3	2	1	0	0	0
chr1	154685026	3	2	1	0	0	0
chr1	154685027	3	2	1	0	0	0
chr1	154685028	3	2	1	0	0	0
chr1	154685029	3	2	1	0	0	0
chr1	154685030	4	3	1	0	0	0
chr1	154685031	4	3	1	0	0	0
chr1	154685032	4	3	1	0	0	0
chr1	154685033	4	3	1	0	0	0
chr1	154685034	4	3	1	0	0	0
chr1	154685035	4	3	1	0	0	0
chr1	154685036	4	3	1	0	0	0
chr1	154685037	4	3	1	0	0	0
chr1	154685038	4	3	1	0	0	0
chr1	154685039	4	3	1	0	0	0
chr1	154685040	4	3	1	0	0	0
chr1	154685041	4	3	1	0	0	0
chr1	154685042	4	3	1	0	0	0
chr1	154685043	4	3	1	0	0	0
chr1	154685044	4	3	1	0	0	0
chr1	154685045	4	3	1	0	0	0
chr1	154685046	4	3	1	0	0	0
chr1	154685047	4	3	1	0	0	0
chr1	154685048	4	3	1	0	0	0
chr1	154685049	4	3	1	0	0	0
chr1	154685050	4	3	1	0	0	0
chr1	154685051	4	3	1	0	0	0
chr1	154685052	4	3	1	0	0	0
chr1	154685053	3	2	1	0	0	0
chr1	154685054	3	2	1	0	0	0
chr1	154685055	3	2	1	0	0	0
chr1	154685056	3	2	1	0	0	0
chr1	154685057	3	2	1	0	0	0
chr1	154685058	3	2	1	0	0	0
chr1	154685059	3	2	1	0	0	0
chr1	154685060	3	2	1	0	0	0
chr1	154685061	3	2	1	0	0	0
chr1	154685062	3	2	1	0	0	0
chr1	154685063	3	2	1	0	0	0
chr1	154685064	3	2	1	0	0	0
chr1	154685065	3	2	1	0	0	0
chr1	154685066	3	2	1	0	0	0
chr1	154685067	3	2	1	0	0	0
chr1	154685068	3	2	1	0	0	0
chr1	154685069	3	2	1	0	0	0
chr1	154685070	3	2	1	0	0	0
chr1	154685071	3	2	1	0	0	0
chr1	154685072	2	2	0	0	0	0
chr1	154685073	2	2	0	0	0	0
chr1	154685074	2	2	0	0	0	0
chr1	154685075	2	2	0	0	0	0
chr1	154685076	2	2	0	0	0	0
chr1	154685077	2	2	0	0	0	0
chr1	154685078	2	2	0	0	0	0
chr1	154685079	2	2	0	0	0	0
chr1	154685080	2	2	0	0	0	0
chr1	154685081	2	2	0	0	0	0
chr1	154685082	2	2	0	0	0	0
chr1	154685083	2	2	0	0	0	0
chr1	154685084	2	2	0	0	0	0
chr1	154685085	2	2	0	0	0	0
chr1	154685086	2	2	0	0	0	0
chr1	154685087	2	2	0	0	0	0
chr1	154685088	2	2	0	0	0	0
chr1	154685089	2	2	0	0	0	0
chr1	154685090	2	2	0	0	0	0
chr1	154685091	2	2	0	0	0	0
chr1	154685092	2	2	0	0	0	0
chr1	154685093	2	2	0	0	0	0
chr1	154685094	2	2	0	0	0	0
chr1	154685095	2	2	0	0	0	0
chr1	154685096	2	2	0	0	0	0
chr1	154685097	2	2	0	0	0	0
chr1	154685098	2	2	0	0	0	0
chr1	154685099	2	2	0	0	0	0
chr1	154685100	3	2	1	0	0	0
chr1	154685101	3	2	1	0	0	0
chr1	154685102	3	2	1	0	0	0
chr1	154685103	3	2	1	0	0	0
chr1	154685104	3	2	1	0	0	0
chr1	154685105	3	2	1	0	0	0
chr1	154685106	3	2	1	0	0	0
chr1	154685107	3	2	1	0	0	0
chr1	154685108	3	2	1	0	0	0
chr1	154685109	3	2	1	0	0	0
chr1	154685110	3	2	1	0	0	0
chr1	154685111	3	2	1	0	0	0
chr1	154685112	3	2	1	0	0	0
chr1	154685113	2	1	1	0	0	0
chr1	154685114	2	1	1	0	0	0
chr1	154685115	2	1	1	0	0	0
chr1	154685116	2	1	1	0	0	0
chr1	154685117	2	1	1	0	0	0
chr1	154685118	2	1	1	0	0	0
chr1	154685119	2	1	1	0	0	0
chr1	154685120	2	1	1	0	0	0
chr1	154685121	2	1	1	0	0	0
chr1	154685122	2	1	1	0	0	0
chr1	154685123	2	1	1	0	0	0
chr1	154685124	2	1	1	0	0	0
chr1	154685125	2	1	1	0	0	0
chr1	154685126	2	1	1	0	0	0
chr1	154685127	2	1	1	0	0	0
chr1	154685128	2	1	1	0	0	0
chr1	154685129	2	1	1	0	0	0
chr1	154685130	2	1	1	0	0	0
chr1	154685131	2	1	1	0	0	0
chr1	154685132	2	1	1	0	0	0
chr1	154685133	2	1	1	0	0	0
chr1	154685134	2	1	1	0	0	0
chr1	154685135	2	1	1	0	0	0
chr1	154685136	2	1	1	0	0	0
chr1	154685137	2	1	1	0	0	0
chr1	154685138	2	1	1	0	0	0
chr1	154685139	2	1	1	0	0	0
chr1	154685140	2	1	1	0	0	0
chr1	154685141	2	1	1	0	0	0
chr1	154685142	2	1	1	0	0	0
chr1	154685143	2	1	1	0	0	0
chr1	154685144	2	1	1	0	0	0
chr1	154685145	2	1	1	0	0	0
chr1	154685146	2	1	1	0	0	0
chr1	154685147	2	1	1	0	0	0
chr1	154685148	2	1	1	0	0	0
chr1	154685149	2	1	1	0	0	0
chr1	154685150	2	1	1	0	0	0
chr1	154685151	2	1	1	0	0	0
chr1	154685152	2	1	1	0	0	0
chr1	154685153	2	1	1	0	0	0
chr1	154685154	2	1	1	0	0	0
chr1	154685155	2	1	1	0	0	0
chr1	154685156	2	1	1	0	0	0
chr1	154685157	2	1	1	0	0	0
chr1	154685158	2	1	1	0	0	0
chr1	154685159	2	1	1	0	0	0
chr1	154685160	2	1	1	0	0	0
chr1	154685161	2	1	1	0	0	0
chr1	154685162	2	1	1	0	0	0
chr1	154685163	2	1	1	0	0	0
chr1	154685164	2	1	1	0	0	0
chr1	154685165	2	1	1	0	0	0
chr1	154685166	2	1	1	0	0	0
chr1	154685167	2	1	1	0	0	0
chr1	154685168	2	1	1	0	0	0
chr1	154685169	2	1	1	0	0	0
chr1	154685170	2	1	1	0	0	0
chr1	154685171	2	1	1	0	0	0
chr1	154685172	2	1	1	0	0	0
chr1	154685173	2	1	1	0	0	0
chr1	154685174	2	1	1	0	0	0
chr1	154685175	2	1	1	0	0	0
chr1	154685176	2	1	1	0	0	0
chr1	154685177	2	1	1	0	0	0
chr1	154685178	2	1	1	0	0	0
chr1	154685179	2	1	1	0	0	0
chr1	154685180	2	1	1	0	0	0
chr1	154685181	1	0	1	0	0	0
chr1	154685182	1	0	1	0	0	0
chr1	154685183	1	0	1	0	0	0
chr1	154685184	1	0	1	0	0	0
chr1	154685185	1	0	1	0	0	0
chr1	154685186	1	0	1	0	0	0
chr1	154685187	1	0	1	0	0	0
chr1	154685188	1	0	1	0	0	0
chr1	154685189	1	0	1	0	0	0
chr1	154685190	1	0	1	0	0	0
chr1	154685191	1	0	1	0	0	0
chr1	154685192	1	0	1	0	0	0
chr1	154685193	1	0	1	0	0	0
chr1	154685194	1	0	1	0	0	0
chr1	154685195	1	0	1	0	0	0
chr1	154685196	1	0	1	0	0	0
chr1	154685197	1	0	1	0	0	0
chr1	154685198	1	0	1	0	0	0
chr1	154685199	1	0	1	0	0	0
chr1	154685200	1	0	1	0	0	0
chr1	154685201	1	0	1	0	0	0
chr1	154685202	1	0	1	0	0	0
chr1	154685203	1	0	1	0	0	0
chr1	154685204	1	0	1	0	0	0
chr1	154685205	1	0	1	0	0	0
chr1	154685206	1	0	1	0	0	0
chr1	154685207	1	0	1	0	0	0
chr1	154685208	1	0	1	0	0	0
chr1	154685209	1	0	1	0	0	0
chr1	154685210	1	0	1	0	0	0
chr1	154685211	1	0	1	0	0	0
chr1	154685212	1	0	1	0	0	0
chr1	154685213	1	0	1	0	0	0
chr1	154685214	1	0	1	0	0	0
chr1	154685215	1	0	1	0	0	0
chr1	154685216	1	0	1	0	0	0
chr1	154685217	1	0	1	0	0	0
chr1	154685218	1	0	1	0	0	0
chr1	154685219	1	0	1	0	0	0
chr1	154685220	1	0	1	0	0	0
chr1	154685221	1	0	1	0	0	0
chr1	154685222	1	0	1	0	0	0
chr1	154685223	1	0	1	0	0	0
chr1	154685224	1	0	1	0	0	0
chr1	154685225	1	0	1	0	0	0
chr1	154685226	1	0	1	0	0	0
chr1	154685227	1	0	1	0	0	0
chr1	154685228	1	0	1	0	0	0
chr1	154685229	1	0	1	0	0	0
chr1	154685230	1	0	1	0	0	0
chr1	154685231	1	0	1	0	0	0
chr1	154685232	1	0	1	0	0	0
chr1	154685233	1	0	1	0	0	0
chr1	154685234	1	0	1	0	0	0
chr1	154685235	1	0	1	0	0	0
chr1	154685236	1	0	1	0	0	0
chr1	154685237	2	1	1	0	0	0
chr1	154685238	2	1	1	0	0	0
chr1	154685239	2	1	1	0	0	0
chr1	154685240	2	1	1	0	0	0
chr1	154685241	2	1	1	0	0	0
chr1	154685242	2	1	1	0	0	0
chr1	154685243	2	1	1	0	0	0
chr1	154685244	2	1	1	0	0	0
chr1	154685245	2	1	1	0	0	0
chr1	154685246	2	1	1	0	0	0
chr1	154685247	2	1	1	0	0	0
chr1	154685248	2	1	1	0	0	0
chr1	154685249	2	1	1	0	0	0
chr1	154685250	2	1	1	0	0	0
chr1	154685251	1	1	0	0	0	0
chr1	154685252	1	1	0	0	0	0
chr1	154685253	1	1	0	0	0	0
chr1	154685254	1	1	0	0	0	0
chr1	154685255	1	1	0	0	0	0
chr1	154685256	1	1	0	0	0	0
chr1	154685257	1	1	0	0	0	0
chr1	154685258	1	1	0	0	0	0
chr1	154685259	1	1	0	0	0	0
chr1	154685260	1	1	0	0	0	0
chr1	154685261	1	1	0	0	0	0
chr1	154685262	1	1	0	0	0	0
chr1	154685263	1	1	0	0	0	0
chr1	154685264	1	1	0	0	0	0
chr1	154685265	1	1	0	0	0	0
chr1	154685266	1	1	0	0	0	0
chr1	154685267	1	1	0	0	0	0
chr1	154685268	1	1	0	0	0	0
chr1	154685269	1	1	0	0	0	0
chr1	154685270	1	1	0	0	0	0
chr1	154685271	1	1	0	0	0	0
chr1	154685272	1	1	0	0	0	0
chr1	154685273	1	1	0	0	0	0
chr1	154685274	1	1	0	0	0	0
chr1	154685275	1	1	0	0	0	0
chr1	154685276	1	1	0	0	0	0
chr1	154685277	1	1	0	0	0	0
chr1	154685278	1	1	0	0	0	0
chr1	154685279	1	1	0	0	0	0
chr1	154685280	1	1	0	0	0	0
chr1	154685281	1	1	0	0	0	0
chr1	154685282	1	1	0	0	0	0
chr1	154685283	1	1	0	0	0	0
chr1	154685284	1	1	0	0	0	0
chr1	154685285	1	1	0	0	0	0
chr1	154685286	1	1	0	0	0	0
chr1	154685287	1	1	0	0	0	0
chr1	154685288	1	1	0	0	0	0
chr1	154685289	1	1	0	0	0	0
chr1	154685290	1	1	0	0	0	0
chr1	154685291	1	1	0	0	0	0
chr1	154685292	1	1	0	0	0	0
chr1	154685293	1	1	0	0	0	0
chr1	154685294	1	1	0	0	0	0
chr1	154685295	1	1	0	0	0	0
chr1	154685296	1	1	0	0	0	0
chr1	154685297	1	1	0	0	0	0
chr1	154685298	1	1	0	0	0	0
chr1	154685299	1	1	0	0	0	0
chr1	154685300	1	1	0	0	0	0
chr1	154685301	1	1	0	0	0	0
chr1	154685302	1	1	0	0	0	0
chr1	154685303	1	1	0	0	0	0
chr1	154685304	1	1	0	0	0	0
chr1	154685305	1	1	0	0	0	0
chr1	154685306	1	1	0	0	0	0
chr1	154685307	1	1	0	0	0	0
chr1	154685308	1	1	0	0	0	0
chr1	154685309	1	1	0	0	0	0
chr1	154685310	1	1	0	0	0	0
chr1	154685311	1	1	0	0	0	0
chr1	154685312	1	1	0	0	0	0
chr1	154685313	1	1	0	0	0	0
chr1	154685314	1	1	0	0	0	0
chr1	154685315	1	1	0	0	0	0
chr1	154685316	1	1	0	0	0	0
chr1	154685317	1	1	0	0	0	0
chr1	154685318	1	1	0	0	0	0
chr1	154685319	1	1	0	0	0	0
chr1	154685320	1	1	0	0	0	0
chr1	154685321	1	1	0	0	0	0
chr1	154685322	1	1	0	0	0	0
chr1	154685323	1	1	0	0	0	0
chr1	154685324	1	1	0	0	0	0
chr1	154685325	1	1	0	0	0	0
chr1	154685326	1	1	0	0	0	0
chr1	154685327	1	1	0	0	0	0
