chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154685365	1	1	0	0	0	0
chr1	154685366	1	1	0	0	0	0
chr1	154685367	1	1	0	0	0	0
chr1	154685368	1	1	0	0	0	0
chr1	154685369	1	1	0	0	0	0
chr1	154685370	1	1	0	0	0	0
chr1	154685371	1	1	0	0	0	0
chr1	154685372	1	1	0	0	0	0
chr1	154685373	1	1	0	0	0	0
chr1	154685374	1	1	0	0	0	0
chr1	154685375	1	1	0	0	0	0
chr1	154685376	1	1	0	0	0	0
chr1	154685377	1	1	0	0	0	0
chr1	154685378	1	1	0	0	0	0
chr1	154685379	1	1	0	0	0	0
chr1	154685380	1	1	0	0	0	0
chr1	154685381	1	1	0	0	0	0
chr1	154685382	1	1	0	0	0	0
chr1	154685383	1	1	0	0	0	0
chr1	154685384	1	1	0	0	0	0
chr1	154685385	1	1	0	0	0	0
chr1	154685386	1	1	0	0	0	0
chr1	154685387	1	1	0	0	0	0
chr1	154685388	1	1	0	0	0	0
chr1	154685389	1	1	0	0	0	0
chr1	154685390	1	1	0	0	0	0
chr1	154685391	1	1	0	0	0	0
chr1	154685392	1	1	0	0	0	0
chr1	154685393	1	1	0	0	0	0
chr1	154685394	1	1	0	0	0	0
chr1	154685395	1	1	0	0	0	0
chr1	154685396	1	1	0	0	0	0
chr1	154685397	1	1	0	0	0	0
chr1	154685398	1	1	0	0	0	0
chr1	154685399	1	1	0	0	0	0
chr1	154685400	1	1	0	0	0	0
chr1	154685401	1	1	0	0	0	0
chr1	154685402	1	1	0	0	0	0
chr1	154685403	1	1	0	0	0	0
chr1	154685404	1	1	0	0	0	0
chr1	154685405	1	1	0	0	0	0
chr1	154685406	1	1	0	0	0	0
chr1	154685407	1	1	0	0	0	0
chr1	154685408	1	1	0	0	0	0
chr1	154685409	1	1	0	0	0	0
chr1	154685410	1	1	0	0	0	0
chr1	154685411	1	1	0	0	0	0
chr1	154685412	1	1	0	0	0	0
chr1	154685413	1	1	0	0	0	0
chr1	154685414	1	1	0	0	0	0
chr1	154685415	1	1	0	0	0	0
chr1	154685416	1	1	0	0	0	0
chr1	154685417	1	1	0	0	0	0
chr1	154685418	1	1	0	0	0	0
chr1	154685419	1	1	0	0	0	0
chr1	154685420	1	1	0	0	0	0
chr1	154685421	1	1	0	0	0	0
chr1	154685422	1	1	0	0	0	0
chr1	154685423	1	1	0	0	0	0
chr1	154685424	1	1	0	0	0	0
chr1	154685425	1	1	0	0	0	0
chr1	154685426	1	1	0	0	0	0
chr1	154685427	1	1	0	0	0	0
chr1	154685428	1	1	0	0	0	0
chr1	154685429	1	1	0	0	0	0
chr1	154685430	1	1	0	0	0	0
chr1	154685431	1	1	0	0	0	0
chr1	154685432	1	1	0	0	0	0
chr1	154685433	1	1	0	0	0	0
chr1	154685434	1	1	0	0	0	0
chr1	154685435	1	1	0	0	0	0
chr1	154685436	1	1	0	0	0	0
chr1	154685437	1	1	0	0	0	0
chr1	154685438	1	1	0	0	0	0
chr1	154685439	1	1	0	0	0	0
chr1	154685440	1	1	0	0	0	0
chr1	154685441	1	1	0	0	0	0
chr1	154685442	1	1	0	0	0	0
chr1	154685443	1	1	0	0	0	0
chr1	154685444	1	1	0	0	0	0
chr1	154685445	1	1	0	0	0	0
chr1	154685446	1	1	0	0	0	0
chr1	154685447	1	1	0	0	0	0
chr1	154685448	1	1	0	0	0	0
chr1	154685449	1	1	0	0	0	0
chr1	154685450	1	1	0	0	0	0
chr1	154685451	1	1	0	0	0	0
chr1	154685452	1	1	0	0	0	0
chr1	154685453	1	1	0	0	0	0
chr1	154685454	1	1	0	0	0	0
chr1	154685455	1	1	0	0	0	0
chr1	154685456	1	1	0	0	0	0
chr1	154685457	1	1	0	0	0	0
chr1	154685458	1	1	0	0	0	0
chr1	154685459	1	1	0	0	0	0
chr1	154685460	1	1	0	0	0	0
chr1	154685461	1	1	0	0	0	0
chr1	154685462	1	1	0	0	0	0
chr1	154685463	1	1	0	0	0	0
chr1	154685464	1	1	0	0	0	0
chr1	154685465	1	1	0	0	0	0
chr1	154686511	1	0	1	0	0	0
chr1	154686512	1	0	1	0	0	0
chr1	154686513	1	0	1	0	0	0
chr1	154686514	1	0	1	0	0	0
chr1	154686515	1	0	1	0	0	0
chr1	154686516	1	0	1	0	0	0
chr1	154686517	1	0	1	0	0	0
chr1	154686518	1	0	1	0	0	0
chr1	154686519	1	0	1	0	0	0
chr1	154686520	1	0	1	0	0	0
chr1	154686521	1	0	1	0	0	0
chr1	154686522	1	0	1	0	0	0
chr1	154686523	1	0	1	0	0	0
chr1	154686524	1	0	1	0	0	0
chr1	154686525	1	0	1	0	0	0
chr1	154686526	1	0	1	0	0	0
chr1	154686527	1	0	1	0	0	0
chr1	154686528	1	0	1	0	0	0
chr1	154686529	1	0	1	0	0	0
chr1	154686530	1	0	1	0	0	0
chr1	154686531	1	0	1	0	0	0
chr1	154686532	1	0	1	0	0	0
chr1	154686533	1	0	1	0	0	0
chr1	154686534	1	0	1	0	0	0
chr1	154686535	1	0	1	0	0	0
chr1	154686536	1	0	1	0	0	0
chr1	154686537	1	0	1	0	0	0
chr1	154686538	1	0	1	0	0	0
chr1	154686539	1	0	1	0	0	0
chr1	154686540	1	0	1	0	0	0
chr1	154686541	1	0	1	0	0	0
chr1	154686542	1	0	1	0	0	0
chr1	154686543	1	0	1	0	0	0
chr1	154686544	1	0	1	0	0	0
chr1	154686545	1	0	1	0	0	0
chr1	154686546	1	0	1	0	0	0
chr1	154686547	1	0	1	0	0	0
chr1	154686548	1	0	1	0	0	0
chr1	154686549	1	0	1	0	0	0
chr1	154686550	1	0	1	0	0	0
chr1	154686551	1	0	1	0	0	0
chr1	154686552	1	0	1	0	0	0
chr1	154686553	1	0	1	0	0	0
chr1	154686554	1	0	1	0	0	0
chr1	154686555	1	0	1	0	0	0
chr1	154686556	1	0	1	0	0	0
chr1	154686557	1	0	1	0	0	0
chr1	154686558	1	0	1	0	0	0
chr1	154686559	1	0	1	0	0	0
chr1	154686560	1	0	1	0	0	0
chr1	154686561	1	0	1	0	0	0
chr1	154686562	1	0	1	0	0	0
chr1	154686563	1	0	1	0	0	0
chr1	154686564	1	0	1	0	0	0
chr1	154686565	1	0	1	0	0	0
chr1	154686566	1	0	1	0	0	0
chr1	154686567	1	0	1	0	0	0
chr1	154686568	1	0	1	0	0	0
chr1	154686569	1	0	1	0	0	0
chr1	154686570	1	0	1	0	0	0
chr1	154686571	1	0	1	0	0	0
chr1	154686572	1	0	1	0	0	0
chr1	154686573	1	0	1	0	0	0
chr1	154686574	1	0	1	0	0	0
chr1	154686575	1	0	1	0	0	0
chr1	154686576	1	0	1	0	0	0
chr1	154686577	1	0	1	0	0	0
chr1	154686578	1	0	1	0	0	0
chr1	154686579	1	0	1	0	0	0
chr1	154686580	1	0	1	0	0	0
chr1	154686581	1	0	1	0	0	0
chr1	154686582	1	0	1	0	0	0
chr1	154686583	1	0	1	0	0	0
chr1	154686584	1	0	1	0	0	0
chr1	154686585	2	0	2	0	0	0
chr1	154686586	2	0	2	0	0	0
chr1	154686587	2	0	2	0	0	0
chr1	154686588	2	0	2	0	0	0
chr1	154686589	2	0	2	0	0	0
chr1	154686590	2	0	2	0	0	0
chr1	154686591	2	0	2	0	0	0
chr1	154686592	2	0	2	0	0	0
chr1	154686593	2	0	2	0	0	0
chr1	154686594	2	0	2	0	0	0
chr1	154686595	2	0	2	0	0	0
chr1	154686596	2	0	2	0	0	0
chr1	154686597	2	0	2	0	0	0
chr1	154686598	2	0	2	0	0	0
chr1	154686599	2	0	2	0	0	0
chr1	154686600	2	0	2	0	0	0
chr1	154686601	2	0	2	0	0	0
chr1	154686602	2	0	2	0	0	0
chr1	154686603	2	0	2	0	0	0
chr1	154686604	2	0	2	0	0	0
chr1	154686605	2	0	2	0	0	0
chr1	154686606	2	0	2	0	0	0
chr1	154686607	2	0	2	0	0	0
chr1	154686608	2	0	2	0	0	0
chr1	154686609	2	0	2	0	0	0
chr1	154686610	2	0	2	0	0	0
chr1	154686611	2	0	2	0	0	0
chr1	154686612	1	0	1	0	0	0
chr1	154686613	1	0	1	0	0	0
chr1	154686614	1	0	1	0	0	0
chr1	154686615	1	0	1	0	0	0
chr1	154686616	1	0	1	0	0	0
chr1	154686617	1	0	1	0	0	0
chr1	154686618	1	0	1	0	0	0
chr1	154686619	1	0	1	0	0	0
chr1	154686620	1	0	1	0	0	0
chr1	154686621	1	0	1	0	0	0
chr1	154686622	1	0	1	0	0	0
chr1	154686623	1	0	1	0	0	0
