chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154684956	1	1	0	0	0	0
chr1	154684957	1	1	0	0	0	0
chr1	154684958	1	1	0	0	0	0
chr1	154684959	1	1	0	0	0	0
chr1	154684960	1	1	0	0	0	0
chr1	154684961	1	1	0	0	0	0
chr1	154684962	1	1	0	0	0	0
chr1	154684963	1	1	0	0	0	0
chr1	154684964	1	1	0	0	0	0
chr1	154684965	1	1	0	0	0	0
chr1	154684966	1	1	0	0	0	0
chr1	154684967	1	1	0	0	0	0
chr1	154684968	1	1	0	0	0	0
chr1	154684969	1	1	0	0	0	0
chr1	154684970	1	1	0	0	0	0
chr1	154684971	1	1	0	0	0	0
chr1	154684972	1	1	0	0	0	0
chr1	154684973	1	1	0	0	0	0
chr1	154684974	1	1	0	0	0	0
chr1	154684975	1	1	0	0	0	0
chr1	154684976	1	1	0	0	0	0
chr1	154684977	1	1	0	0	0	0
chr1	154684978	1	1	0	0	0	0
chr1	154684979	1	1	0	0	0	0
chr1	154684980	1	1	0	0	0	0
chr1	154684981	1	1	0	0	0	0
chr1	154684982	1	1	0	0	0	0
chr1	154684983	1	1	0	0	0	0
chr1	154684984	1	1	0	0	0	0
chr1	154684985	1	1	0	0	0	0
chr1	154684986	1	1	0	0	0	0
chr1	154684987	1	1	0	0	0	0
chr1	154684988	1	1	0	0	0	0
chr1	154684989	1	1	0	0	0	0
chr1	154684990	1	1	0	0	0	0
chr1	154684991	1	1	0	0	0	0
chr1	154684992	1	1	0	0	0	0
chr1	154684993	1	1	0	0	0	0
chr1	154684994	1	1	0	0	0	0
chr1	154684995	1	1	0	0	0	0
chr1	154684996	1	1	0	0	0	0
chr1	154684997	1	1	0	0	0	0
chr1	154684998	1	1	0	0	0	0
chr1	154684999	1	1	0	0	0	0
chr1	154685000	1	1	0	0	0	0
chr1	154685001	1	1	0	0	0	0
chr1	154685002	1	1	0	0	0	0
chr1	154685003	1	1	0	0	0	0
