chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154684902	1	0	1	0	0	0
chr1	154684903	1	0	1	0	0	0
chr1	154684904	1	0	1	0	0	0
chr1	154684905	1	0	1	0	0	0
chr1	154684906	1	0	1	0	0	0
chr1	154684907	1	0	1	0	0	0
chr1	154684908	1	0	1	0	0	0
chr1	154684909	1	0	1	0	0	0
chr1	154684910	1	0	1	0	0	0
chr1	154684911	1	0	1	0	0	0
chr1	154684912	1	0	1	0	0	0
chr1	154684913	1	0	1	0	0	0
chr1	154684914	1	0	1	0	0	0
chr1	154684915	1	0	1	0	0	0
chr1	154684916	1	0	1	0	0	0
chr1	154684917	1	0	1	0	0	0
chr1	154684918	1	0	1	0	0	0
chr1	154684919	1	0	1	0	0	0
chr1	154684920	1	0	1	0	0	0
chr1	154684921	1	0	1	0	0	0
chr1	154684922	1	0	1	0	0	0
chr1	154684923	2	1	1	0	0	0
chr1	154684924	2	1	1	0	0	0
chr1	154684925	2	1	1	0	0	0
chr1	154684926	2	1	1	0	0	0
chr1	154684927	2	1	1	0	0	0
chr1	154684928	2	1	1	0	0	0
chr1	154684929	2	1	1	0	0	0
chr1	154684930	2	1	1	0	0	0
chr1	154684931	2	1	1	0	0	0
chr1	154684932	2	1	1	0	0	0
chr1	154684933	2	1	1	0	0	0
chr1	154684934	2	1	1	0	0	0
chr1	154684935	2	1	1	0	0	0
chr1	154684936	2	1	1	0	0	0
chr1	154684937	2	1	1	0	0	0
chr1	154684938	2	1	1	0	0	0
chr1	154684939	2	1	1	0	0	0
chr1	154684940	2	1	1	0	0	0
chr1	154684941	2	1	1	0	0	0
chr1	154684942	2	1	1	0	0	0
chr1	154684943	2	1	1	0	0	0
chr1	154684944	2	1	1	0	0	0
chr1	154684945	2	1	1	0	0	0
chr1	154684946	2	1	1	0	0	0
chr1	154684947	2	1	1	0	0	0
chr1	154684948	2	1	1	0	0	0
chr1	154684949	2	1	1	0	0	0
chr1	154684950	2	1	1	0	0	0
chr1	154684951	2	1	1	0	0	0
chr1	154684952	2	1	1	0	0	0
chr1	154684953	2	1	1	0	0	0
chr1	154684954	2	1	1	0	0	0
chr1	154684955	2	1	1	0	0	0
chr1	154684956	2	1	1	0	0	0
chr1	154684957	2	1	1	0	0	0
chr1	154684958	2	1	1	0	0	0
chr1	154684959	2	1	1	0	0	0
chr1	154684960	2	1	1	0	0	0
chr1	154684961	2	1	1	0	0	0
chr1	154684962	2	1	1	0	0	0
chr1	154684963	2	1	1	0	0	0
chr1	154684964	2	1	1	0	0	0
chr1	154684965	2	1	1	0	0	0
chr1	154684966	2	1	1	0	0	0
chr1	154684967	2	1	1	0	0	0
chr1	154684968	2	1	1	0	0	0
chr1	154684969	2	1	1	0	0	0
chr1	154684970	2	1	1	0	0	0
chr1	154684971	2	1	1	0	0	0
chr1	154684972	2	1	1	0	0	0
chr1	154684973	2	1	1	0	0	0
chr1	154684974	2	1	1	0	0	0
chr1	154684975	2	1	1	0	0	0
chr1	154684976	2	1	1	0	0	0
chr1	154684977	2	1	1	0	0	0
chr1	154684978	2	1	1	0	0	0
chr1	154684979	2	1	1	0	0	0
chr1	154684980	2	1	1	0	0	0
chr1	154684981	2	1	1	0	0	0
chr1	154684982	2	1	1	0	0	0
chr1	154684983	2	1	1	0	0	0
chr1	154684984	2	1	1	0	0	0
chr1	154684985	2	1	1	0	0	0
chr1	154684986	2	1	1	0	0	0
chr1	154684987	2	1	1	0	0	0
chr1	154684988	2	1	1	0	0	0
chr1	154684989	2	1	1	0	0	0
chr1	154684990	2	1	1	0	0	0
chr1	154684991	2	1	1	0	0	0
chr1	154684992	2	1	1	0	0	0
chr1	154684993	2	1	1	0	0	0
chr1	154684994	2	1	1	0	0	0
chr1	154684995	2	1	1	0	0	0
chr1	154684996	2	1	1	0	0	0
chr1	154684997	2	1	1	0	0	0
chr1	154684998	2	1	1	0	0	0
chr1	154684999	2	1	1	0	0	0
chr1	154685000	2	1	1	0	0	0
chr1	154685001	2	1	1	0	0	0
chr1	154685002	2	1	1	0	0	0
chr1	154685003	1	1	0	0	0	0
chr1	154685004	1	1	0	0	0	0
chr1	154685005	1	1	0	0	0	0
chr1	154685006	1	1	0	0	0	0
chr1	154685007	1	1	0	0	0	0
chr1	154685008	1	1	0	0	0	0
chr1	154685009	1	1	0	0	0	0
chr1	154685010	1	1	0	0	0	0
chr1	154685011	1	1	0	0	0	0
chr1	154685012	1	1	0	0	0	0
chr1	154685013	1	1	0	0	0	0
chr1	154685014	1	1	0	0	0	0
chr1	154685015	1	1	0	0	0	0
chr1	154685016	2	1	1	0	0	0
chr1	154685017	2	1	1	0	0	0
chr1	154685018	2	1	1	0	0	0
chr1	154685019	2	1	1	0	0	0
chr1	154685020	2	1	1	0	0	0
chr1	154685021	2	1	1	0	0	0
chr1	154685022	2	1	1	0	0	0
chr1	154685023	2	1	1	0	0	0
chr1	154685024	1	0	1	0	0	0
chr1	154685025	1	0	1	0	0	0
chr1	154685026	1	0	1	0	0	0
chr1	154685027	1	0	1	0	0	0
chr1	154685028	1	0	1	0	0	0
chr1	154685029	1	0	1	0	0	0
chr1	154685030	1	0	1	0	0	0
chr1	154685031	1	0	1	0	0	0
chr1	154685032	1	0	1	0	0	0
chr1	154685033	1	0	1	0	0	0
chr1	154685034	1	0	1	0	0	0
chr1	154685035	1	0	1	0	0	0
chr1	154685036	1	0	1	0	0	0
chr1	154685037	1	0	1	0	0	0
chr1	154685038	1	0	1	0	0	0
chr1	154685039	1	0	1	0	0	0
chr1	154685040	1	0	1	0	0	0
chr1	154685041	1	0	1	0	0	0
chr1	154685042	1	0	1	0	0	0
chr1	154685043	2	1	1	0	0	0
chr1	154685044	2	1	1	0	0	0
chr1	154685045	2	1	1	0	0	0
chr1	154685046	2	1	1	0	0	0
chr1	154685047	2	1	1	0	0	0
chr1	154685048	2	1	1	0	0	0
chr1	154685049	2	1	1	0	0	0
chr1	154685050	2	1	1	0	0	0
chr1	154685051	2	1	1	0	0	0
chr1	154685052	2	1	1	0	0	0
chr1	154685053	3	2	1	0	0	0
chr1	154685054	3	2	1	0	0	0
chr1	154685055	3	2	1	0	0	0
chr1	154685056	3	2	1	0	0	0
chr1	154685057	3	2	1	0	0	0
chr1	154685058	3	2	1	0	0	0
chr1	154685059	3	2	1	0	0	0
chr1	154685060	3	2	1	0	0	0
chr1	154685061	3	2	1	0	0	0
chr1	154685062	4	2	2	0	0	0
chr1	154685063	4	2	2	0	0	0
chr1	154685064	4	2	2	0	0	0
chr1	154685065	4	2	2	0	0	0
chr1	154685066	4	2	2	0	0	0
chr1	154685067	4	2	2	0	0	0
chr1	154685068	4	2	2	0	0	0
chr1	154685069	4	2	2	0	0	0
chr1	154685070	4	2	2	0	0	0
chr1	154685071	4	2	2	0	0	0
chr1	154685072	4	2	2	0	0	0
chr1	154685073	4	2	2	0	0	0
chr1	154685074	4	2	2	0	0	0
chr1	154685075	4	2	2	0	0	0
chr1	154685076	4	2	2	0	0	0
chr1	154685077	4	2	2	0	0	0
chr1	154685078	4	2	2	0	0	0
chr1	154685079	4	2	2	0	0	0
chr1	154685080	4	2	2	0	0	0
chr1	154685081	4	2	2	0	0	0
chr1	154685082	4	2	2	0	0	0
chr1	154685083	4	2	2	0	0	0
chr1	154685084	4	2	2	0	0	0
chr1	154685085	4	2	2	0	0	0
chr1	154685086	4	2	2	0	0	0
chr1	154685087	4	2	2	0	0	0
chr1	154685088	4	2	2	0	0	0
chr1	154685089	5	2	3	0	0	0
chr1	154685090	5	2	3	0	0	0
chr1	154685091	5	2	3	0	0	0
chr1	154685092	5	2	3	0	0	0
chr1	154685093	5	2	3	0	0	0
chr1	154685094	5	2	3	0	0	0
chr1	154685095	5	2	3	0	0	0
chr1	154685096	5	2	3	0	0	0
chr1	154685097	5	2	3	0	0	0
chr1	154685098	5	2	3	0	0	0
chr1	154685099	5	2	3	0	0	0
chr1	154685100	5	2	3	0	0	0
chr1	154685101	5	2	3	0	0	0
