chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr19	17940297	1	1	0	0	0	0
chr19	17940298	1	1	0	0	0	0
chr19	17940299	1	1	0	0	0	0
chr19	17940300	1	1	0	0	0	0
chr19	17940301	1	1	0	0	0	0
chr19	17940302	1	1	0	0	0	0
chr19	17940303	1	1	0	0	0	0
chr19	17940304	1	1	0	0	0	0
chr19	17940305	1	1	0	0	0	0
chr19	17940306	1	1	0	0	0	0
chr19	17940307	1	1	0	0	0	0
chr19	17940308	1	1	0	0	0	0
chr19	17940309	1	1	0	0	0	0
chr19	17940310	1	1	0	0	0	0
chr19	17940311	1	1	0	0	0	0
chr19	17940312	1	1	0	0	0	0
chr19	17940313	1	1	0	0	0	0
chr19	17940314	1	1	0	0	0	0
chr19	17940315	1	1	0	0	0	0
chr19	17940316	1	1	0	0	0	0
chr19	17940317	1	1	0	0	0	0
chr19	17940318	1	1	0	0	0	0
chr19	17940319	1	1	0	0	0	0
chr19	17940320	1	1	0	0	0	0
chr19	17940321	1	1	0	0	0	0
chr19	17940322	1	1	0	0	0	0
chr19	17940323	1	1	0	0	0	0
chr19	17940324	1	1	0	0	0	0
chr19	17940325	1	1	0	0	0	0
chr19	17940326	1	1	0	0	0	0
chr19	17940327	1	1	0	0	0	0
chr19	17940328	1	1	0	0	0	0
chr19	17940329	1	1	0	0	0	0
chr19	17940330	1	1	0	0	0	0
chr19	17940331	1	1	0	0	0	0
chr19	17940332	1	1	0	0	0	0
chr19	17940333	1	1	0	0	0	0
chr19	17940334	1	1	0	0	0	0
chr19	17940335	2	1	1	0	0	0
chr19	17940336	2	1	1	0	0	0
chr19	17940337	2	1	1	0	0	0
chr19	17940338	2	1	1	0	0	0
chr19	17940339	2	1	1	0	0	0
chr19	17940340	2	1	1	0	0	0
chr19	17940341	2	1	1	0	0	0
chr19	17940342	2	1	1	0	0	0
chr19	17940343	2	1	1	0	0	0
chr19	17940344	2	1	1	0	0	0
chr19	17940345	2	1	1	0	0	0
chr19	17940346	2	1	1	0	0	0
chr19	17940347	2	1	1	0	0	0
chr19	17940348	2	1	1	0	0	0
chr19	17940349	2	1	1	0	0	0
chr19	17940350	2	1	1	0	0	0
chr19	17940351	2	1	1	0	0	0
chr19	17940352	2	1	1	0	0	0
chr19	17940353	2	1	1	0	0	0
chr19	17940354	2	1	1	0	0	0
chr19	17940355	2	1	1	0	0	0
chr19	17940356	2	1	1	0	0	0
chr19	17940357	2	1	1	0	0	0
chr19	17940358	2	1	1	0	0	0
chr19	17940359	2	1	1	0	0	0
chr19	17940360	2	1	1	0	0	0
chr19	17940361	2	1	1	0	0	0
chr19	17940362	2	1	1	0	0	0
chr19	17940363	2	1	1	0	0	0
chr19	17940364	2	1	1	0	0	0
chr19	17940365	2	1	1	0	0	0
chr19	17940366	2	1	1	0	0	0
chr19	17940367	2	1	1	0	0	0
chr19	17940368	2	1	1	0	0	0
chr19	17940369	2	1	1	0	0	0
chr19	17940370	2	1	1	0	0	0
chr19	17940371	2	1	1	0	0	0
chr19	17940372	2	1	1	0	0	0
chr19	17940373	2	1	1	0	0	0
chr19	17940374	2	1	1	0	0	0
chr19	17940375	2	1	1	0	0	0
chr19	17940376	2	1	1	0	0	0
chr19	17940377	2	1	1	0	0	0
chr19	17940378	2	1	1	0	0	0
chr19	17940379	2	1	1	0	0	0
chr19	17940380	2	1	1	0	0	0
chr19	17940381	2	1	1	0	0	0
chr19	17940382	2	1	1	0	0	0
chr19	17940383	2	1	1	0	0	0
chr19	17940384	2	1	1	0	0	0
chr19	17940385	2	1	1	0	0	0
chr19	17940386	2	1	1	0	0	0
chr19	17940387	2	1	1	0	0	0
chr19	17940388	2	1	1	0	0	0
chr19	17940389	2	1	1	0	0	0
chr19	17940390	2	1	1	0	0	0
chr19	17940391	2	1	1	0	0	0
chr19	17940392	2	1	1	0	0	0
chr19	17940393	2	1	1	0	0	0
chr19	17940394	2	1	1	0	0	0
chr19	17940395	2	1	1	0	0	0
chr19	17940396	2	1	1	0	0	0
chr19	17940397	2	1	1	0	0	0
chr19	17940398	1	0	1	0	0	0
chr19	17940399	1	0	1	0	0	0
chr19	17940400	1	0	1	0	0	0
chr19	17940401	1	0	1	0	0	0
chr19	17940402	1	0	1	0	0	0
chr19	17940403	1	0	1	0	0	0
chr19	17940404	1	0	1	0	0	0
chr19	17940405	1	0	1	0	0	0
chr19	17940406	1	0	1	0	0	0
chr19	17940407	1	0	1	0	0	0
chr19	17940408	1	0	1	0	0	0
chr19	17940409	1	0	1	0	0	0
chr19	17940410	1	0	1	0	0	0
chr19	17940411	1	0	1	0	0	0
chr19	17940412	1	0	1	0	0	0
chr19	17940413	1	0	1	0	0	0
chr19	17940414	1	0	1	0	0	0
chr19	17940415	1	0	1	0	0	0
chr19	17940416	1	0	1	0	0	0
chr19	17940417	1	0	1	0	0	0
chr19	17940418	1	0	1	0	0	0
chr19	17940419	1	0	1	0	0	0
chr19	17940420	1	0	1	0	0	0
chr19	17940421	1	0	1	0	0	0
chr19	17940422	1	0	1	0	0	0
chr19	17940423	1	0	1	0	0	0
chr19	17940424	1	0	1	0	0	0
chr19	17940425	1	0	1	0	0	0
chr19	17940426	1	0	1	0	0	0
chr19	17940427	1	0	1	0	0	0
chr19	17940428	1	0	1	0	0	0
chr19	17940429	1	0	1	0	0	0
chr19	17940430	1	0	1	0	0	0
chr19	17940431	1	0	1	0	0	0
chr19	17940432	1	0	1	0	0	0
chr19	17940433	1	0	1	0	0	0
chr19	17940434	1	0	1	0	0	0
chr19	17940435	1	0	1	0	0	0
chr19	17940610	1	0	1	0	0	0
chr19	17940611	1	0	1	0	0	0
chr19	17940612	1	0	1	0	0	0
chr19	17940613	1	0	1	0	0	0
chr19	17940614	1	0	1	0	0	0
chr19	17940615	1	0	1	0	0	0
chr19	17940616	1	0	1	0	0	0
chr19	17940617	1	0	1	0	0	0
chr19	17940618	1	0	1	0	0	0
chr19	17940619	1	0	1	0	0	0
chr19	17940620	1	0	1	0	0	0
chr19	17940621	1	0	1	0	0	0
chr19	17940622	1	0	1	0	0	0
chr19	17940623	1	0	1	0	0	0
chr19	17940624	1	0	1	0	0	0
chr19	17940625	1	0	1	0	0	0
chr19	17940626	1	0	1	0	0	0
chr19	17940627	1	0	1	0	0	0
chr19	17940628	1	0	1	0	0	0
chr19	17940629	1	0	1	0	0	0
chr19	17940630	1	0	1	0	0	0
chr19	17940631	1	0	1	0	0	0
chr19	17940632	1	0	1	0	0	0
chr19	17940633	1	0	1	0	0	0
chr19	17940634	1	0	1	0	0	0
chr19	17940635	1	0	1	0	0	0
chr19	17940636	1	0	1	0	0	0
chr19	17940637	1	0	1	0	0	0
chr19	17940638	1	0	1	0	0	0
chr19	17940639	1	0	1	0	0	0
chr19	17940640	1	0	1	0	0	0
chr19	17940641	1	0	1	0	0	0
chr19	17940642	1	0	1	0	0	0
chr19	17940643	1	0	1	0	0	0
chr19	17940644	1	0	1	0	0	0
chr19	17940645	1	0	1	0	0	0
chr19	17940646	1	0	1	0	0	0
chr19	17940647	1	0	1	0	0	0
chr19	17940648	1	0	1	0	0	0
chr19	17940649	1	0	1	0	0	0
chr19	17940650	1	0	1	0	0	0
chr19	17940651	1	0	1	0	0	0
chr19	17940652	1	0	1	0	0	0
chr19	17940653	1	0	1	0	0	0
chr19	17940654	1	0	1	0	0	0
chr19	17940655	1	0	1	0	0	0
chr19	17940656	1	0	1	0	0	0
chr19	17940657	1	0	1	0	0	0
chr19	17940658	1	0	1	0	0	0
chr19	17940659	1	0	1	0	0	0
chr19	17940660	1	0	1	0	0	0
chr19	17940661	1	0	1	0	0	0
chr19	17940662	1	0	1	0	0	0
chr19	17940663	1	0	1	0	0	0
chr19	17940664	1	0	1	0	0	0
chr19	17940665	1	0	1	0	0	0
chr19	17940666	1	0	1	0	0	0
chr19	17940667	1	0	1	0	0	0
chr19	17940668	1	0	1	0	0	0
chr19	17940669	1	0	1	0	0	0
chr19	17940670	1	0	1	0	0	0
chr19	17940671	1	0	1	0	0	0
chr19	17940672	1	0	1	0	0	0
chr19	17940673	1	0	1	0	0	0
chr19	17940674	1	0	1	0	0	0
chr19	17940675	1	0	1	0	0	0
chr19	17940676	1	0	1	0	0	0
chr19	17940677	1	0	1	0	0	0
chr19	17940678	1	0	1	0	0	0
chr19	17940679	1	0	1	0	0	0
chr19	17940680	1	0	1	0	0	0
chr19	17940681	1	0	1	0	0	0
chr19	17940682	1	0	1	0	0	0
chr19	17940683	2	1	1	0	0	0
chr19	17940684	2	1	1	0	0	0
chr19	17940685	2	1	1	0	0	0
chr19	17940686	2	1	1	0	0	0
chr19	17940687	2	1	1	0	0	0
chr19	17940688	2	1	1	0	0	0
chr19	17940689	2	1	1	0	0	0
chr19	17940690	2	1	1	0	0	0
chr19	17940691	2	1	1	0	0	0
chr19	17940692	2	1	1	0	0	0
chr19	17940693	2	1	1	0	0	0
chr19	17940694	3	1	2	0	0	0
chr19	17940695	3	1	2	0	0	0
chr19	17940696	3	1	2	0	0	0
chr19	17940697	3	1	2	0	0	0
chr19	17940698	3	1	2	0	0	0
chr19	17940699	3	1	2	0	0	0
chr19	17940700	3	1	2	0	0	0
chr19	17940701	3	1	2	0	0	0
chr19	17940702	3	1	2	0	0	0
chr19	17940703	3	1	2	0	0	0
chr19	17940704	3	1	2	0	0	0
chr19	17940705	3	1	2	0	0	0
chr19	17940706	3	1	2	0	0	0
chr19	17940707	3	1	2	0	0	0
chr19	17940708	3	1	2	0	0	0
chr19	17940709	3	1	2	0	0	0
chr19	17940710	3	1	2	0	0	0
chr19	17940711	2	1	1	0	0	0
chr19	17940712	2	1	1	0	0	0
chr19	17940713	2	1	1	0	0	0
chr19	17940714	2	1	1	0	0	0
chr19	17940715	2	1	1	0	0	0
chr19	17940716	2	1	1	0	0	0
chr19	17940717	2	1	1	0	0	0
chr19	17940718	2	1	1	0	0	0
chr19	17940719	2	1	1	0	0	0
chr19	17940720	2	1	1	0	0	0
chr19	17940721	2	1	1	0	0	0
chr19	17940722	2	1	1	0	0	0
