chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154685446	1	0	1	0	0	0
chr1	154685447	1	0	1	0	0	0
chr1	154685448	1	0	1	0	0	0
chr1	154685449	1	0	1	0	0	0
chr1	154685450	1	0	1	0	0	0
chr1	154685451	1	0	1	0	0	0
chr1	154685452	1	0	1	0	0	0
chr1	154685453	1	0	1	0	0	0
chr1	154685454	1	0	1	0	0	0
chr1	154685455	1	0	1	0	0	0
chr1	154685456	1	0	1	0	0	0
chr1	154685457	1	0	1	0	0	0
chr1	154685458	1	0	1	0	0	0
chr1	154685459	1	0	1	0	0	0
chr1	154685460	1	0	1	0	0	0
chr1	154685461	1	0	1	0	0	0
chr1	154685462	1	0	1	0	0	0
chr1	154685463	1	0	1	0	0	0
chr1	154685464	1	0	1	0	0	0
chr1	154685465	1	0	1	0	0	0
chr1	154685466	1	0	1	0	0	0
chr1	154685467	1	0	1	0	0	0
chr1	154685468	1	0	1	0	0	0
chr1	154685469	1	0	1	0	0	0
chr1	154685470	1	0	1	0	0	0
chr1	154685471	1	0	1	0	0	0
chr1	154685472	1	0	1	0	0	0
chr1	154685473	1	0	1	0	0	0
chr1	154685474	1	0	1	0	0	0
chr1	154685475	1	0	1	0	0	0
chr1	154685476	1	0	1	0	0	0
chr1	154685477	1	0	1	0	0	0
chr1	154685478	1	0	1	0	0	0
chr1	154685479	1	0	1	0	0	0
chr1	154685480	1	0	1	0	0	0
chr1	154685481	1	0	1	0	0	0
chr1	154685482	1	0	1	0	0	0
chr1	154685483	1	0	1	0	0	0
chr1	154685484	1	0	1	0	0	0
chr1	154685485	1	0	1	0	0	0
chr1	154685486	1	0	1	0	0	0
chr1	154685487	1	0	1	0	0	0
chr1	154685488	1	0	1	0	0	0
chr1	154685489	1	0	1	0	0	0
chr1	154685490	1	0	1	0	0	0
chr1	154685491	1	0	1	0	0	0
chr1	154685492	1	0	1	0	0	0
chr1	154685493	1	0	1	0	0	0
chr1	154685494	1	0	1	0	0	0
chr1	154685495	1	0	1	0	0	0
chr1	154685496	1	0	1	0	0	0
chr1	154685497	1	0	1	0	0	0
chr1	154685498	1	0	1	0	0	0
chr1	154685499	1	0	1	0	0	0
chr1	154685500	1	0	1	0	0	0
chr1	154685501	1	0	1	0	0	0
chr1	154685502	1	0	1	0	0	0
chr1	154685503	1	0	1	0	0	0
chr1	154685504	1	0	1	0	0	0
chr1	154685505	1	0	1	0	0	0
chr1	154685506	1	0	1	0	0	0
chr1	154685507	1	0	1	0	0	0
chr1	154685508	1	0	1	0	0	0
chr1	154685509	1	0	1	0	0	0
chr1	154685510	1	0	1	0	0	0
chr1	154685511	1	0	1	0	0	0
chr1	154685512	1	0	1	0	0	0
chr1	154685513	1	0	1	0	0	0
chr1	154685514	1	0	1	0	0	0
chr1	154685515	1	0	1	0	0	0
chr1	154685516	1	0	1	0	0	0
chr1	154685517	1	0	1	0	0	0
chr1	154685518	1	0	1	0	0	0
chr1	154685519	1	0	1	0	0	0
chr1	154685520	1	0	1	0	0	0
chr1	154685521	1	0	1	0	0	0
chr1	154685522	1	0	1	0	0	0
chr1	154685523	1	0	1	0	0	0
chr1	154685524	1	0	1	0	0	0
chr1	154685525	1	0	1	0	0	0
chr1	154685526	1	0	1	0	0	0
chr1	154685527	1	0	1	0	0	0
chr1	154685528	1	0	1	0	0	0
chr1	154685529	1	0	1	0	0	0
chr1	154685530	1	0	1	0	0	0
