chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154684991	1	0	1	0	0	0
chr1	154684992	1	0	1	0	0	0
chr1	154684993	1	0	1	0	0	0
chr1	154684994	1	0	1	0	0	0
chr1	154684995	1	0	1	0	0	0
chr1	154684996	1	0	1	0	0	0
chr1	154684997	1	0	1	0	0	0
chr1	154684998	1	0	1	0	0	0
chr1	154684999	1	0	1	0	0	0
chr1	154685000	1	0	1	0	0	0
chr1	154685001	1	0	1	0	0	0
chr1	154685002	1	0	1	0	0	0
chr1	154685003	1	0	1	0	0	0
chr1	154685004	1	0	1	0	0	0
chr1	154685005	1	0	1	0	0	0
chr1	154685006	1	0	1	0	0	0
chr1	154685007	1	0	1	0	0	0
chr1	154685008	1	0	1	0	0	0
chr1	154685009	1	0	1	0	0	0
chr1	154685010	1	0	1	0	0	0
chr1	154685011	1	0	1	0	0	0
chr1	154685012	1	0	1	0	0	0
chr1	154685013	1	0	1	0	0	0
chr1	154685014	1	0	1	0	0	0
chr1	154685015	1	0	1	0	0	0
chr1	154685016	1	0	1	0	0	0
chr1	154685017	1	0	1	0	0	0
chr1	154685018	1	0	1	0	0	0
chr1	154685019	1	0	1	0	0	0
chr1	154685020	1	0	1	0	0	0
chr1	154685021	1	0	1	0	0	0
chr1	154685022	1	0	1	0	0	0
chr1	154685023	1	0	1	0	0	0
chr1	154685024	1	0	1	0	0	0
chr1	154685025	1	0	1	0	0	0
chr1	154685026	1	0	1	0	0	0
chr1	154685027	1	0	1	0	0	0
chr1	154685028	1	0	1	0	0	0
chr1	154685029	1	0	1	0	0	0
chr1	154685030	1	0	1	0	0	0
chr1	154685031	1	0	1	0	0	0
chr1	154685032	1	0	1	0	0	0
chr1	154685033	1	0	1	0	0	0
chr1	154685034	1	0	1	0	0	0
chr1	154685035	1	0	1	0	0	0
chr1	154685036	1	0	1	0	0	0
chr1	154685037	1	0	1	0	0	0
chr1	154685038	1	0	1	0	0	0
chr1	154685039	1	0	1	0	0	0
chr1	154685040	1	0	1	0	0	0
chr1	154685041	1	0	1	0	0	0
chr1	154685042	1	0	1	0	0	0
chr1	154685043	1	0	1	0	0	0
chr1	154685044	1	0	1	0	0	0
chr1	154685045	1	0	1	0	0	0
chr1	154685046	1	0	1	0	0	0
chr1	154685047	1	0	1	0	0	0
chr1	154685048	1	0	1	0	0	0
chr1	154685049	1	0	1	0	0	0
chr1	154685050	1	0	1	0	0	0
chr1	154685051	1	0	1	0	0	0
chr1	154685052	1	0	1	0	0	0
chr1	154685053	1	0	1	0	0	0
chr1	154685054	1	0	1	0	0	0
chr1	154685055	1	0	1	0	0	0
chr1	154685056	2	1	1	0	0	0
chr1	154685057	2	1	1	0	0	0
chr1	154685058	2	1	1	0	0	0
chr1	154685059	2	1	1	0	0	0
chr1	154685060	2	1	1	0	0	0
chr1	154685061	2	1	1	0	0	0
chr1	154685062	2	1	1	0	0	0
chr1	154685063	2	1	1	0	0	0
chr1	154685064	2	1	1	0	0	0
chr1	154685065	2	1	1	0	0	0
chr1	154685066	2	1	1	0	0	0
chr1	154685067	2	1	1	0	0	0
chr1	154685068	2	1	1	0	0	0
chr1	154685069	2	1	1	0	0	0
chr1	154685070	2	1	1	0	0	0
chr1	154685071	2	1	1	0	0	0
chr1	154685072	2	1	1	0	0	0
chr1	154685073	2	1	1	0	0	0
chr1	154685074	2	1	1	0	0	0
chr1	154685075	2	1	1	0	0	0
chr1	154685076	2	1	1	0	0	0
chr1	154685077	2	1	1	0	0	0
chr1	154685078	2	1	1	0	0	0
chr1	154685079	2	1	1	0	0	0
chr1	154685080	2	1	1	0	0	0
chr1	154685081	2	1	1	0	0	0
chr1	154685082	2	1	1	0	0	0
chr1	154685083	3	2	1	0	0	0
chr1	154685084	3	2	1	0	0	0
chr1	154685085	3	2	1	0	0	0
chr1	154685086	3	2	1	0	0	0
chr1	154685087	3	2	1	0	0	0
chr1	154685088	3	2	1	0	0	0
chr1	154685089	3	2	1	0	0	0
chr1	154685090	3	2	1	0	0	0
chr1	154685091	3	2	1	0	0	0
chr1	154685092	3	2	1	0	0	0
chr1	154685093	3	2	1	0	0	0
chr1	154685094	3	2	1	0	0	0
chr1	154685095	3	2	1	0	0	0
chr1	154685096	3	2	1	0	0	0
chr1	154685097	3	2	1	0	0	0
chr1	154685098	3	2	1	0	0	0
chr1	154685099	3	2	1	0	0	0
chr1	154685100	3	2	1	0	0	0
chr1	154685101	3	2	1	0	0	0
chr1	154685102	3	2	1	0	0	0
chr1	154685103	3	2	1	0	0	0
chr1	154685104	3	2	1	0	0	0
chr1	154685105	3	2	1	0	0	0
chr1	154685106	3	2	1	0	0	0
chr1	154685107	3	2	1	0	0	0
chr1	154685108	3	2	1	0	0	0
chr1	154685109	3	2	1	0	0	0
chr1	154685110	3	2	1	0	0	0
chr1	154685111	3	2	1	0	0	0
chr1	154685112	3	2	1	0	0	0
chr1	154685113	3	2	1	0	0	0
chr1	154685114	3	2	1	0	0	0
chr1	154685115	3	2	1	0	0	0
chr1	154685116	3	2	1	0	0	0
chr1	154685117	3	2	1	0	0	0
chr1	154685118	3	2	1	0	0	0
chr1	154685119	3	2	1	0	0	0
chr1	154685120	3	2	1	0	0	0
chr1	154685121	3	2	1	0	0	0
chr1	154685122	3	2	1	0	0	0
chr1	154685123	3	2	1	0	0	0
chr1	154685124	3	2	1	0	0	0
chr1	154685125	3	2	1	0	0	0
chr1	154685126	3	2	1	0	0	0
chr1	154685127	3	2	1	0	0	0
chr1	154685128	3	2	1	0	0	0
chr1	154685129	3	2	1	0	0	0
chr1	154685130	3	2	1	0	0	0
chr1	154685131	3	2	1	0	0	0
chr1	154685132	3	2	1	0	0	0
chr1	154685133	3	2	1	0	0	0
chr1	154685134	3	2	1	0	0	0
chr1	154685135	3	2	1	0	0	0
chr1	154685136	3	2	1	0	0	0
chr1	154685137	3	2	1	0	0	0
chr1	154685138	3	2	1	0	0	0
chr1	154685139	3	2	1	0	0	0
chr1	154685140	3	2	1	0	0	0
chr1	154685141	3	2	1	0	0	0
chr1	154685142	2	2	0	0	0	0
chr1	154685143	2	2	0	0	0	0
chr1	154685144	2	2	0	0	0	0
chr1	154685145	2	2	0	0	0	0
chr1	154685146	2	2	0	0	0	0
chr1	154685147	2	2	0	0	0	0
chr1	154685148	2	2	0	0	0	0
chr1	154685149	2	2	0	0	0	0
chr1	154685150	2	2	0	0	0	0
chr1	154685151	2	2	0	0	0	0
chr1	154685152	2	2	0	0	0	0
chr1	154685153	2	2	0	0	0	0
chr1	154685154	2	2	0	0	0	0
chr1	154685155	2	2	0	0	0	0
chr1	154685156	2	2	0	0	0	0
chr1	154685157	2	2	0	0	0	0
chr1	154685158	2	2	0	0	0	0
chr1	154685159	2	2	0	0	0	0
chr1	154685160	2	2	0	0	0	0
