chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr19	17940131	1	0	1	0	0	0
chr19	17940132	1	0	1	0	0	0
chr19	17940133	1	0	1	0	0	0
chr19	17940134	1	0	1	0	0	0
chr19	17940135	1	0	1	0	0	0
chr19	17940136	1	0	1	0	0	0
chr19	17940137	1	0	1	0	0	0
chr19	17940138	1	0	1	0	0	0
chr19	17940139	1	0	1	0	0	0
chr19	17940140	1	0	1	0	0	0
chr19	17940141	1	0	1	0	0	0
chr19	17940142	1	0	1	0	0	0
chr19	17940143	1	0	1	0	0	0
chr19	17940144	1	0	1	0	0	0
chr19	17940145	1	0	1	0	0	0
chr19	17940146	1	0	1	0	0	0
chr19	17940147	1	0	1	0	0	0
chr19	17940148	1	0	1	0	0	0
chr19	17940149	1	0	1	0	0	0
chr19	17940150	2	1	1	0	0	0
chr19	17940151	2	1	1	0	0	0
chr19	17940152	2	1	1	0	0	0
chr19	17940153	2	1	1	0	0	0
chr19	17940154	2	1	1	0	0	0
chr19	17940155	2	1	1	0	0	0
chr19	17940156	2	1	1	0	0	0
chr19	17940157	2	1	1	0	0	0
chr19	17940158	2	1	1	0	0	0
chr19	17940159	2	1	1	0	0	0
chr19	17940160	2	1	1	0	0	0
chr19	17940161	2	1	1	0	0	0
chr19	17940162	2	1	1	0	0	0
chr19	17940163	2	1	1	0	0	0
chr19	17940164	2	1	1	0	0	0
chr19	17940165	2	1	1	0	0	0
chr19	17940166	2	1	1	0	0	0
chr19	17940167	2	1	1	0	0	0
chr19	17940168	2	1	1	0	0	0
chr19	17940169	2	1	1	0	0	0
chr19	17940170	2	1	1	0	0	0
chr19	17940171	2	1	1	0	0	0
chr19	17940172	2	1	1	0	0	0
chr19	17940173	2	1	1	0	0	0
chr19	17940174	2	1	1	0	0	0
chr19	17940175	2	1	1	0	0	0
chr19	17940176	2	1	1	0	0	0
chr19	17940177	2	1	1	0	0	0
chr19	17940178	2	1	1	0	0	0
chr19	17940179	2	1	1	0	0	0
chr19	17940180	2	1	1	0	0	0
chr19	17940181	2	1	1	0	0	0
chr19	17940182	2	1	1	0	0	0
chr19	17940183	2	1	1	0	0	0
chr19	17940184	2	1	1	0	0	0
chr19	17940185	2	1	1	0	0	0
chr19	17940186	2	1	1	0	0	0
