chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr19	17939968	1	0	1	0	0	0
chr19	17939969	1	0	1	0	0	0
chr19	17939970	1	0	1	0	0	0
chr19	17939971	1	0	1	0	0	0
chr19	17939972	1	0	1	0	0	0
chr19	17939973	1	0	1	0	0	0
chr19	17939974	1	0	1	0	0	0
chr19	17939975	1	0	1	0	0	0
chr19	17939976	1	0	1	0	0	0
chr19	17939977	1	0	1	0	0	0
chr19	17939978	1	0	1	0	0	0
chr19	17939979	1	0	1	0	0	0
chr19	17939980	1	0	1	0	0	0
chr19	17939981	1	0	1	0	0	0
chr19	17939982	1	0	1	0	0	0
chr19	17939983	1	0	1	0	0	0
chr19	17939984	1	0	1	0	0	0
chr19	17939985	1	0	1	0	0	0
chr19	17939986	1	0	1	0	0	0
chr19	17939987	1	0	1	0	0	0
chr19	17939988	1	0	1	0	0	0
chr19	17939989	1	0	1	0	0	0
chr19	17939990	1	0	1	0	0	0
chr19	17939991	1	0	1	0	0	0
chr19	17939992	1	0	1	0	0	0
chr19	17939993	1	0	1	0	0	0
chr19	17939994	1	0	1	0	0	0
chr19	17939995	1	0	1	0	0	0
chr19	17939996	1	0	1	0	0	0
chr19	17939997	1	0	1	0	0	0
chr19	17939998	1	0	1	0	0	0
chr19	17939999	1	0	1	0	0	0
chr19	17940000	1	0	1	0	0	0
chr19	17940001	1	0	1	0	0	0
chr19	17940002	1	0	1	0	0	0
chr19	17940003	1	0	1	0	0	0
chr19	17940004	1	0	1	0	0	0
chr19	17940005	1	0	1	0	0	0
chr19	17940006	1	0	1	0	0	0
chr19	17940007	1	0	1	0	0	0
chr19	17940008	1	0	1	0	0	0
chr19	17940009	1	0	1	0	0	0
chr19	17940010	1	0	1	0	0	0
chr19	17940011	1	0	1	0	0	0
chr19	17940012	1	0	1	0	0	0
chr19	17940013	1	0	1	0	0	0
chr19	17940014	1	0	1	0	0	0
chr19	17940015	1	0	1	0	0	0
chr19	17940016	1	0	1	0	0	0
chr19	17940017	1	0	1	0	0	0
chr19	17940018	1	0	1	0	0	0
chr19	17940019	1	0	1	0	0	0
chr19	17940020	1	0	1	0	0	0
chr19	17940021	1	0	1	0	0	0
chr19	17940022	1	0	1	0	0	0
chr19	17940023	1	0	1	0	0	0
chr19	17940024	1	0	1	0	0	0
chr19	17940025	1	0	1	0	0	0
chr19	17940026	1	0	1	0	0	0
chr19	17940027	1	0	1	0	0	0
chr19	17940028	1	0	1	0	0	0
chr19	17940029	1	0	1	0	0	0
chr19	17940030	1	0	1	0	0	0
chr19	17940031	1	0	1	0	0	0
chr19	17940032	3	2	1	0	0	0
chr19	17940033	3	2	1	0	0	0
chr19	17940034	3	2	1	0	0	0
chr19	17940035	3	2	1	0	0	0
chr19	17940036	3	2	1	0	0	0
chr19	17940037	3	2	1	0	0	0
chr19	17940038	3	2	1	0	0	0
chr19	17940039	3	2	1	0	0	0
chr19	17940040	3	2	1	0	0	0
chr19	17940041	3	2	1	0	0	0
chr19	17940042	3	2	1	0	0	0
chr19	17940043	3	2	1	0	0	0
chr19	17940044	3	2	1	0	0	0
chr19	17940045	3	2	1	0	0	0
chr19	17940046	3	2	1	0	0	0
chr19	17940047	3	2	1	0	0	0
chr19	17940048	3	2	1	0	0	0
chr19	17940049	3	2	1	0	0	0
chr19	17940050	3	2	1	0	0	0
chr19	17940051	3	2	1	0	0	0
chr19	17940052	3	2	1	0	0	0
chr19	17940053	3	2	1	0	0	0
chr19	17940054	3	2	1	0	0	0
chr19	17940055	3	2	1	0	0	0
chr19	17940056	3	2	1	0	0	0
chr19	17940057	3	2	1	0	0	0
chr19	17940058	3	2	1	0	0	0
chr19	17940059	3	2	1	0	0	0
chr19	17940060	3	2	1	0	0	0
chr19	17940061	3	2	1	0	0	0
chr19	17940062	3	2	1	0	0	0
chr19	17940063	3	2	1	0	0	0
chr19	17940064	3	2	1	0	0	0
chr19	17940065	3	2	1	0	0	0
chr19	17940066	3	2	1	0	0	0
