chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154686863	1	1	0	0	0	0
chr1	154686864	1	1	0	0	0	0
chr1	154686865	1	1	0	0	0	0
chr1	154686866	1	1	0	0	0	0
chr1	154686867	1	1	0	0	0	0
chr1	154686868	1	1	0	0	0	0
chr1	154686869	1	1	0	0	0	0
chr1	154686870	1	1	0	0	0	0
chr1	154686871	1	1	0	0	0	0
chr1	154686872	1	1	0	0	0	0
chr1	154686873	1	1	0	0	0	0
chr1	154686874	1	1	0	0	0	0
chr1	154686875	1	1	0	0	0	0
chr1	154686876	1	1	0	0	0	0
chr1	154686877	1	1	0	0	0	0
chr1	154686878	1	1	0	0	0	0
chr1	154686879	1	1	0	0	0	0
chr1	154686880	1	1	0	0	0	0
chr1	154686881	1	1	0	0	0	0
chr1	154686882	1	1	0	0	0	0
chr1	154686883	1	1	0	0	0	0
chr1	154686884	1	1	0	0	0	0
chr1	154686885	1	1	0	0	0	0
chr1	154686886	1	1	0	0	0	0
chr1	154686887	1	1	0	0	0	0
chr1	154686888	1	1	0	0	0	0
chr1	154686889	1	1	0	0	0	0
chr1	154686890	1	1	0	0	0	0
chr1	154686891	1	1	0	0	0	0
chr1	154686892	1	1	0	0	0	0
chr1	154686893	1	1	0	0	0	0
chr1	154686894	1	1	0	0	0	0
chr1	154686895	1	1	0	0	0	0
chr1	154686896	1	1	0	0	0	0
chr1	154686897	1	1	0	0	0	0
chr1	154686898	1	1	0	0	0	0
chr1	154686899	1	1	0	0	0	0
chr1	154686900	1	1	0	0	0	0
chr1	154686901	1	1	0	0	0	0
chr1	154686902	1	1	0	0	0	0
chr1	154686903	1	1	0	0	0	0
chr1	154686904	1	1	0	0	0	0
chr1	154686905	1	1	0	0	0	0
chr1	154686906	1	1	0	0	0	0
chr1	154686907	1	1	0	0	0	0
chr1	154686908	1	1	0	0	0	0
chr1	154686909	1	1	0	0	0	0
chr1	154686910	1	1	0	0	0	0
chr1	154686911	1	1	0	0	0	0
chr1	154686912	1	1	0	0	0	0
chr1	154686913	1	1	0	0	0	0
chr1	154686914	1	1	0	0	0	0
chr1	154686915	1	1	0	0	0	0
chr1	154686916	1	1	0	0	0	0
chr1	154686917	1	1	0	0	0	0
chr1	154686918	1	1	0	0	0	0
chr1	154686919	1	1	0	0	0	0
chr1	154686920	1	1	0	0	0	0
chr1	154686921	1	1	0	0	0	0
chr1	154686922	1	1	0	0	0	0
chr1	154686923	1	1	0	0	0	0
chr1	154686924	1	1	0	0	0	0
chr1	154686925	1	1	0	0	0	0
chr1	154686926	1	1	0	0	0	0
chr1	154686927	1	1	0	0	0	0
chr1	154686928	1	1	0	0	0	0
chr1	154686929	1	1	0	0	0	0
chr1	154686930	1	1	0	0	0	0
chr1	154686931	1	1	0	0	0	0
chr1	154686932	1	1	0	0	0	0
chr1	154686933	1	1	0	0	0	0
chr1	154686934	1	1	0	0	0	0
chr1	154686935	1	1	0	0	0	0
chr1	154686936	1	1	0	0	0	0
chr1	154686937	1	1	0	0	0	0
chr1	154686938	1	1	0	0	0	0
chr1	154686939	1	1	0	0	0	0
chr1	154686940	1	1	0	0	0	0
chr1	154686941	1	1	0	0	0	0
chr1	154686942	1	1	0	0	0	0
chr1	154686943	1	1	0	0	0	0
chr1	154686944	1	1	0	0	0	0
chr1	154686945	1	1	0	0	0	0
chr1	154686946	1	1	0	0	0	0
chr1	154686947	1	1	0	0	0	0
chr1	154686948	1	1	0	0	0	0
chr1	154686949	1	1	0	0	0	0
chr1	154686950	1	1	0	0	0	0
chr1	154686951	1	1	0	0	0	0
chr1	154686952	1	1	0	0	0	0
chr1	154686953	1	1	0	0	0	0
chr1	154686954	1	1	0	0	0	0
chr1	154686955	1	1	0	0	0	0
chr1	154686956	1	1	0	0	0	0
chr1	154686957	1	1	0	0	0	0
chr1	154686958	1	1	0	0	0	0
chr1	154686959	1	1	0	0	0	0
chr1	154686960	1	1	0	0	0	0
chr1	154686961	1	1	0	0	0	0
chr1	154686962	1	1	0	0	0	0
chr1	154686963	1	1	0	0	0	0
chr1	154687439	1	0	1	0	0	0
chr1	154687440	1	0	1	0	0	0
chr1	154687441	1	0	1	0	0	0
chr1	154687442	1	0	1	0	0	0
chr1	154687443	1	0	1	0	0	0
chr1	154687444	1	0	1	0	0	0
chr1	154687445	1	0	1	0	0	0
chr1	154687446	1	0	1	0	0	0
chr1	154687447	1	0	1	0	0	0
chr1	154687448	1	0	1	0	0	0
chr1	154687449	1	0	1	0	0	0
chr1	154687450	1	0	1	0	0	0
chr1	154687451	1	0	1	0	0	0
chr1	154687452	1	0	1	0	0	0
chr1	154687453	1	0	1	0	0	0
chr1	154687454	1	0	1	0	0	0
chr1	154687455	1	0	1	0	0	0
chr1	154687456	1	0	1	0	0	0
chr1	154687457	1	0	1	0	0	0
chr1	154687458	1	0	1	0	0	0
chr1	154687459	1	0	1	0	0	0
chr1	154687460	1	0	1	0	0	0
chr1	154687461	1	0	1	0	0	0
chr1	154687462	1	0	1	0	0	0
chr1	154687463	1	0	1	0	0	0
chr1	154687464	1	0	1	0	0	0
chr1	154687465	1	0	1	0	0	0
chr1	154687466	1	0	1	0	0	0
chr1	154687467	1	0	1	0	0	0
chr1	154687468	1	0	1	0	0	0
chr1	154687469	1	0	1	0	0	0
chr1	154687470	1	0	1	0	0	0
chr1	154687471	1	0	1	0	0	0
chr1	154687472	1	0	1	0	0	0
chr1	154687473	1	0	1	0	0	0
chr1	154687474	1	0	1	0	0	0
chr1	154687475	1	0	1	0	0	0
chr1	154687476	1	0	1	0	0	0
chr1	154687477	1	0	1	0	0	0
chr1	154687478	1	0	1	0	0	0
chr1	154687479	1	0	1	0	0	0
chr1	154687480	1	0	1	0	0	0
chr1	154687481	1	0	1	0	0	0
chr1	154687482	1	0	1	0	0	0
chr1	154687483	1	0	1	0	0	0
chr1	154687484	1	0	1	0	0	0
chr1	154687485	1	0	1	0	0	0
chr1	154687486	1	0	1	0	0	0
chr1	154687487	1	0	1	0	0	0
