chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154684924	1	0	1	0	0	0
chr1	154684925	1	0	1	0	0	0
chr1	154684926	1	0	1	0	0	0
chr1	154684927	1	0	1	0	0	0
chr1	154684928	1	0	1	0	0	0
chr1	154684929	1	0	1	0	0	0
chr1	154684930	1	0	1	0	0	0
chr1	154684931	1	0	1	0	0	0
chr1	154684932	1	0	1	0	0	0
chr1	154684933	1	0	1	0	0	0
chr1	154684934	1	0	1	0	0	0
chr1	154684935	1	0	1	0	0	0
chr1	154684936	1	0	1	0	0	0
chr1	154684937	1	0	1	0	0	0
chr1	154684938	1	0	1	0	0	0
chr1	154684939	1	0	1	0	0	0
chr1	154684940	1	0	1	0	0	0
chr1	154684941	1	0	1	0	0	0
chr1	154684942	1	0	1	0	0	0
chr1	154684943	1	0	1	0	0	0
chr1	154684944	1	0	1	0	0	0
chr1	154684945	1	0	1	0	0	0
chr1	154684946	1	0	1	0	0	0
chr1	154684947	1	0	1	0	0	0
chr1	154684948	1	0	1	0	0	0
chr1	154684949	1	0	1	0	0	0
chr1	154684950	1	0	1	0	0	0
chr1	154684951	1	0	1	0	0	0
chr1	154684952	1	0	1	0	0	0
chr1	154684953	1	0	1	0	0	0
chr1	154684954	1	0	1	0	0	0
chr1	154684955	1	0	1	0	0	0
chr1	154684956	1	0	1	0	0	0
chr1	154684957	1	0	1	0	0	0
chr1	154684958	1	0	1	0	0	0
chr1	154684959	1	0	1	0	0	0
chr1	154684960	1	0	1	0	0	0
chr1	154684961	1	0	1	0	0	0
chr1	154684962	1	0	1	0	0	0
chr1	154684963	1	0	1	0	0	0
chr1	154684964	1	0	1	0	0	0
chr1	154684965	1	0	1	0	0	0
chr1	154684966	1	0	1	0	0	0
chr1	154684967	1	0	1	0	0	0
chr1	154684968	1	0	1	0	0	0
chr1	154684969	1	0	1	0	0	0
chr1	154684970	1	0	1	0	0	0
chr1	154684971	1	0	1	0	0	0
chr1	154684972	1	0	1	0	0	0
chr1	154684973	1	0	1	0	0	0
chr1	154684974	1	0	1	0	0	0
chr1	154684975	1	0	1	0	0	0
chr1	154684976	1	0	1	0	0	0
chr1	154684977	1	0	1	0	0	0
chr1	154684978	1	0	1	0	0	0
chr1	154684979	1	0	1	0	0	0
chr1	154684980	1	0	1	0	0	0
chr1	154684981	1	0	1	0	0	0
chr1	154684982	1	0	1	0	0	0
chr1	154684983	1	0	1	0	0	0
chr1	154684984	1	0	1	0	0	0
chr1	154684985	1	0	1	0	0	0
chr1	154684986	1	0	1	0	0	0
chr1	154684987	1	0	1	0	0	0
chr1	154684988	1	0	1	0	0	0
chr1	154684989	1	0	1	0	0	0
chr1	154684990	1	0	1	0	0	0
chr1	154684991	1	0	1	0	0	0
chr1	154684992	1	0	1	0	0	0
chr1	154684993	1	0	1	0	0	0
chr1	154684994	1	0	1	0	0	0
chr1	154684995	1	0	1	0	0	0
chr1	154684996	1	0	1	0	0	0
chr1	154684997	1	0	1	0	0	0
chr1	154684998	1	0	1	0	0	0
chr1	154684999	1	0	1	0	0	0
chr1	154685000	1	0	1	0	0	0
chr1	154685001	1	0	1	0	0	0
chr1	154685002	1	0	1	0	0	0
chr1	154685003	1	0	1	0	0	0
chr1	154685004	1	0	1	0	0	0
chr1	154685005	1	0	1	0	0	0
chr1	154685006	1	0	1	0	0	0
chr1	154685007	1	0	1	0	0	0
chr1	154685008	1	0	1	0	0	0
chr1	154685009	1	0	1	0	0	0
chr1	154685010	1	0	1	0	0	0
chr1	154685011	1	0	1	0	0	0
chr1	154685012	1	0	1	0	0	0
chr1	154685013	1	0	1	0	0	0
chr1	154685014	1	0	1	0	0	0
chr1	154685015	1	0	1	0	0	0
chr1	154685016	1	0	1	0	0	0
chr1	154685017	1	0	1	0	0	0
chr1	154685018	1	0	1	0	0	0
chr1	154685019	1	0	1	0	0	0
chr1	154685020	1	0	1	0	0	0
chr1	154685021	1	0	1	0	0	0
chr1	154685022	1	0	1	0	0	0
chr1	154685023	1	0	1	0	0	0
chr1	154685024	1	0	1	0	0	0
chr1	154685042	1	1	0	0	0	0
chr1	154685043	1	1	0	0	0	0
chr1	154685044	1	1	0	0	0	0
chr1	154685045	1	1	0	0	0	0
chr1	154685046	1	1	0	0	0	0
chr1	154685047	1	1	0	0	0	0
chr1	154685048	1	1	0	0	0	0
chr1	154685049	1	1	0	0	0	0
chr1	154685050	2	2	0	0	0	0
chr1	154685051	2	2	0	0	0	0
chr1	154685052	2	2	0	0	0	0
chr1	154685053	2	2	0	0	0	0
chr1	154685054	2	2	0	0	0	0
chr1	154685055	2	2	0	0	0	0
chr1	154685056	2	2	0	0	0	0
chr1	154685057	2	2	0	0	0	0
chr1	154685058	2	2	0	0	0	0
chr1	154685059	2	2	0	0	0	0
chr1	154685060	2	2	0	0	0	0
chr1	154685061	2	2	0	0	0	0
chr1	154685062	2	2	0	0	0	0
chr1	154685063	2	2	0	0	0	0
chr1	154685064	2	2	0	0	0	0
chr1	154685065	2	2	0	0	0	0
chr1	154685066	2	2	0	0	0	0
chr1	154685067	2	2	0	0	0	0
chr1	154685068	2	2	0	0	0	0
chr1	154685069	2	2	0	0	0	0
chr1	154685070	2	2	0	0	0	0
chr1	154685071	2	2	0	0	0	0
chr1	154685072	2	2	0	0	0	0
chr1	154685073	2	2	0	0	0	0
chr1	154685074	2	2	0	0	0	0
chr1	154685075	2	2	0	0	0	0
chr1	154685076	2	2	0	0	0	0
chr1	154685077	2	2	0	0	0	0
chr1	154685078	2	2	0	0	0	0
chr1	154685079	2	2	0	0	0	0
chr1	154685080	2	2	0	0	0	0
chr1	154685081	2	2	0	0	0	0
chr1	154685082	2	2	0	0	0	0
chr1	154685083	2	2	0	0	0	0
chr1	154685084	2	2	0	0	0	0
chr1	154685085	2	2	0	0	0	0
chr1	154685086	2	2	0	0	0	0
chr1	154685087	2	2	0	0	0	0
chr1	154685088	2	2	0	0	0	0
chr1	154685089	2	2	0	0	0	0
chr1	154685090	2	2	0	0	0	0
chr1	154685091	2	2	0	0	0	0
chr1	154685092	2	2	0	0	0	0
chr1	154685093	2	2	0	0	0	0
chr1	154685094	2	2	0	0	0	0
chr1	154685095	2	2	0	0	0	0
chr1	154685096	2	2	0	0	0	0
chr1	154685097	2	2	0	0	0	0
chr1	154685098	2	2	0	0	0	0
chr1	154685099	2	2	0	0	0	0
chr1	154685100	2	2	0	0	0	0
chr1	154685101	2	2	0	0	0	0
chr1	154685102	2	2	0	0	0	0
chr1	154685103	2	2	0	0	0	0
chr1	154685104	2	2	0	0	0	0
chr1	154685105	2	2	0	0	0	0
chr1	154685106	2	2	0	0	0	0
chr1	154685107	2	2	0	0	0	0
chr1	154685108	3	2	1	0	0	0
chr1	154685109	3	2	1	0	0	0
chr1	154685110	3	2	1	0	0	0
chr1	154685111	3	2	1	0	0	0
chr1	154685112	3	2	1	0	0	0
chr1	154685113	3	2	1	0	0	0
chr1	154685114	3	2	1	0	0	0
chr1	154685115	3	2	1	0	0	0
chr1	154685116	3	2	1	0	0	0
chr1	154685117	3	2	1	0	0	0
chr1	154685118	3	2	1	0	0	0
chr1	154685119	3	2	1	0	0	0
chr1	154685120	3	2	1	0	0	0
chr1	154685121	3	2	1	0	0	0
chr1	154685122	3	2	1	0	0	0
chr1	154685123	3	2	1	0	0	0
chr1	154685124	3	2	1	0	0	0
chr1	154685125	3	2	1	0	0	0
chr1	154685126	3	2	1	0	0	0
chr1	154685127	3	2	1	0	0	0
chr1	154685128	3	2	1	0	0	0
chr1	154685129	3	2	1	0	0	0
chr1	154685130	3	2	1	0	0	0
chr1	154685131	3	2	1	0	0	0
chr1	154685132	3	2	1	0	0	0
chr1	154685133	3	2	1	0	0	0
chr1	154685134	3	2	1	0	0	0
chr1	154685135	3	2	1	0	0	0
chr1	154685136	3	2	1	0	0	0
chr1	154685137	3	2	1	0	0	0
chr1	154685138	3	2	1	0	0	0
chr1	154685139	3	2	1	0	0	0
chr1	154685140	3	2	1	0	0	0
chr1	154685141	3	2	1	0	0	0
chr1	154685142	3	2	1	0	0	0
chr1	154685143	2	1	1	0	0	0
chr1	154685144	2	1	1	0	0	0
chr1	154685145	2	1	1	0	0	0
chr1	154685146	2	1	1	0	0	0
chr1	154685147	2	1	1	0	0	0
chr1	154685148	2	1	1	0	0	0
chr1	154685149	2	1	1	0	0	0
chr1	154685150	2	1	1	0	0	0
chr1	154685151	1	0	1	0	0	0
chr1	154685152	1	0	1	0	0	0
chr1	154685153	1	0	1	0	0	0
chr1	154685154	1	0	1	0	0	0
chr1	154685155	1	0	1	0	0	0
chr1	154685156	1	0	1	0	0	0
chr1	154685157	1	0	1	0	0	0
chr1	154685158	1	0	1	0	0	0
chr1	154685159	1	0	1	0	0	0
chr1	154685160	1	0	1	0	0	0
chr1	154685161	1	0	1	0	0	0
chr1	154685162	1	0	1	0	0	0
chr1	154685163	1	0	1	0	0	0
chr1	154685164	1	0	1	0	0	0
chr1	154685165	1	0	1	0	0	0
chr1	154685166	1	0	1	0	0	0
chr1	154685167	1	0	1	0	0	0
chr1	154685168	1	0	1	0	0	0
chr1	154685169	1	0	1	0	0	0
chr1	154685170	1	0	1	0	0	0
chr1	154685171	1	0	1	0	0	0
chr1	154685172	1	0	1	0	0	0
chr1	154685173	1	0	1	0	0	0
chr1	154685174	1	0	1	0	0	0
chr1	154685175	1	0	1	0	0	0
chr1	154685176	1	0	1	0	0	0
chr1	154685177	1	0	1	0	0	0
chr1	154685178	1	0	1	0	0	0
chr1	154685179	1	0	1	0	0	0
chr1	154685180	1	0	1	0	0	0
chr1	154685181	1	0	1	0	0	0
chr1	154685182	1	0	1	0	0	0
chr1	154685183	1	0	1	0	0	0
chr1	154685184	1	0	1	0	0	0
chr1	154685185	1	0	1	0	0	0
chr1	154685186	1	0	1	0	0	0
chr1	154685187	1	0	1	0	0	0
chr1	154685188	1	0	1	0	0	0
chr1	154685189	1	0	1	0	0	0
chr1	154685190	1	0	1	0	0	0
chr1	154685191	1	0	1	0	0	0
chr1	154685192	1	0	1	0	0	0
chr1	154685193	1	0	1	0	0	0
chr1	154685194	1	0	1	0	0	0
chr1	154685195	1	0	1	0	0	0
chr1	154685196	1	0	1	0	0	0
chr1	154685197	1	0	1	0	0	0
chr1	154685198	1	0	1	0	0	0
chr1	154685199	1	0	1	0	0	0
chr1	154685200	1	0	1	0	0	0
chr1	154685201	1	0	1	0	0	0
chr1	154685202	1	0	1	0	0	0
chr1	154685203	1	0	1	0	0	0
chr1	154685204	1	0	1	0	0	0
chr1	154685205	1	0	1	0	0	0
chr1	154685206	1	0	1	0	0	0
chr1	154685207	1	0	1	0	0	0
chr1	154685208	1	0	1	0	0	0
chr1	154685225	1	1	0	0	0	0
chr1	154685226	1	1	0	0	0	0
chr1	154685227	1	1	0	0	0	0
chr1	154685228	1	1	0	0	0	0
chr1	154685229	1	1	0	0	0	0
chr1	154685230	1	1	0	0	0	0
chr1	154685231	1	1	0	0	0	0
chr1	154685232	1	1	0	0	0	0
chr1	154685233	1	1	0	0	0	0
chr1	154685234	1	1	0	0	0	0
chr1	154685235	1	1	0	0	0	0
chr1	154685236	1	1	0	0	0	0
chr1	154685237	1	1	0	0	0	0
chr1	154685238	1	1	0	0	0	0
chr1	154685239	1	1	0	0	0	0
chr1	154685240	1	1	0	0	0	0
chr1	154685241	1	1	0	0	0	0
chr1	154685242	1	1	0	0	0	0
chr1	154685243	1	1	0	0	0	0
chr1	154685244	1	1	0	0	0	0
chr1	154685245	1	1	0	0	0	0
chr1	154685246	1	1	0	0	0	0
chr1	154685247	1	1	0	0	0	0
chr1	154685248	1	1	0	0	0	0
chr1	154685249	1	1	0	0	0	0
chr1	154685250	1	1	0	0	0	0
chr1	154685251	1	1	0	0	0	0
chr1	154685252	1	1	0	0	0	0
chr1	154685253	1	1	0	0	0	0
chr1	154685254	1	1	0	0	0	0
chr1	154685255	1	1	0	0	0	0
chr1	154685256	1	1	0	0	0	0
chr1	154685257	1	1	0	0	0	0
chr1	154685258	1	1	0	0	0	0
chr1	154685259	1	1	0	0	0	0
chr1	154685260	1	1	0	0	0	0
chr1	154685261	1	1	0	0	0	0
chr1	154685262	1	1	0	0	0	0
chr1	154685263	1	1	0	0	0	0
chr1	154685264	1	1	0	0	0	0
chr1	154685265	1	1	0	0	0	0
chr1	154685266	1	1	0	0	0	0
chr1	154685267	1	1	0	0	0	0
chr1	154685268	1	1	0	0	0	0
chr1	154685269	1	1	0	0	0	0
chr1	154685270	1	1	0	0	0	0
chr1	154685271	1	1	0	0	0	0
chr1	154685272	1	1	0	0	0	0
chr1	154685273	1	1	0	0	0	0
chr1	154685274	1	1	0	0	0	0
chr1	154685275	1	1	0	0	0	0
chr1	154685276	1	1	0	0	0	0
chr1	154685277	1	1	0	0	0	0
chr1	154685278	1	1	0	0	0	0
chr1	154685279	1	1	0	0	0	0
chr1	154685280	1	1	0	0	0	0
chr1	154685281	1	1	0	0	0	0
chr1	154685282	1	1	0	0	0	0
chr1	154685283	1	1	0	0	0	0
chr1	154685284	1	1	0	0	0	0
chr1	154685285	1	1	0	0	0	0
chr1	154685286	1	1	0	0	0	0
chr1	154685287	1	1	0	0	0	0
chr1	154685288	1	1	0	0	0	0
chr1	154685289	1	1	0	0	0	0
chr1	154685290	1	1	0	0	0	0
chr1	154685291	1	1	0	0	0	0
chr1	154685292	1	1	0	0	0	0
chr1	154685293	1	1	0	0	0	0
chr1	154685294	1	1	0	0	0	0
chr1	154685295	1	1	0	0	0	0
chr1	154685296	1	1	0	0	0	0
