chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr19	17940231	1	0	1	0	0	0
chr19	17940232	1	0	1	0	0	0
chr19	17940233	1	0	1	0	0	0
chr19	17940234	1	0	1	0	0	0
chr19	17940235	1	0	1	0	0	0
chr19	17940236	1	0	1	0	0	0
chr19	17940237	1	0	1	0	0	0
chr19	17940238	1	0	1	0	0	0
chr19	17940239	1	0	1	0	0	0
chr19	17940240	1	0	1	0	0	0
chr19	17940241	1	0	1	0	0	0
chr19	17940242	2	1	1	0	0	0
chr19	17940243	2	1	1	0	0	0
chr19	17940244	2	1	1	0	0	0
chr19	17940245	2	1	1	0	0	0
chr19	17940246	2	1	1	0	0	0
chr19	17940247	2	1	1	0	0	0
chr19	17940248	2	1	1	0	0	0
chr19	17940249	2	1	1	0	0	0
chr19	17940250	2	1	1	0	0	0
chr19	17940251	2	1	1	0	0	0
chr19	17940252	2	1	1	0	0	0
chr19	17940253	2	1	1	0	0	0
chr19	17940254	2	1	1	0	0	0
chr19	17940255	2	1	1	0	0	0
chr19	17940256	2	1	1	0	0	0
chr19	17940257	2	1	1	0	0	0
chr19	17940258	2	1	1	0	0	0
chr19	17940259	2	1	1	0	0	0
chr19	17940260	2	1	1	0	0	0
chr19	17940261	2	1	1	0	0	0
chr19	17940262	2	1	1	0	0	0
chr19	17940263	2	1	1	0	0	0
chr19	17940264	2	1	1	0	0	0
chr19	17940265	2	1	1	0	0	0
chr19	17940266	2	1	1	0	0	0
chr19	17940267	2	1	1	0	0	0
chr19	17940268	2	1	1	0	0	0
chr19	17940269	2	1	1	0	0	0
chr19	17940270	2	1	1	0	0	0
chr19	17940271	2	1	1	0	0	0
chr19	17940272	2	1	1	0	0	0
chr19	17940273	2	1	1	0	0	0
chr19	17940274	2	1	1	0	0	0
chr19	17940275	2	1	1	0	0	0
chr19	17940276	2	1	1	0	0	0
chr19	17940277	2	1	1	0	0	0
chr19	17940278	2	1	1	0	0	0
chr19	17940279	2	1	1	0	0	0
chr19	17940280	2	1	1	0	0	0
chr19	17940281	3	1	2	0	0	0
chr19	17940282	3	1	2	0	0	0
chr19	17940283	3	1	2	0	0	0
chr19	17940284	3	1	2	0	0	0
chr19	17940285	3	1	2	0	0	0
chr19	17940286	3	1	2	0	0	0
chr19	17940287	3	1	2	0	0	0
chr19	17940288	3	1	2	0	0	0
chr19	17940289	3	1	2	0	0	0
chr19	17940290	3	1	2	0	0	0
chr19	17940291	3	1	2	0	0	0
chr19	17940292	3	1	2	0	0	0
chr19	17940293	3	1	2	0	0	0
chr19	17940294	3	1	2	0	0	0
chr19	17940295	3	1	2	0	0	0
chr19	17940296	3	1	2	0	0	0
chr19	17940297	3	1	2	0	0	0
chr19	17940298	3	1	2	0	0	0
chr19	17940299	3	1	2	0	0	0
chr19	17940300	3	1	2	0	0	0
chr19	17940301	3	1	2	0	0	0
chr19	17940302	3	1	2	0	0	0
chr19	17940303	3	1	2	0	0	0
chr19	17940304	3	1	2	0	0	0
chr19	17940305	3	1	2	0	0	0
chr19	17940306	3	1	2	0	0	0
chr19	17940307	3	1	2	0	0	0
chr19	17940308	3	1	2	0	0	0
chr19	17940309	3	1	2	0	0	0
chr19	17940310	3	1	2	0	0	0
chr19	17940311	3	1	2	0	0	0
chr19	17940312	3	1	2	0	0	0
chr19	17940313	3	1	2	0	0	0
chr19	17940314	3	1	2	0	0	0
chr19	17940315	3	1	2	0	0	0
chr19	17940316	3	1	2	0	0	0
chr19	17940317	3	1	2	0	0	0
chr19	17940318	3	1	2	0	0	0
chr19	17940319	3	1	2	0	0	0
chr19	17940320	3	1	2	0	0	0
chr19	17940321	3	1	2	0	0	0
