chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154684886	1	0	1	0	0	0
chr1	154684887	1	0	1	0	0	0
chr1	154684888	1	0	1	0	0	0
chr1	154684889	1	0	1	0	0	0
chr1	154684890	1	0	1	0	0	0
chr1	154684891	1	0	1	0	0	0
chr1	154684892	1	0	1	0	0	0
chr1	154684893	1	0	1	0	0	0
chr1	154684894	1	0	1	0	0	0
chr1	154684895	1	0	1	0	0	0
chr1	154684896	1	0	1	0	0	0
chr1	154684897	1	0	1	0	0	0
chr1	154684898	1	0	1	0	0	0
chr1	154684899	1	0	1	0	0	0
chr1	154684900	1	0	1	0	0	0
chr1	154684901	1	0	1	0	0	0
chr1	154684902	1	0	1	0	0	0
chr1	154684903	1	0	1	0	0	0
chr1	154684904	1	0	1	0	0	0
chr1	154684905	1	0	1	0	0	0
chr1	154684906	1	0	1	0	0	0
chr1	154684907	1	0	1	0	0	0
chr1	154684908	1	0	1	0	0	0
chr1	154684909	1	0	1	0	0	0
chr1	154684910	1	0	1	0	0	0
chr1	154684911	1	0	1	0	0	0
chr1	154684912	1	0	1	0	0	0
chr1	154684913	1	0	1	0	0	0
chr1	154684914	1	0	1	0	0	0
chr1	154684915	1	0	1	0	0	0
chr1	154684916	1	0	1	0	0	0
chr1	154684917	1	0	1	0	0	0
chr1	154684918	1	0	1	0	0	0
chr1	154684919	1	0	1	0	0	0
chr1	154684920	1	0	1	0	0	0
chr1	154684921	1	0	1	0	0	0
chr1	154684922	1	0	1	0	0	0
chr1	154684923	1	0	1	0	0	0
chr1	154684924	1	0	1	0	0	0
chr1	154684925	1	0	1	0	0	0
chr1	154684926	1	0	1	0	0	0
chr1	154684927	1	0	1	0	0	0
chr1	154684928	1	0	1	0	0	0
chr1	154684929	1	0	1	0	0	0
chr1	154684930	1	0	1	0	0	0
chr1	154684931	1	0	1	0	0	0
chr1	154684932	1	0	1	0	0	0
chr1	154684933	1	0	1	0	0	0
chr1	154684934	1	0	1	0	0	0
chr1	154684935	1	0	1	0	0	0
chr1	154684936	1	0	1	0	0	0
chr1	154684937	1	0	1	0	0	0
chr1	154684938	1	0	1	0	0	0
chr1	154684939	1	0	1	0	0	0
chr1	154684940	1	0	1	0	0	0
chr1	154684941	1	0	1	0	0	0
chr1	154684942	1	0	1	0	0	0
chr1	154684943	1	0	1	0	0	0
chr1	154684944	1	0	1	0	0	0
chr1	154684945	1	0	1	0	0	0
chr1	154684946	1	0	1	0	0	0
chr1	154684947	1	0	1	0	0	0
chr1	154684948	1	0	1	0	0	0
chr1	154684949	1	0	1	0	0	0
chr1	154684950	1	0	1	0	0	0
chr1	154684951	1	0	1	0	0	0
chr1	154684952	1	0	1	0	0	0
chr1	154684953	1	0	1	0	0	0
chr1	154684954	1	0	1	0	0	0
chr1	154684955	1	0	1	0	0	0
chr1	154684956	1	0	1	0	0	0
chr1	154684957	1	0	1	0	0	0
chr1	154684958	1	0	1	0	0	0
chr1	154684959	1	0	1	0	0	0
chr1	154684960	1	0	1	0	0	0
chr1	154684961	1	0	1	0	0	0
chr1	154684962	1	0	1	0	0	0
chr1	154684963	1	0	1	0	0	0
chr1	154684964	1	0	1	0	0	0
chr1	154684965	1	0	1	0	0	0
chr1	154684966	1	0	1	0	0	0
chr1	154684967	1	0	1	0	0	0
chr1	154684968	1	0	1	0	0	0
chr1	154684969	1	0	1	0	0	0
chr1	154684970	1	0	1	0	0	0
chr1	154684971	1	0	1	0	0	0
chr1	154684972	1	0	1	0	0	0
chr1	154684973	1	0	1	0	0	0
chr1	154684974	1	0	1	0	0	0
chr1	154684975	1	0	1	0	0	0
chr1	154684976	1	0	1	0	0	0
chr1	154684977	1	0	1	0	0	0
chr1	154684978	1	0	1	0	0	0
chr1	154684979	1	0	1	0	0	0
chr1	154684980	1	0	1	0	0	0
chr1	154684981	1	0	1	0	0	0
chr1	154684982	1	0	1	0	0	0
chr1	154684983	1	0	1	0	0	0
chr1	154684984	1	0	1	0	0	0
chr1	154684985	1	0	1	0	0	0
chr1	154684986	1	0	1	0	0	0
chr1	154684987	1	0	1	0	0	0
chr1	154684988	1	0	1	0	0	0
chr1	154684989	1	0	1	0	0	0
chr1	154684990	1	0	1	0	0	0
chr1	154684991	1	0	1	0	0	0
chr1	154684992	1	0	1	0	0	0
chr1	154684993	1	0	1	0	0	0
chr1	154684994	1	0	1	0	0	0
chr1	154684995	1	0	1	0	0	0
chr1	154684996	1	0	1	0	0	0
chr1	154684997	1	0	1	0	0	0
chr1	154684998	1	0	1	0	0	0
chr1	154684999	1	0	1	0	0	0
chr1	154685000	1	0	1	0	0	0
chr1	154685001	1	0	1	0	0	0
chr1	154685002	1	0	1	0	0	0
chr1	154685003	1	0	1	0	0	0
chr1	154685004	1	0	1	0	0	0
chr1	154685005	1	0	1	0	0	0
chr1	154685006	1	0	1	0	0	0
chr1	154685007	1	0	1	0	0	0
chr1	154685008	1	0	1	0	0	0
chr1	154685009	1	0	1	0	0	0
chr1	154685010	1	0	1	0	0	0
chr1	154685011	1	0	1	0	0	0
chr1	154685012	1	0	1	0	0	0
chr1	154685013	1	0	1	0	0	0
chr1	154685014	1	0	1	0	0	0
chr1	154685015	1	0	1	0	0	0
chr1	154685016	1	0	1	0	0	0
chr1	154685017	1	0	1	0	0	0
chr1	154685018	1	0	1	0	0	0
chr1	154685019	1	0	1	0	0	0
chr1	154685020	1	0	1	0	0	0
chr1	154685021	1	0	1	0	0	0
chr1	154685022	1	0	1	0	0	0
chr1	154685023	1	0	1	0	0	0
chr1	154685024	1	0	1	0	0	0
chr1	154685025	1	0	1	0	0	0
chr1	154685026	1	0	1	0	0	0
chr1	154685027	1	0	1	0	0	0
chr1	154685028	1	0	1	0	0	0
chr1	154685029	1	0	1	0	0	0
chr1	154685030	1	0	1	0	0	0
chr1	154685031	1	0	1	0	0	0
chr1	154685032	1	0	1	0	0	0
chr1	154685033	1	0	1	0	0	0
chr1	154685034	1	0	1	0	0	0
chr1	154685035	1	0	1	0	0	0
chr1	154685036	1	0	1	0	0	0
chr1	154685129	1	1	0	0	0	0
chr1	154685130	1	1	0	0	0	0
chr1	154685131	1	1	0	0	0	0
chr1	154685132	1	1	0	0	0	0
chr1	154685133	1	1	0	0	0	0
chr1	154685134	1	1	0	0	0	0
chr1	154685135	1	1	0	0	0	0
chr1	154685136	1	1	0	0	0	0
chr1	154685137	1	1	0	0	0	0
chr1	154685138	1	1	0	0	0	0
chr1	154685139	1	1	0	0	0	0
chr1	154685140	1	1	0	0	0	0
chr1	154685141	1	1	0	0	0	0
chr1	154685142	1	1	0	0	0	0
chr1	154685143	1	1	0	0	0	0
chr1	154685144	1	1	0	0	0	0
chr1	154685145	1	1	0	0	0	0
chr1	154685146	1	1	0	0	0	0
chr1	154685147	1	1	0	0	0	0
chr1	154685148	1	1	0	0	0	0
chr1	154685149	1	1	0	0	0	0
chr1	154685150	1	1	0	0	0	0
chr1	154685151	1	1	0	0	0	0
chr1	154685152	1	1	0	0	0	0
chr1	154685153	1	1	0	0	0	0
chr1	154685154	1	1	0	0	0	0
chr1	154685155	1	1	0	0	0	0
chr1	154685156	1	1	0	0	0	0
chr1	154685157	1	1	0	0	0	0
chr1	154685158	1	1	0	0	0	0
chr1	154685159	1	1	0	0	0	0
chr1	154685160	1	1	0	0	0	0
chr1	154685161	1	1	0	0	0	0
chr1	154685162	1	1	0	0	0	0
chr1	154685163	1	1	0	0	0	0
chr1	154685164	1	1	0	0	0	0
chr1	154685165	1	1	0	0	0	0
chr1	154685166	1	1	0	0	0	0
chr1	154685167	1	1	0	0	0	0
chr1	154685168	1	1	0	0	0	0
chr1	154685169	1	1	0	0	0	0
chr1	154685170	1	1	0	0	0	0
chr1	154685171	1	1	0	0	0	0
chr1	154685172	1	1	0	0	0	0
chr1	154685173	1	1	0	0	0	0
chr1	154685174	1	1	0	0	0	0
chr1	154685175	1	1	0	0	0	0
chr1	154685176	1	1	0	0	0	0
chr1	154685177	1	1	0	0	0	0
chr1	154685178	1	1	0	0	0	0
chr1	154685179	1	1	0	0	0	0
chr1	154685180	1	1	0	0	0	0
chr1	154685181	1	1	0	0	0	0
chr1	154685182	1	1	0	0	0	0
chr1	154685183	1	1	0	0	0	0
chr1	154685184	1	1	0	0	0	0
chr1	154685185	1	1	0	0	0	0
chr1	154685186	1	1	0	0	0	0
chr1	154685187	1	1	0	0	0	0
chr1	154685188	1	1	0	0	0	0
chr1	154685189	1	1	0	0	0	0
chr1	154685190	1	1	0	0	0	0
chr1	154685191	1	1	0	0	0	0
chr1	154685192	1	1	0	0	0	0
chr1	154685193	1	1	0	0	0	0
chr1	154685194	1	1	0	0	0	0
chr1	154685195	1	1	0	0	0	0
chr1	154685196	1	1	0	0	0	0
chr1	154685197	1	1	0	0	0	0
chr1	154685198	1	1	0	0	0	0
chr1	154685199	1	1	0	0	0	0
chr1	154685200	1	1	0	0	0	0
chr1	154685201	1	1	0	0	0	0
chr1	154685202	1	1	0	0	0	0
chr1	154685203	1	1	0	0	0	0
chr1	154685204	1	1	0	0	0	0
chr1	154685205	1	1	0	0	0	0
chr1	154685206	1	1	0	0	0	0
chr1	154685207	1	1	0	0	0	0
chr1	154685208	1	1	0	0	0	0
chr1	154685209	1	1	0	0	0	0
chr1	154685210	1	1	0	0	0	0
chr1	154685211	1	1	0	0	0	0
chr1	154685212	1	1	0	0	0	0
chr1	154685213	1	1	0	0	0	0
chr1	154685214	1	1	0	0	0	0
chr1	154685215	1	1	0	0	0	0
chr1	154685216	1	1	0	0	0	0
chr1	154685217	1	1	0	0	0	0
chr1	154685218	1	1	0	0	0	0
chr1	154685219	1	1	0	0	0	0
chr1	154685220	1	1	0	0	0	0
chr1	154685221	1	1	0	0	0	0
chr1	154685222	1	1	0	0	0	0
chr1	154685223	1	1	0	0	0	0
chr1	154685224	1	1	0	0	0	0
chr1	154685225	1	1	0	0	0	0
chr1	154685226	1	1	0	0	0	0
chr1	154685227	1	1	0	0	0	0
chr1	154685228	1	1	0	0	0	0
chr1	154685229	1	1	0	0	0	0
chr1	154685230	1	1	0	0	0	0
chr1	154685231	1	1	0	0	0	0
chr1	154685232	1	1	0	0	0	0
chr1	154685233	1	1	0	0	0	0
chr1	154685234	1	1	0	0	0	0
chr1	154685235	1	1	0	0	0	0
chr1	154685236	1	1	0	0	0	0
chr1	154685237	1	1	0	0	0	0
chr1	154685238	1	1	0	0	0	0
chr1	154685239	1	1	0	0	0	0
chr1	154685240	1	1	0	0	0	0
chr1	154685241	1	1	0	0	0	0
chr1	154685242	1	1	0	0	0	0
chr1	154685243	1	1	0	0	0	0
chr1	154685244	1	1	0	0	0	0
chr1	154685245	1	1	0	0	0	0
