chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154685789	1	1	0	0	0	0
chr1	154685790	1	1	0	0	0	0
chr1	154685791	1	1	0	0	0	0
chr1	154685792	1	1	0	0	0	0
chr1	154685793	1	1	0	0	0	0
chr1	154685794	1	1	0	0	0	0
chr1	154685795	1	1	0	0	0	0
chr1	154685796	1	1	0	0	0	0
chr1	154685797	1	1	0	0	0	0
chr1	154685798	1	1	0	0	0	0
chr1	154685799	1	1	0	0	0	0
chr1	154685800	1	1	0	0	0	0
chr1	154685801	1	1	0	0	0	0
chr1	154685802	1	1	0	0	0	0
chr1	154685803	1	1	0	0	0	0
chr1	154685804	1	1	0	0	0	0
chr1	154685805	1	1	0	0	0	0
chr1	154685806	1	1	0	0	0	0
chr1	154685807	1	1	0	0	0	0
chr1	154685808	1	1	0	0	0	0
chr1	154685809	1	1	0	0	0	0
chr1	154685810	1	1	0	0	0	0
chr1	154685811	1	1	0	0	0	0
chr1	154685812	1	1	0	0	0	0
chr1	154685813	1	1	0	0	0	0
chr1	154685814	1	1	0	0	0	0
chr1	154685815	1	1	0	0	0	0
chr1	154685816	1	1	0	0	0	0
chr1	154685817	1	1	0	0	0	0
chr1	154685818	1	1	0	0	0	0
chr1	154685819	1	1	0	0	0	0
chr1	154685820	1	1	0	0	0	0
chr1	154685821	1	1	0	0	0	0
chr1	154685822	1	1	0	0	0	0
chr1	154685823	1	1	0	0	0	0
chr1	154685824	1	1	0	0	0	0
chr1	154685825	1	1	0	0	0	0
chr1	154685826	1	1	0	0	0	0
chr1	154685827	1	1	0	0	0	0
chr1	154685828	1	1	0	0	0	0
chr1	154685829	1	1	0	0	0	0
chr1	154685830	1	1	0	0	0	0
chr1	154685831	1	1	0	0	0	0
chr1	154685832	1	1	0	0	0	0
chr1	154685833	1	1	0	0	0	0
chr1	154685834	1	1	0	0	0	0
chr1	154685835	1	1	0	0	0	0
chr1	154685836	1	1	0	0	0	0
chr1	154685837	1	1	0	0	0	0
chr1	154685838	1	1	0	0	0	0
chr1	154685839	1	1	0	0	0	0
chr1	154685840	1	1	0	0	0	0
chr1	154685841	1	1	0	0	0	0
chr1	154685842	1	1	0	0	0	0
chr1	154685843	1	1	0	0	0	0
chr1	154685844	1	1	0	0	0	0
chr1	154685845	1	1	0	0	0	0
chr1	154685846	1	1	0	0	0	0
chr1	154685847	1	1	0	0	0	0
chr1	154685848	1	1	0	0	0	0
chr1	154685849	2	1	1	0	0	0
chr1	154685850	2	1	1	0	0	0
chr1	154685851	2	1	1	0	0	0
chr1	154685852	2	1	1	0	0	0
chr1	154685853	2	1	1	0	0	0
chr1	154685854	2	1	1	0	0	0
chr1	154685855	2	1	1	0	0	0
chr1	154685856	2	1	1	0	0	0
chr1	154685857	2	1	1	0	0	0
chr1	154685858	2	1	1	0	0	0
chr1	154685859	2	1	1	0	0	0
chr1	154685860	2	1	1	0	0	0
chr1	154685861	2	1	1	0	0	0
chr1	154685862	2	1	1	0	0	0
chr1	154685863	2	1	1	0	0	0
chr1	154685864	2	1	1	0	0	0
chr1	154685865	3	1	2	0	0	0
chr1	154685866	3	1	2	0	0	0
chr1	154685867	3	1	2	0	0	0
chr1	154685868	3	1	2	0	0	0
chr1	154685869	3	1	2	0	0	0
chr1	154685870	3	1	2	0	0	0
chr1	154685871	3	1	2	0	0	0
chr1	154685872	3	1	2	0	0	0
chr1	154685873	3	1	2	0	0	0
chr1	154685874	3	1	2	0	0	0
chr1	154685875	3	1	2	0	0	0
chr1	154685876	3	1	2	0	0	0
chr1	154685877	3	1	2	0	0	0
chr1	154685878	3	1	2	0	0	0
chr1	154685879	3	1	2	0	0	0
chr1	154685880	3	1	2	0	0	0
chr1	154685881	3	1	2	0	0	0
chr1	154685882	3	1	2	0	0	0
chr1	154685883	3	1	2	0	0	0
chr1	154685884	3	1	2	0	0	0
chr1	154685885	3	1	2	0	0	0
chr1	154685886	3	1	2	0	0	0
chr1	154685887	3	1	2	0	0	0
chr1	154685888	3	1	2	0	0	0
chr1	154685889	3	1	2	0	0	0
chr1	154685890	2	0	2	0	0	0
chr1	154685891	2	0	2	0	0	0
chr1	154685892	2	0	2	0	0	0
chr1	154685893	2	0	2	0	0	0
chr1	154685894	2	0	2	0	0	0
chr1	154685895	2	0	2	0	0	0
chr1	154685896	2	0	2	0	0	0
chr1	154685897	2	0	2	0	0	0
chr1	154685898	2	0	2	0	0	0
chr1	154685899	2	0	2	0	0	0
chr1	154685900	2	0	2	0	0	0
chr1	154685901	2	0	2	0	0	0
chr1	154685902	2	0	2	0	0	0
chr1	154685903	2	0	2	0	0	0
chr1	154685904	2	0	2	0	0	0
chr1	154685905	2	0	2	0	0	0
chr1	154685906	2	0	2	0	0	0
chr1	154685907	2	0	2	0	0	0
chr1	154685908	2	0	2	0	0	0
chr1	154685909	2	0	2	0	0	0
chr1	154685910	2	0	2	0	0	0
chr1	154685911	2	0	2	0	0	0
chr1	154685912	2	0	2	0	0	0
chr1	154685913	2	0	2	0	0	0
chr1	154685914	2	0	2	0	0	0
chr1	154685915	2	0	2	0	0	0
chr1	154685916	2	0	2	0	0	0
chr1	154685917	2	0	2	0	0	0
chr1	154685918	2	0	2	0	0	0
chr1	154685919	2	0	2	0	0	0
chr1	154685920	2	0	2	0	0	0
chr1	154685921	2	0	2	0	0	0
chr1	154685922	2	0	2	0	0	0
chr1	154685923	2	0	2	0	0	0
chr1	154685924	2	0	2	0	0	0
chr1	154685925	2	0	2	0	0	0
chr1	154685926	2	0	2	0	0	0
chr1	154685927	2	0	2	0	0	0
chr1	154685928	2	0	2	0	0	0
chr1	154685929	2	0	2	0	0	0
chr1	154685930	2	0	2	0	0	0
chr1	154685931	2	0	2	0	0	0
chr1	154685932	2	0	2	0	0	0
chr1	154685933	2	0	2	0	0	0
chr1	154685934	2	0	2	0	0	0
chr1	154685935	2	0	2	0	0	0
chr1	154685936	2	0	2	0	0	0
chr1	154685937	2	0	2	0	0	0
chr1	154685938	2	0	2	0	0	0
chr1	154685939	2	0	2	0	0	0
chr1	154685940	2	0	2	0	0	0
chr1	154685941	2	0	2	0	0	0
chr1	154685942	2	0	2	0	0	0
chr1	154685943	2	0	2	0	0	0
chr1	154685944	2	0	2	0	0	0
chr1	154685945	2	0	2	0	0	0
chr1	154685946	2	0	2	0	0	0
chr1	154685947	2	0	2	0	0	0
chr1	154685948	2	0	2	0	0	0
chr1	154685949	2	0	2	0	0	0
chr1	154685950	1	0	1	0	0	0
chr1	154685951	1	0	1	0	0	0
chr1	154685952	1	0	1	0	0	0
chr1	154685953	1	0	1	0	0	0
chr1	154685954	1	0	1	0	0	0
chr1	154685955	1	0	1	0	0	0
chr1	154685956	1	0	1	0	0	0
chr1	154685957	1	0	1	0	0	0
chr1	154685958	1	0	1	0	0	0
chr1	154685959	1	0	1	0	0	0
chr1	154685960	1	0	1	0	0	0
chr1	154685961	1	0	1	0	0	0
chr1	154685962	1	0	1	0	0	0
chr1	154685963	1	0	1	0	0	0
chr1	154685964	1	0	1	0	0	0
chr1	154685965	1	0	1	0	0	0
chr1	154686015	1	1	0	0	0	0
chr1	154686016	1	1	0	0	0	0
chr1	154686017	1	1	0	0	0	0
chr1	154686018	1	1	0	0	0	0
chr1	154686019	2	1	1	0	0	0
chr1	154686020	2	1	1	0	0	0
chr1	154686021	2	1	1	0	0	0
chr1	154686022	2	1	1	0	0	0
chr1	154686023	2	1	1	0	0	0
chr1	154686024	2	1	1	0	0	0
chr1	154686025	2	1	1	0	0	0
chr1	154686026	2	1	1	0	0	0
chr1	154686027	2	1	1	0	0	0
chr1	154686028	2	1	1	0	0	0
chr1	154686029	2	1	1	0	0	0
chr1	154686030	2	1	1	0	0	0
chr1	154686031	2	1	1	0	0	0
chr1	154686032	2	1	1	0	0	0
chr1	154686033	2	1	1	0	0	0
chr1	154686034	2	1	1	0	0	0
chr1	154686035	2	1	1	0	0	0
chr1	154686036	2	1	1	0	0	0
chr1	154686037	2	1	1	0	0	0
chr1	154686038	2	1	1	0	0	0
chr1	154686039	2	1	1	0	0	0
chr1	154686040	2	1	1	0	0	0
chr1	154686041	2	1	1	0	0	0
chr1	154686042	2	1	1	0	0	0
chr1	154686043	2	1	1	0	0	0
chr1	154686044	2	1	1	0	0	0
chr1	154686045	2	1	1	0	0	0
chr1	154686046	2	1	1	0	0	0
chr1	154686047	2	1	1	0	0	0
chr1	154686048	2	1	1	0	0	0
chr1	154686049	2	1	1	0	0	0
chr1	154686050	2	1	1	0	0	0
chr1	154686051	2	1	1	0	0	0
chr1	154686052	2	1	1	0	0	0
chr1	154686053	2	1	1	0	0	0
chr1	154686054	2	1	1	0	0	0
chr1	154686055	2	1	1	0	0	0
chr1	154686056	2	1	1	0	0	0
chr1	154686057	2	1	1	0	0	0
chr1	154686058	2	1	1	0	0	0
chr1	154686059	2	1	1	0	0	0
chr1	154686060	2	1	1	0	0	0
chr1	154686061	2	1	1	0	0	0
chr1	154686062	2	1	1	0	0	0
chr1	154686063	2	1	1	0	0	0
chr1	154686064	2	1	1	0	0	0
chr1	154686065	2	1	1	0	0	0
chr1	154686066	2	1	1	0	0	0
chr1	154686067	3	1	2	0	0	0
chr1	154686068	3	1	2	0	0	0
chr1	154686069	3	1	2	0	0	0
chr1	154686070	3	1	2	0	0	0
chr1	154686071	3	1	2	0	0	0
chr1	154686072	3	1	2	0	0	0
chr1	154686073	3	1	2	0	0	0
chr1	154686074	3	1	2	0	0	0
chr1	154686075	3	1	2	0	0	0
chr1	154686076	3	1	2	0	0	0
chr1	154686077	3	1	2	0	0	0
chr1	154686078	3	1	2	0	0	0
chr1	154686079	3	1	2	0	0	0
chr1	154686080	3	1	2	0	0	0
chr1	154686081	3	1	2	0	0	0
chr1	154686082	3	1	2	0	0	0
chr1	154686083	3	1	2	0	0	0
chr1	154686084	3	1	2	0	0	0
chr1	154686085	3	1	2	0	0	0
chr1	154686086	3	1	2	0	0	0
chr1	154686087	3	1	2	0	0	0
chr1	154686088	3	1	2	0	0	0
chr1	154686089	3	1	2	0	0	0
chr1	154686090	3	1	2	0	0	0
chr1	154686091	3	1	2	0	0	0
chr1	154686092	3	1	2	0	0	0
chr1	154686093	3	1	2	0	0	0
chr1	154686094	3	1	2	0	0	0
chr1	154686095	3	1	2	0	0	0
chr1	154686096	3	1	2	0	0	0
chr1	154686097	3	1	2	0	0	0
chr1	154686098	3	1	2	0	0	0
chr1	154686099	3	1	2	0	0	0
chr1	154686100	3	1	2	0	0	0
chr1	154686101	3	1	2	0	0	0
chr1	154686102	3	1	2	0	0	0
chr1	154686103	3	1	2	0	0	0
chr1	154686104	3	1	2	0	0	0
chr1	154686105	3	1	2	0	0	0
chr1	154686106	3	1	2	0	0	0
chr1	154686107	3	1	2	0	0	0
chr1	154686108	3	1	2	0	0	0
chr1	154686109	3	1	2	0	0	0
chr1	154686110	3	1	2	0	0	0
chr1	154686111	3	1	2	0	0	0
chr1	154686112	3	1	2	0	0	0
chr1	154686113	3	1	2	0	0	0
chr1	154686114	3	1	2	0	0	0
chr1	154686115	3	1	2	0	0	0
chr1	154686116	2	0	2	0	0	0
chr1	154686117	2	0	2	0	0	0
chr1	154686118	2	0	2	0	0	0
chr1	154686119	2	0	2	0	0	0
chr1	154686120	1	0	1	0	0	0
chr1	154686121	1	0	1	0	0	0
chr1	154686122	1	0	1	0	0	0
chr1	154686123	1	0	1	0	0	0
chr1	154686124	1	0	1	0	0	0
chr1	154686125	1	0	1	0	0	0
chr1	154686126	1	0	1	0	0	0
chr1	154686127	2	1	1	0	0	0
chr1	154686128	2	1	1	0	0	0
chr1	154686129	2	1	1	0	0	0
chr1	154686130	2	1	1	0	0	0
chr1	154686131	2	1	1	0	0	0
chr1	154686132	2	1	1	0	0	0
chr1	154686133	2	1	1	0	0	0
chr1	154686134	2	1	1	0	0	0
chr1	154686135	2	1	1	0	0	0
chr1	154686136	2	1	1	0	0	0
chr1	154686137	2	1	1	0	0	0
chr1	154686138	2	1	1	0	0	0
chr1	154686139	2	1	1	0	0	0
chr1	154686140	2	1	1	0	0	0
chr1	154686141	2	1	1	0	0	0
chr1	154686142	2	1	1	0	0	0
chr1	154686143	2	1	1	0	0	0
chr1	154686144	2	1	1	0	0	0
chr1	154686145	2	1	1	0	0	0
chr1	154686146	2	1	1	0	0	0
chr1	154686147	2	1	1	0	0	0
chr1	154686148	2	1	1	0	0	0
chr1	154686149	2	1	1	0	0	0
chr1	154686150	2	1	1	0	0	0
chr1	154686151	2	1	1	0	0	0
chr1	154686152	2	1	1	0	0	0
chr1	154686153	3	2	1	0	0	0
chr1	154686154	3	2	1	0	0	0
chr1	154686155	3	2	1	0	0	0
chr1	154686156	3	2	1	0	0	0
chr1	154686157	3	2	1	0	0	0
chr1	154686158	3	2	1	0	0	0
chr1	154686159	3	2	1	0	0	0
chr1	154686160	3	2	1	0	0	0
chr1	154686161	3	2	1	0	0	0
chr1	154686162	3	2	1	0	0	0
chr1	154686163	3	2	1	0	0	0
chr1	154686164	3	2	1	0	0	0
chr1	154686165	3	2	1	0	0	0
chr1	154686166	3	2	1	0	0	0
chr1	154686167	3	2	1	0	0	0
chr1	154686168	2	2	0	0	0	0
chr1	154686169	2	2	0	0	0	0
chr1	154686170	2	2	0	0	0	0
chr1	154686171	2	2	0	0	0	0
chr1	154686172	2	2	0	0	0	0
chr1	154686173	2	2	0	0	0	0
chr1	154686174	2	2	0	0	0	0
chr1	154686175	2	2	0	0	0	0
chr1	154686176	2	2	0	0	0	0
chr1	154686177	2	2	0	0	0	0
chr1	154686178	2	2	0	0	0	0
chr1	154686179	2	2	0	0	0	0
chr1	154686180	2	2	0	0	0	0
chr1	154686181	2	2	0	0	0	0
chr1	154686182	2	2	0	0	0	0
chr1	154686183	2	2	0	0	0	0
chr1	154686184	2	2	0	0	0	0
chr1	154686185	2	2	0	0	0	0
chr1	154686186	2	2	0	0	0	0
chr1	154686187	2	2	0	0	0	0
chr1	154686188	2	2	0	0	0	0
chr1	154686189	2	2	0	0	0	0
chr1	154686190	2	2	0	0	0	0
chr1	154686191	2	2	0	0	0	0
chr1	154686192	2	2	0	0	0	0
chr1	154686193	2	2	0	0	0	0
chr1	154686194	2	2	0	0	0	0
chr1	154686195	2	2	0	0	0	0
chr1	154686196	2	2	0	0	0	0
chr1	154686197	2	2	0	0	0	0
chr1	154686198	2	2	0	0	0	0
chr1	154686199	2	2	0	0	0	0
chr1	154686200	2	2	0	0	0	0
