chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr19	17939968	1	1	0	0	0	0
chr19	17939969	1	1	0	0	0	0
chr19	17939970	1	1	0	0	0	0
chr19	17939971	1	1	0	0	0	0
chr19	17939972	1	1	0	0	0	0
chr19	17939973	1	1	0	0	0	0
chr19	17939974	1	1	0	0	0	0
chr19	17939975	1	1	0	0	0	0
chr19	17939976	1	1	0	0	0	0
chr19	17939977	1	1	0	0	0	0
chr19	17939978	1	1	0	0	0	0
chr19	17939979	1	1	0	0	0	0
chr19	17939980	1	1	0	0	0	0
chr19	17939981	1	1	0	0	0	0
chr19	17939982	1	1	0	0	0	0
chr19	17939983	1	1	0	0	0	0
chr19	17939984	1	1	0	0	0	0
chr19	17939985	1	1	0	0	0	0
chr19	17939986	1	1	0	0	0	0
chr19	17939987	1	1	0	0	0	0
chr19	17939988	1	1	0	0	0	0
chr19	17939989	1	1	0	0	0	0
chr19	17939990	1	1	0	0	0	0
chr19	17939991	1	1	0	0	0	0
chr19	17939992	1	1	0	0	0	0
chr19	17939993	1	1	0	0	0	0
chr19	17939994	1	1	0	0	0	0
chr19	17939995	1	1	0	0	0	0
chr19	17939996	1	1	0	0	0	0
chr19	17939997	1	1	0	0	0	0
chr19	17939998	1	1	0	0	0	0
chr19	17939999	1	1	0	0	0	0
chr19	17940000	1	1	0	0	0	0
chr19	17940001	1	1	0	0	0	0
chr19	17940002	1	1	0	0	0	0
chr19	17940003	1	1	0	0	0	0
chr19	17940004	1	1	0	0	0	0
chr19	17940005	1	1	0	0	0	0
chr19	17940006	1	1	0	0	0	0
chr19	17940007	1	1	0	0	0	0
chr19	17940008	1	1	0	0	0	0
chr19	17940009	1	1	0	0	0	0
chr19	17940010	1	1	0	0	0	0
chr19	17940011	1	1	0	0	0	0
chr19	17940012	1	1	0	0	0	0
chr19	17940013	1	1	0	0	0	0
chr19	17940014	1	1	0	0	0	0
chr19	17940015	2	2	0	0	0	0
chr19	17940016	2	2	0	0	0	0
chr19	17940017	2	2	0	0	0	0
chr19	17940018	2	2	0	0	0	0
chr19	17940019	2	2	0	0	0	0
chr19	17940020	2	2	0	0	0	0
chr19	17940021	2	2	0	0	0	0
chr19	17940022	2	2	0	0	0	0
chr19	17940023	2	2	0	0	0	0
chr19	17940024	2	2	0	0	0	0
chr19	17940025	2	2	0	0	0	0
chr19	17940026	2	2	0	0	0	0
chr19	17940027	2	2	0	0	0	0
chr19	17940028	2	2	0	0	0	0
chr19	17940029	2	2	0	0	0	0
chr19	17940030	2	2	0	0	0	0
chr19	17940031	2	2	0	0	0	0
chr19	17940032	2	2	0	0	0	0
chr19	17940033	2	2	0	0	0	0
chr19	17940034	2	2	0	0	0	0
chr19	17940035	2	2	0	0	0	0
chr19	17940036	2	2	0	0	0	0
chr19	17940037	2	2	0	0	0	0
chr19	17940038	2	2	0	0	0	0
chr19	17940039	2	2	0	0	0	0
chr19	17940040	2	2	0	0	0	0
chr19	17940041	2	2	0	0	0	0
