chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr19	17940077	1	0	1	0	0	0
chr19	17940078	1	0	1	0	0	0
chr19	17940079	1	0	1	0	0	0
chr19	17940080	1	0	1	0	0	0
chr19	17940081	1	0	1	0	0	0
chr19	17940082	1	0	1	0	0	0
chr19	17940083	1	0	1	0	0	0
chr19	17940084	1	0	1	0	0	0
chr19	17940085	1	0	1	0	0	0
chr19	17940086	1	0	1	0	0	0
chr19	17940087	1	0	1	0	0	0
chr19	17940088	1	0	1	0	0	0
chr19	17940089	1	0	1	0	0	0
chr19	17940090	1	0	1	0	0	0
chr19	17940091	1	0	1	0	0	0
chr19	17940092	1	0	1	0	0	0
chr19	17940093	1	0	1	0	0	0
chr19	17940094	1	0	1	0	0	0
chr19	17940095	1	0	1	0	0	0
chr19	17940096	1	0	1	0	0	0
chr19	17940097	1	0	1	0	0	0
chr19	17940098	1	0	1	0	0	0
chr19	17940099	1	0	1	0	0	0
chr19	17940100	1	0	1	0	0	0
chr19	17940101	1	0	1	0	0	0
chr19	17940102	1	0	1	0	0	0
chr19	17940103	1	0	1	0	0	0
chr19	17940104	1	0	1	0	0	0
chr19	17940105	1	0	1	0	0	0
chr19	17940106	1	0	1	0	0	0
chr19	17940107	1	0	1	0	0	0
chr19	17940108	1	0	1	0	0	0
chr19	17940109	1	0	1	0	0	0
chr19	17940110	1	0	1	0	0	0
chr19	17940111	1	0	1	0	0	0
chr19	17940112	1	0	1	0	0	0
chr19	17940113	1	0	1	0	0	0
chr19	17940114	1	0	1	0	0	0
chr19	17940115	1	0	1	0	0	0
chr19	17940116	1	0	1	0	0	0
chr19	17940117	1	0	1	0	0	0
chr19	17940118	1	0	1	0	0	0
chr19	17940119	1	0	1	0	0	0
chr19	17940120	1	0	1	0	0	0
chr19	17940121	1	0	1	0	0	0
chr19	17940122	1	0	1	0	0	0
chr19	17940123	1	0	1	0	0	0
chr19	17940124	1	0	1	0	0	0
chr19	17940125	1	0	1	0	0	0
chr19	17940126	1	0	1	0	0	0
chr19	17940127	1	0	1	0	0	0
chr19	17940128	1	0	1	0	0	0
chr19	17940129	1	0	1	0	0	0
chr19	17940130	1	0	1	0	0	0
