chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154685437	1	1	0	0	0	0
chr1	154685438	1	1	0	0	0	0
chr1	154685439	1	1	0	0	0	0
chr1	154685440	1	1	0	0	0	0
chr1	154685441	1	1	0	0	0	0
chr1	154685442	1	1	0	0	0	0
chr1	154685443	1	1	0	0	0	0
chr1	154685444	1	1	0	0	0	0
chr1	154685445	1	1	0	0	0	0
chr1	154685446	1	1	0	0	0	0
chr1	154685447	1	1	0	0	0	0
chr1	154685448	1	1	0	0	0	0
chr1	154685449	1	1	0	0	0	0
chr1	154685450	1	1	0	0	0	0
chr1	154685451	1	1	0	0	0	0
chr1	154685452	1	1	0	0	0	0
chr1	154685453	1	1	0	0	0	0
chr1	154685454	1	1	0	0	0	0
chr1	154685455	1	1	0	0	0	0
chr1	154685456	1	1	0	0	0	0
chr1	154685457	1	1	0	0	0	0
chr1	154685458	1	1	0	0	0	0
chr1	154685459	1	1	0	0	0	0
chr1	154685460	1	1	0	0	0	0
chr1	154685461	1	1	0	0	0	0
chr1	154685462	1	1	0	0	0	0
chr1	154685463	1	1	0	0	0	0
chr1	154685464	1	1	0	0	0	0
chr1	154685465	1	1	0	0	0	0
chr1	154685466	1	1	0	0	0	0
chr1	154685467	1	1	0	0	0	0
chr1	154685468	1	1	0	0	0	0
chr1	154685469	1	1	0	0	0	0
chr1	154685470	1	1	0	0	0	0
chr1	154685471	1	1	0	0	0	0
chr1	154685472	1	1	0	0	0	0
chr1	154685473	1	1	0	0	0	0
chr1	154685474	1	1	0	0	0	0
chr1	154685475	1	1	0	0	0	0
chr1	154685476	1	1	0	0	0	0
chr1	154685477	1	1	0	0	0	0
chr1	154685478	1	1	0	0	0	0
chr1	154685479	1	1	0	0	0	0
chr1	154685480	1	1	0	0	0	0
chr1	154685481	1	1	0	0	0	0
chr1	154685482	1	1	0	0	0	0
chr1	154685483	1	1	0	0	0	0
chr1	154685484	1	1	0	0	0	0
chr1	154685485	1	1	0	0	0	0
chr1	154685486	1	1	0	0	0	0
chr1	154685487	1	1	0	0	0	0
chr1	154685488	1	1	0	0	0	0
chr1	154685489	1	1	0	0	0	0
chr1	154685490	1	1	0	0	0	0
chr1	154685491	1	1	0	0	0	0
chr1	154685492	1	1	0	0	0	0
chr1	154685493	1	1	0	0	0	0
chr1	154685494	1	1	0	0	0	0
chr1	154685495	1	1	0	0	0	0
chr1	154685496	1	1	0	0	0	0
chr1	154685497	1	1	0	0	0	0
chr1	154685498	1	1	0	0	0	0
chr1	154685499	1	1	0	0	0	0
chr1	154685500	1	1	0	0	0	0
chr1	154685501	1	1	0	0	0	0
chr1	154685502	1	1	0	0	0	0
chr1	154685503	1	1	0	0	0	0
chr1	154685504	1	1	0	0	0	0
chr1	154685505	1	1	0	0	0	0
chr1	154685506	1	1	0	0	0	0
chr1	154685507	1	1	0	0	0	0
chr1	154685508	1	1	0	0	0	0
chr1	154685509	1	1	0	0	0	0
chr1	154685510	1	1	0	0	0	0
chr1	154685511	1	1	0	0	0	0
chr1	154685512	1	1	0	0	0	0
chr1	154685513	1	1	0	0	0	0
chr1	154685514	1	1	0	0	0	0
chr1	154685515	1	1	0	0	0	0
chr1	154685516	1	1	0	0	0	0
chr1	154685517	1	1	0	0	0	0
chr1	154685518	1	1	0	0	0	0
chr1	154685519	1	1	0	0	0	0
chr1	154685520	1	1	0	0	0	0
chr1	154685521	1	1	0	0	0	0
chr1	154685522	1	1	0	0	0	0
chr1	154685523	1	1	0	0	0	0
chr1	154685524	1	1	0	0	0	0
chr1	154685525	1	1	0	0	0	0
chr1	154685526	1	1	0	0	0	0
chr1	154685527	1	1	0	0	0	0
chr1	154685528	1	1	0	0	0	0
chr1	154685529	1	1	0	0	0	0
chr1	154685530	1	1	0	0	0	0
chr1	154685531	1	1	0	0	0	0
chr1	154685532	1	1	0	0	0	0
chr1	154685533	1	1	0	0	0	0
chr1	154685534	1	1	0	0	0	0
chr1	154685535	1	1	0	0	0	0
chr1	154685536	1	1	0	0	0	0
chr1	154685537	1	1	0	0	0	0
chr1	154685828	1	1	0	0	0	0
chr1	154685829	1	1	0	0	0	0
chr1	154685830	1	1	0	0	0	0
chr1	154685831	1	1	0	0	0	0
chr1	154685832	1	1	0	0	0	0
chr1	154685833	1	1	0	0	0	0
chr1	154685834	1	1	0	0	0	0
chr1	154685835	1	1	0	0	0	0
chr1	154685836	1	1	0	0	0	0
chr1	154685837	1	1	0	0	0	0
chr1	154685838	1	1	0	0	0	0
chr1	154685839	1	1	0	0	0	0
chr1	154685840	1	1	0	0	0	0
chr1	154685841	2	1	1	0	0	0
chr1	154685842	2	1	1	0	0	0
chr1	154685843	2	1	1	0	0	0
chr1	154685844	2	1	1	0	0	0
chr1	154685845	2	1	1	0	0	0
chr1	154685846	2	1	1	0	0	0
chr1	154685847	2	1	1	0	0	0
chr1	154685848	2	1	1	0	0	0
chr1	154685849	2	1	1	0	0	0
chr1	154685850	2	1	1	0	0	0
chr1	154685851	2	1	1	0	0	0
chr1	154685852	2	1	1	0	0	0
chr1	154685853	2	1	1	0	0	0
chr1	154685854	2	1	1	0	0	0
chr1	154685855	2	1	1	0	0	0
chr1	154685856	2	1	1	0	0	0
chr1	154685857	2	1	1	0	0	0
chr1	154685858	2	1	1	0	0	0
chr1	154685859	2	1	1	0	0	0
chr1	154685860	2	1	1	0	0	0
chr1	154685861	2	1	1	0	0	0
chr1	154685862	2	1	1	0	0	0
chr1	154685863	2	1	1	0	0	0
chr1	154685864	2	1	1	0	0	0
chr1	154685865	2	1	1	0	0	0
chr1	154685866	2	1	1	0	0	0
chr1	154685867	2	1	1	0	0	0
chr1	154685868	2	1	1	0	0	0
chr1	154685869	2	1	1	0	0	0
chr1	154685870	2	1	1	0	0	0
chr1	154685871	2	1	1	0	0	0
chr1	154685872	2	1	1	0	0	0
chr1	154685873	2	1	1	0	0	0
chr1	154685874	2	1	1	0	0	0
chr1	154685875	2	1	1	0	0	0
chr1	154685876	2	1	1	0	0	0
chr1	154685877	2	1	1	0	0	0
chr1	154685878	2	1	1	0	0	0
chr1	154685879	2	1	1	0	0	0
chr1	154685880	2	1	1	0	0	0
chr1	154685881	2	1	1	0	0	0
chr1	154685882	2	1	1	0	0	0
chr1	154685883	2	1	1	0	0	0
chr1	154685884	2	1	1	0	0	0
chr1	154685885	2	1	1	0	0	0
chr1	154685886	2	1	1	0	0	0
chr1	154685887	2	1	1	0	0	0
chr1	154685888	2	1	1	0	0	0
chr1	154685889	2	1	1	0	0	0
chr1	154685890	2	1	1	0	0	0
chr1	154685891	3	1	2	0	0	0
chr1	154685892	3	1	2	0	0	0
chr1	154685893	3	1	2	0	0	0
chr1	154685894	3	1	2	0	0	0
chr1	154685895	3	1	2	0	0	0
chr1	154685896	3	1	2	0	0	0
chr1	154685897	3	1	2	0	0	0
chr1	154685898	3	1	2	0	0	0
chr1	154685899	3	1	2	0	0	0
chr1	154685900	3	1	2	0	0	0
chr1	154685901	3	1	2	0	0	0
chr1	154685902	3	1	2	0	0	0
chr1	154685903	3	1	2	0	0	0
chr1	154685904	3	1	2	0	0	0
chr1	154685905	3	1	2	0	0	0
chr1	154685906	3	1	2	0	0	0
chr1	154685907	3	1	2	0	0	0
chr1	154685908	3	1	2	0	0	0
chr1	154685909	3	1	2	0	0	0
chr1	154685910	3	1	2	0	0	0
chr1	154685911	3	1	2	0	0	0
chr1	154685912	3	1	2	0	0	0
chr1	154685913	3	1	2	0	0	0
chr1	154685914	3	1	2	0	0	0
chr1	154685915	3	1	2	0	0	0
chr1	154685916	3	1	2	0	0	0
chr1	154685917	3	1	2	0	0	0
chr1	154685918	3	1	2	0	0	0
chr1	154685919	3	1	2	0	0	0
chr1	154685920	3	1	2	0	0	0
chr1	154685921	3	1	2	0	0	0
chr1	154685922	3	1	2	0	0	0
chr1	154685923	3	1	2	0	0	0
chr1	154685924	3	1	2	0	0	0
chr1	154685925	3	1	2	0	0	0
chr1	154685926	3	1	2	0	0	0
chr1	154685927	3	1	2	0	0	0
chr1	154685928	3	1	2	0	0	0
chr1	154685929	2	0	2	0	0	0
chr1	154685930	2	0	2	0	0	0
chr1	154685931	2	0	2	0	0	0
chr1	154685932	2	0	2	0	0	0
chr1	154685933	2	0	2	0	0	0
chr1	154685934	2	0	2	0	0	0
chr1	154685935	2	0	2	0	0	0
chr1	154685936	2	0	2	0	0	0
chr1	154685937	2	0	2	0	0	0
chr1	154685938	2	0	2	0	0	0
chr1	154685939	2	0	2	0	0	0
chr1	154685940	2	0	2	0	0	0
chr1	154685941	2	0	2	0	0	0
chr1	154685942	1	0	1	0	0	0
chr1	154685943	1	0	1	0	0	0
chr1	154685944	1	0	1	0	0	0
chr1	154685945	1	0	1	0	0	0
chr1	154685946	1	0	1	0	0	0
chr1	154685947	1	0	1	0	0	0
chr1	154685948	1	0	1	0	0	0
chr1	154685949	1	0	1	0	0	0
chr1	154685950	1	0	1	0	0	0
chr1	154685951	1	0	1	0	0	0
chr1	154685952	1	0	1	0	0	0
chr1	154685953	1	0	1	0	0	0
chr1	154685954	1	0	1	0	0	0
chr1	154685955	1	0	1	0	0	0
chr1	154685956	1	0	1	0	0	0
chr1	154685957	1	0	1	0	0	0
chr1	154685958	1	0	1	0	0	0
chr1	154685959	1	0	1	0	0	0
chr1	154685960	1	0	1	0	0	0
chr1	154685961	1	0	1	0	0	0
chr1	154685962	1	0	1	0	0	0
chr1	154685963	1	0	1	0	0	0
chr1	154685964	1	0	1	0	0	0
chr1	154685965	1	0	1	0	0	0
chr1	154685966	1	0	1	0	0	0
chr1	154685967	1	0	1	0	0	0
chr1	154685968	1	0	1	0	0	0
chr1	154685969	1	0	1	0	0	0
chr1	154685970	1	0	1	0	0	0
chr1	154685971	1	0	1	0	0	0
chr1	154685972	1	0	1	0	0	0
chr1	154685973	1	0	1	0	0	0
chr1	154685974	1	0	1	0	0	0
chr1	154685975	1	0	1	0	0	0
chr1	154685976	1	0	1	0	0	0
chr1	154685977	1	0	1	0	0	0
chr1	154685978	1	0	1	0	0	0
chr1	154685979	1	0	1	0	0	0
chr1	154685980	1	0	1	0	0	0
chr1	154685981	1	0	1	0	0	0
chr1	154685982	1	0	1	0	0	0
chr1	154685983	1	0	1	0	0	0
chr1	154685984	1	0	1	0	0	0
chr1	154685985	1	0	1	0	0	0
chr1	154685986	1	0	1	0	0	0
chr1	154685987	1	0	1	0	0	0
chr1	154685988	1	0	1	0	0	0
chr1	154685989	1	0	1	0	0	0
chr1	154685990	1	0	1	0	0	0
chr1	154685991	1	0	1	0	0	0
chr1	154686060	1	0	1	0	0	0
chr1	154686061	1	0	1	0	0	0
chr1	154686062	1	0	1	0	0	0
chr1	154686063	1	0	1	0	0	0
chr1	154686064	1	0	1	0	0	0
chr1	154686065	1	0	1	0	0	0
chr1	154686066	1	0	1	0	0	0
chr1	154686067	1	0	1	0	0	0
chr1	154686068	1	0	1	0	0	0
chr1	154686069	1	0	1	0	0	0
chr1	154686070	1	0	1	0	0	0
chr1	154686071	1	0	1	0	0	0
chr1	154686072	1	0	1	0	0	0
chr1	154686073	1	0	1	0	0	0
chr1	154686074	1	0	1	0	0	0
chr1	154686075	1	0	1	0	0	0
chr1	154686076	1	0	1	0	0	0
chr1	154686077	1	0	1	0	0	0
chr1	154686078	1	0	1	0	0	0
chr1	154686079	1	0	1	0	0	0
chr1	154686080	1	0	1	0	0	0
chr1	154686081	1	0	1	0	0	0
chr1	154686082	1	0	1	0	0	0
chr1	154686083	1	0	1	0	0	0
chr1	154686084	1	0	1	0	0	0
chr1	154686085	1	0	1	0	0	0
chr1	154686086	1	0	1	0	0	0
chr1	154686087	1	0	1	0	0	0
chr1	154686088	1	0	1	0	0	0
chr1	154686089	1	0	1	0	0	0
chr1	154686090	1	0	1	0	0	0
chr1	154686091	1	0	1	0	0	0
chr1	154686092	1	0	1	0	0	0
chr1	154686093	1	0	1	0	0	0
chr1	154686094	1	0	1	0	0	0
chr1	154686095	1	0	1	0	0	0
chr1	154686096	1	0	1	0	0	0
chr1	154686097	1	0	1	0	0	0
chr1	154686098	1	0	1	0	0	0
chr1	154686099	1	0	1	0	0	0
chr1	154686100	1	0	1	0	0	0
chr1	154686101	1	0	1	0	0	0
chr1	154686102	1	0	1	0	0	0
chr1	154686103	1	0	1	0	0	0
chr1	154686104	1	0	1	0	0	0
chr1	154686105	1	0	1	0	0	0
chr1	154686106	1	0	1	0	0	0
chr1	154686107	1	0	1	0	0	0
chr1	154686108	1	0	1	0	0	0
chr1	154686109	1	0	1	0	0	0
chr1	154686110	1	0	1	0	0	0
chr1	154686111	1	0	1	0	0	0
chr1	154686112	1	0	1	0	0	0
chr1	154686113	1	0	1	0	0	0
chr1	154686114	1	0	1	0	0	0
chr1	154686115	1	0	1	0	0	0
chr1	154686116	1	0	1	0	0	0
chr1	154686117	1	0	1	0	0	0
chr1	154686118	1	0	1	0	0	0
chr1	154686119	1	0	1	0	0	0
chr1	154686120	1	0	1	0	0	0
chr1	154686121	1	0	1	0	0	0
chr1	154686122	1	0	1	0	0	0
chr1	154686123	1	0	1	0	0	0
chr1	154686124	1	0	1	0	0	0
chr1	154686125	1	0	1	0	0	0
chr1	154686126	1	0	1	0	0	0
chr1	154686127	1	0	1	0	0	0
chr1	154686128	1	0	1	0	0	0
chr1	154686129	1	0	1	0	0	0
chr1	154686130	1	0	1	0	0	0
chr1	154686131	1	0	1	0	0	0
chr1	154686132	1	0	1	0	0	0
chr1	154686133	1	0	1	0	0	0
chr1	154686134	1	0	1	0	0	0
chr1	154686135	1	0	1	0	0	0
chr1	154686136	1	0	1	0	0	0
chr1	154686137	1	0	1	0	0	0
chr1	154686138	1	0	1	0	0	0
chr1	154686139	1	0	1	0	0	0
chr1	154686140	1	0	1	0	0	0
chr1	154686141	1	0	1	0	0	0
chr1	154686142	1	0	1	0	0	0
chr1	154686143	1	0	1	0	0	0
chr1	154686144	1	0	1	0	0	0
chr1	154686145	1	0	1	0	0	0
chr1	154686146	1	0	1	0	0	0
chr1	154686147	1	0	1	0	0	0
chr1	154686148	1	0	1	0	0	0
chr1	154686149	1	0	1	0	0	0
chr1	154686150	1	0	1	0	0	0
chr1	154686151	1	0	1	0	0	0
chr1	154686152	1	0	1	0	0	0
chr1	154686153	1	0	1	0	0	0
chr1	154686154	1	0	1	0	0	0
chr1	154686155	1	0	1	0	0	0
chr1	154686156	1	0	1	0	0	0
chr1	154686157	1	0	1	0	0	0
chr1	154686158	1	0	1	0	0	0
chr1	154686159	1	0	1	0	0	0
chr1	154686160	1	0	1	0	0	0
chr1	154686503	1	1	0	0	0	0
chr1	154686504	1	1	0	0	0	0
chr1	154686505	1	1	0	0	0	0
chr1	154686506	1	1	0	0	0	0
chr1	154686507	1	1	0	0	0	0
chr1	154686508	1	1	0	0	0	0
chr1	154686509	1	1	0	0	0	0
chr1	154686510	1	1	0	0	0	0
chr1	154686511	1	1	0	0	0	0
chr1	154686512	1	1	0	0	0	0
chr1	154686513	1	1	0	0	0	0
chr1	154686514	1	1	0	0	0	0
chr1	154686515	1	1	0	0	0	0
chr1	154686516	1	1	0	0	0	0
chr1	154686517	1	1	0	0	0	0
chr1	154686518	1	1	0	0	0	0
chr1	154686519	1	1	0	0	0	0
chr1	154686520	1	1	0	0	0	0
chr1	154686521	1	1	0	0	0	0
chr1	154686522	1	1	0	0	0	0
chr1	154686523	1	1	0	0	0	0
chr1	154686524	1	1	0	0	0	0
chr1	154686525	1	1	0	0	0	0
chr1	154686526	1	1	0	0	0	0
chr1	154686527	1	1	0	0	0	0
chr1	154686528	1	1	0	0	0	0
chr1	154686529	1	1	0	0	0	0
chr1	154686530	1	1	0	0	0	0
chr1	154686531	1	1	0	0	0	0
chr1	154686532	1	1	0	0	0	0
chr1	154686533	1	1	0	0	0	0
chr1	154686534	1	1	0	0	0	0
chr1	154686535	1	1	0	0	0	0
chr1	154686536	1	1	0	0	0	0
chr1	154686537	1	1	0	0	0	0
chr1	154686538	1	1	0	0	0	0
chr1	154686539	1	1	0	0	0	0
chr1	154686540	1	1	0	0	0	0
chr1	154686541	1	1	0	0	0	0
chr1	154686542	1	1	0	0	0	0
chr1	154686543	1	1	0	0	0	0
chr1	154686544	1	1	0	0	0	0
chr1	154686545	1	1	0	0	0	0
chr1	154686546	1	1	0	0	0	0
chr1	154686547	1	1	0	0	0	0
chr1	154686548	1	1	0	0	0	0
chr1	154686549	1	1	0	0	0	0
chr1	154686550	1	1	0	0	0	0
chr1	154686551	1	1	0	0	0	0
chr1	154686552	1	1	0	0	0	0
chr1	154686553	1	1	0	0	0	0
chr1	154686554	1	1	0	0	0	0
chr1	154686555	1	1	0	0	0	0
chr1	154686556	1	1	0	0	0	0
chr1	154686557	1	1	0	0	0	0
chr1	154686558	1	1	0	0	0	0
chr1	154686559	1	1	0	0	0	0
chr1	154686560	2	2	0	0	0	0
chr1	154686561	2	2	0	0	0	0
chr1	154686562	2	2	0	0	0	0
chr1	154686563	2	2	0	0	0	0
chr1	154686564	2	2	0	0	0	0
chr1	154686565	2	2	0	0	0	0
chr1	154686566	2	2	0	0	0	0
chr1	154686567	2	2	0	0	0	0
chr1	154686568	2	2	0	0	0	0
chr1	154686569	2	2	0	0	0	0
chr1	154686570	2	2	0	0	0	0
chr1	154686571	2	2	0	0	0	0
chr1	154686572	2	2	0	0	0	0
chr1	154686573	2	2	0	0	0	0
chr1	154686574	2	2	0	0	0	0
chr1	154686575	2	2	0	0	0	0
chr1	154686576	2	2	0	0	0	0
chr1	154686577	2	2	0	0	0	0
chr1	154686578	2	2	0	0	0	0
chr1	154686579	2	2	0	0	0	0
chr1	154686580	2	2	0	0	0	0
chr1	154686581	2	2	0	0	0	0
chr1	154686582	2	2	0	0	0	0
