chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154685639	1	0	1	0	0	0
chr1	154685640	1	0	1	0	0	0
chr1	154685641	1	0	1	0	0	0
chr1	154685642	1	0	1	0	0	0
chr1	154685643	1	0	1	0	0	0
chr1	154685644	1	0	1	0	0	0
chr1	154685645	1	0	1	0	0	0
chr1	154685646	1	0	1	0	0	0
chr1	154685647	1	0	1	0	0	0
chr1	154685648	1	0	1	0	0	0
chr1	154685649	1	0	1	0	0	0
chr1	154685650	1	0	1	0	0	0
chr1	154685651	1	0	1	0	0	0
chr1	154685652	1	0	1	0	0	0
chr1	154685653	1	0	1	0	0	0
chr1	154685654	1	0	1	0	0	0
chr1	154685655	1	0	1	0	0	0
chr1	154685656	1	0	1	0	0	0
chr1	154685657	1	0	1	0	0	0
chr1	154685658	1	0	1	0	0	0
chr1	154685659	1	0	1	0	0	0
chr1	154685660	1	0	1	0	0	0
chr1	154685661	1	0	1	0	0	0
chr1	154685662	1	0	1	0	0	0
chr1	154685663	1	0	1	0	0	0
chr1	154685664	1	0	1	0	0	0
chr1	154685665	1	0	1	0	0	0
chr1	154685666	1	0	1	0	0	0
chr1	154685667	1	0	1	0	0	0
chr1	154685668	1	0	1	0	0	0
chr1	154685669	1	0	1	0	0	0
chr1	154685670	1	0	1	0	0	0
chr1	154685671	1	0	1	0	0	0
chr1	154685672	1	0	1	0	0	0
chr1	154685673	1	0	1	0	0	0
chr1	154685674	1	0	1	0	0	0
chr1	154685675	1	0	1	0	0	0
chr1	154685676	1	0	1	0	0	0
chr1	154685677	1	0	1	0	0	0
chr1	154685678	1	0	1	0	0	0
chr1	154685679	1	0	1	0	0	0
chr1	154685680	1	0	1	0	0	0
chr1	154685681	1	0	1	0	0	0
chr1	154685682	1	0	1	0	0	0
chr1	154685683	1	0	1	0	0	0
chr1	154685684	1	0	1	0	0	0
chr1	154685685	1	0	1	0	0	0
chr1	154685686	1	0	1	0	0	0
chr1	154685687	1	0	1	0	0	0
chr1	154685688	1	0	1	0	0	0
chr1	154685689	1	0	1	0	0	0
chr1	154685690	1	0	1	0	0	0
chr1	154685691	1	0	1	0	0	0
chr1	154685692	1	0	1	0	0	0
chr1	154685693	1	0	1	0	0	0
chr1	154685694	1	0	1	0	0	0
chr1	154685695	1	0	1	0	0	0
chr1	154685696	1	0	1	0	0	0
chr1	154685697	1	0	1	0	0	0
chr1	154685698	1	0	1	0	0	0
chr1	154685699	1	0	1	0	0	0
chr1	154685700	1	0	1	0	0	0
chr1	154685701	1	0	1	0	0	0
chr1	154685702	1	0	1	0	0	0
chr1	154685703	1	0	1	0	0	0
chr1	154685704	1	0	1	0	0	0
chr1	154685705	1	0	1	0	0	0
chr1	154685706	1	0	1	0	0	0
chr1	154685707	1	0	1	0	0	0
chr1	154685708	1	0	1	0	0	0
chr1	154685709	1	0	1	0	0	0
chr1	154685710	1	0	1	0	0	0
chr1	154685711	1	0	1	0	0	0
chr1	154685712	1	0	1	0	0	0
chr1	154685713	1	0	1	0	0	0
chr1	154685714	1	0	1	0	0	0
chr1	154685715	1	0	1	0	0	0
chr1	154685716	1	0	1	0	0	0
chr1	154685717	1	0	1	0	0	0
chr1	154685718	1	0	1	0	0	0
chr1	154685719	1	0	1	0	0	0
chr1	154685720	1	0	1	0	0	0
chr1	154685721	1	0	1	0	0	0
chr1	154685722	1	0	1	0	0	0
chr1	154685723	1	0	1	0	0	0
chr1	154685724	1	0	1	0	0	0
chr1	154685725	1	0	1	0	0	0
chr1	154685726	1	0	1	0	0	0
chr1	154685727	1	0	1	0	0	0
chr1	154685728	1	0	1	0	0	0
chr1	154685729	1	0	1	0	0	0
chr1	154685730	1	0	1	0	0	0
chr1	154685731	1	0	1	0	0	0
chr1	154685732	1	0	1	0	0	0
chr1	154685733	1	0	1	0	0	0
chr1	154685734	1	0	1	0	0	0
chr1	154685735	1	0	1	0	0	0
chr1	154685736	1	0	1	0	0	0
chr1	154685737	1	0	1	0	0	0
chr1	154685738	1	0	1	0	0	0
chr1	154685739	1	0	1	0	0	0
chr1	154685755	1	1	0	0	0	0
chr1	154685756	1	1	0	0	0	0
chr1	154685757	1	1	0	0	0	0
chr1	154685758	1	1	0	0	0	0
chr1	154685759	1	1	0	0	0	0
chr1	154685760	1	1	0	0	0	0
chr1	154685761	1	1	0	0	0	0
chr1	154685762	1	1	0	0	0	0
chr1	154685763	1	1	0	0	0	0
chr1	154685764	1	1	0	0	0	0
chr1	154685765	1	1	0	0	0	0
chr1	154685766	1	1	0	0	0	0
chr1	154685767	1	1	0	0	0	0
chr1	154685768	1	1	0	0	0	0
chr1	154685769	1	1	0	0	0	0
chr1	154685770	1	1	0	0	0	0
chr1	154685771	1	1	0	0	0	0
chr1	154685772	1	1	0	0	0	0
chr1	154685773	1	1	0	0	0	0
chr1	154685774	1	1	0	0	0	0
chr1	154685775	1	1	0	0	0	0
chr1	154685776	1	1	0	0	0	0
chr1	154685777	1	1	0	0	0	0
chr1	154685778	1	1	0	0	0	0
chr1	154685779	1	1	0	0	0	0
chr1	154685780	1	1	0	0	0	0
chr1	154685781	1	1	0	0	0	0
chr1	154685782	1	1	0	0	0	0
chr1	154685783	1	1	0	0	0	0
chr1	154685784	1	1	0	0	0	0
chr1	154685785	1	1	0	0	0	0
chr1	154685786	1	1	0	0	0	0
chr1	154685787	1	1	0	0	0	0
chr1	154685788	1	1	0	0	0	0
chr1	154685789	1	1	0	0	0	0
chr1	154685790	1	1	0	0	0	0
chr1	154685791	1	1	0	0	0	0
chr1	154685792	1	1	0	0	0	0
chr1	154685793	1	1	0	0	0	0
chr1	154685794	1	1	0	0	0	0
chr1	154685795	1	1	0	0	0	0
chr1	154685796	1	1	0	0	0	0
chr1	154685797	1	1	0	0	0	0
chr1	154685798	1	1	0	0	0	0
chr1	154685799	1	1	0	0	0	0
chr1	154685800	1	1	0	0	0	0
chr1	154685801	1	1	0	0	0	0
chr1	154685802	1	1	0	0	0	0
chr1	154685803	1	1	0	0	0	0
chr1	154685804	1	1	0	0	0	0
chr1	154685805	1	1	0	0	0	0
chr1	154685806	1	1	0	0	0	0
chr1	154685807	1	1	0	0	0	0
chr1	154685808	1	1	0	0	0	0
chr1	154685809	1	1	0	0	0	0
chr1	154685810	1	1	0	0	0	0
chr1	154685811	1	1	0	0	0	0
chr1	154685812	1	1	0	0	0	0
chr1	154685813	1	1	0	0	0	0
chr1	154685814	1	1	0	0	0	0
chr1	154685815	1	1	0	0	0	0
chr1	154685816	1	1	0	0	0	0
chr1	154685817	1	1	0	0	0	0
chr1	154685818	1	1	0	0	0	0
chr1	154685819	1	1	0	0	0	0
chr1	154685820	1	1	0	0	0	0
chr1	154685821	1	1	0	0	0	0
chr1	154685822	1	1	0	0	0	0
chr1	154685823	1	1	0	0	0	0
chr1	154685824	1	1	0	0	0	0
chr1	154685825	1	1	0	0	0	0
chr1	154685826	1	1	0	0	0	0
chr1	154685827	1	1	0	0	0	0
chr1	154685828	1	1	0	0	0	0
chr1	154685829	1	1	0	0	0	0
chr1	154685830	1	1	0	0	0	0
chr1	154685831	1	1	0	0	0	0
chr1	154685832	1	1	0	0	0	0
chr1	154685833	1	1	0	0	0	0
chr1	154685834	1	1	0	0	0	0
chr1	154685835	1	1	0	0	0	0
chr1	154685836	1	1	0	0	0	0
chr1	154685837	1	1	0	0	0	0
chr1	154685838	1	1	0	0	0	0
chr1	154685839	1	1	0	0	0	0
chr1	154685840	1	1	0	0	0	0
chr1	154685841	1	1	0	0	0	0
chr1	154685842	1	1	0	0	0	0
chr1	154685843	1	1	0	0	0	0
chr1	154685844	1	1	0	0	0	0
chr1	154685845	1	1	0	0	0	0
chr1	154685846	1	1	0	0	0	0
chr1	154685847	1	1	0	0	0	0
chr1	154685848	1	1	0	0	0	0
chr1	154685849	1	1	0	0	0	0
chr1	154685850	1	1	0	0	0	0
chr1	154685851	2	2	0	0	0	0
chr1	154685852	2	2	0	0	0	0
chr1	154685853	2	2	0	0	0	0
chr1	154685854	2	2	0	0	0	0
chr1	154685855	2	2	0	0	0	0
chr1	154685856	1	1	0	0	0	0
chr1	154685857	1	1	0	0	0	0
chr1	154685858	1	1	0	0	0	0
chr1	154685859	1	1	0	0	0	0
chr1	154685860	1	1	0	0	0	0
chr1	154685861	1	1	0	0	0	0
chr1	154685862	1	1	0	0	0	0
chr1	154685863	1	1	0	0	0	0
chr1	154685864	1	1	0	0	0	0
chr1	154685865	1	1	0	0	0	0
chr1	154685866	1	1	0	0	0	0
chr1	154685867	1	1	0	0	0	0
chr1	154685868	1	1	0	0	0	0
chr1	154685869	1	1	0	0	0	0
chr1	154685870	1	1	0	0	0	0
chr1	154685871	1	1	0	0	0	0
chr1	154685872	1	1	0	0	0	0
