chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr19	17941050	1	1	0	0	0	0
chr19	17941051	1	1	0	0	0	0
chr19	17941052	1	1	0	0	0	0
chr19	17941053	1	1	0	0	0	0
chr19	17941054	1	1	0	0	0	0
chr19	17941055	1	1	0	0	0	0
chr19	17941056	1	1	0	0	0	0
chr19	17941057	1	1	0	0	0	0
chr19	17941058	1	1	0	0	0	0
chr19	17941059	1	1	0	0	0	0
chr19	17941060	1	1	0	0	0	0
chr19	17941061	1	1	0	0	0	0
chr19	17941062	1	1	0	0	0	0
chr19	17941063	1	1	0	0	0	0
chr19	17941064	1	1	0	0	0	0
chr19	17941065	1	1	0	0	0	0
chr19	17941066	1	1	0	0	0	0
chr19	17941067	1	1	0	0	0	0
chr19	17941068	1	1	0	0	0	0
chr19	17941069	1	1	0	0	0	0
chr19	17941070	1	1	0	0	0	0
chr19	17941071	1	1	0	0	0	0
chr19	17941072	1	1	0	0	0	0
chr19	17941073	1	1	0	0	0	0
chr19	17941074	1	1	0	0	0	0
chr19	17941075	1	1	0	0	0	0
chr19	17941076	1	1	0	0	0	0
chr19	17941077	1	1	0	0	0	0
chr19	17941078	1	1	0	0	0	0
chr19	17941079	1	1	0	0	0	0
chr19	17941080	1	1	0	0	0	0
chr19	17941081	1	1	0	0	0	0
chr19	17941082	1	1	0	0	0	0
chr19	17941083	1	1	0	0	0	0
chr19	17941084	1	1	0	0	0	0
chr19	17941085	1	1	0	0	0	0
chr19	17941086	1	1	0	0	0	0
chr19	17941087	1	1	0	0	0	0
chr19	17941088	1	1	0	0	0	0
chr19	17941089	1	1	0	0	0	0
chr19	17941090	1	1	0	0	0	0
chr19	17941091	1	1	0	0	0	0
chr19	17941092	1	1	0	0	0	0
chr19	17941093	1	1	0	0	0	0
chr19	17941094	1	1	0	0	0	0
chr19	17941095	1	1	0	0	0	0
chr19	17941096	1	1	0	0	0	0
chr19	17941097	1	1	0	0	0	0
chr19	17941098	1	1	0	0	0	0
chr19	17941099	1	1	0	0	0	0
chr19	17941100	1	1	0	0	0	0
chr19	17941101	1	1	0	0	0	0
chr19	17941102	1	1	0	0	0	0
chr19	17941103	1	1	0	0	0	0
chr19	17941104	1	1	0	0	0	0
chr19	17941105	1	1	0	0	0	0
chr19	17941106	1	1	0	0	0	0
chr19	17941107	1	1	0	0	0	0
chr19	17941108	1	1	0	0	0	0
chr19	17941109	1	1	0	0	0	0
chr19	17941110	1	1	0	0	0	0
chr19	17941111	1	1	0	0	0	0
chr19	17941112	1	1	0	0	0	0
chr19	17941113	1	1	0	0	0	0
chr19	17941114	1	1	0	0	0	0
chr19	17941115	1	1	0	0	0	0
chr19	17941116	3	3	0	0	0	0
chr19	17941117	3	3	0	0	0	0
chr19	17941118	3	3	0	0	0	0
chr19	17941119	3	3	0	0	0	0
chr19	17941120	3	3	0	0	0	0
chr19	17941121	3	3	0	0	0	0
chr19	17941122	3	3	0	0	0	0
chr19	17941123	3	3	0	0	0	0
chr19	17941124	3	3	0	0	0	0
chr19	17941125	3	3	0	0	0	0
chr19	17941126	3	3	0	0	0	0
chr19	17941127	3	3	0	0	0	0
chr19	17941128	3	3	0	0	0	0
chr19	17941129	3	3	0	0	0	0
chr19	17941130	3	3	0	0	0	0
chr19	17941131	3	3	0	0	0	0
chr19	17941132	3	3	0	0	0	0
chr19	17941133	3	3	0	0	0	0
chr19	17941134	3	3	0	0	0	0
chr19	17941135	3	3	0	0	0	0
chr19	17941136	3	3	0	0	0	0
chr19	17941137	3	3	0	0	0	0
chr19	17941138	3	3	0	0	0	0
chr19	17941139	3	3	0	0	0	0
chr19	17941140	3	3	0	0	0	0
chr19	17941141	3	3	0	0	0	0
chr19	17941142	3	3	0	0	0	0
chr19	17941143	3	3	0	0	0	0
chr19	17941144	3	3	0	0	0	0
chr19	17941145	3	3	0	0	0	0
chr19	17941146	3	3	0	0	0	0
chr19	17941147	3	3	0	0	0	0
chr19	17941148	3	3	0	0	0	0
chr19	17941149	3	3	0	0	0	0
chr19	17941150	3	3	0	0	0	0
chr19	17941151	3	3	0	0	0	0
chr19	17941152	3	3	0	0	0	0
chr19	17941153	3	3	0	0	0	0
chr19	17941154	3	3	0	0	0	0
