chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154686374	1	0	1	0	0	0
chr1	154686375	1	0	1	0	0	0
chr1	154686376	1	0	1	0	0	0
chr1	154686377	1	0	1	0	0	0
chr1	154686378	1	0	1	0	0	0
chr1	154686379	1	0	1	0	0	0
chr1	154686380	1	0	1	0	0	0
chr1	154686381	1	0	1	0	0	0
chr1	154686382	1	0	1	0	0	0
chr1	154686383	1	0	1	0	0	0
chr1	154686384	1	0	1	0	0	0
chr1	154686385	1	0	1	0	0	0
chr1	154686386	1	0	1	0	0	0
chr1	154686387	1	0	1	0	0	0
chr1	154686388	1	0	1	0	0	0
chr1	154686389	1	0	1	0	0	0
chr1	154686390	1	0	1	0	0	0
chr1	154686391	1	0	1	0	0	0
chr1	154686392	1	0	1	0	0	0
chr1	154686393	1	0	1	0	0	0
chr1	154686394	1	0	1	0	0	0
chr1	154686395	1	0	1	0	0	0
chr1	154686396	2	0	2	0	0	0
chr1	154686397	2	0	2	0	0	0
chr1	154686398	2	0	2	0	0	0
chr1	154686399	2	0	2	0	0	0
chr1	154686400	2	0	2	0	0	0
chr1	154686401	2	0	2	0	0	0
chr1	154686402	2	0	2	0	0	0
chr1	154686403	2	0	2	0	0	0
chr1	154686404	2	0	2	0	0	0
chr1	154686405	2	0	2	0	0	0
chr1	154686406	2	0	2	0	0	0
chr1	154686407	2	0	2	0	0	0
chr1	154686408	2	0	2	0	0	0
chr1	154686409	2	0	2	0	0	0
chr1	154686410	2	0	2	0	0	0
chr1	154686411	2	0	2	0	0	0
chr1	154686412	2	0	2	0	0	0
chr1	154686413	2	0	2	0	0	0
chr1	154686414	2	0	2	0	0	0
chr1	154686415	2	0	2	0	0	0
chr1	154686416	2	0	2	0	0	0
chr1	154686417	2	0	2	0	0	0
chr1	154686418	2	0	2	0	0	0
chr1	154686419	2	0	2	0	0	0
chr1	154686420	2	0	2	0	0	0
chr1	154686421	2	0	2	0	0	0
chr1	154686422	2	0	2	0	0	0
chr1	154686423	2	0	2	0	0	0
chr1	154686424	2	0	2	0	0	0
chr1	154686425	2	0	2	0	0	0
chr1	154686426	2	0	2	0	0	0
chr1	154686427	2	0	2	0	0	0
chr1	154686428	2	0	2	0	0	0
chr1	154686429	2	0	2	0	0	0
chr1	154686430	2	0	2	0	0	0
chr1	154686431	2	0	2	0	0	0
chr1	154686432	2	0	2	0	0	0
chr1	154686433	2	0	2	0	0	0
chr1	154686434	2	0	2	0	0	0
chr1	154686435	2	0	2	0	0	0
chr1	154686436	2	0	2	0	0	0
chr1	154686437	2	0	2	0	0	0
chr1	154686438	2	0	2	0	0	0
chr1	154686439	2	0	2	0	0	0
chr1	154686440	2	0	2	0	0	0
chr1	154686441	2	0	2	0	0	0
chr1	154686442	2	0	2	0	0	0
chr1	154686443	2	0	2	0	0	0
chr1	154686444	2	0	2	0	0	0
chr1	154686445	2	0	2	0	0	0
chr1	154686446	2	0	2	0	0	0
chr1	154686447	2	0	2	0	0	0
chr1	154686448	2	0	2	0	0	0
chr1	154686449	2	0	2	0	0	0
chr1	154686450	2	0	2	0	0	0
chr1	154686451	2	0	2	0	0	0
chr1	154686452	2	0	2	0	0	0
chr1	154686453	2	0	2	0	0	0
chr1	154686454	2	0	2	0	0	0
chr1	154686455	2	0	2	0	0	0
chr1	154686456	2	0	2	0	0	0
chr1	154686457	2	0	2	0	0	0
chr1	154686458	2	0	2	0	0	0
chr1	154686459	2	0	2	0	0	0
chr1	154686460	2	0	2	0	0	0
chr1	154686461	2	0	2	0	0	0
chr1	154686462	2	0	2	0	0	0
chr1	154686463	2	0	2	0	0	0
chr1	154686464	2	0	2	0	0	0
chr1	154686465	2	0	2	0	0	0
chr1	154686466	2	0	2	0	0	0
chr1	154686467	2	0	2	0	0	0
chr1	154686468	2	0	2	0	0	0
chr1	154686469	2	0	2	0	0	0
chr1	154686470	2	0	2	0	0	0
chr1	154686471	2	0	2	0	0	0
chr1	154686472	2	0	2	0	0	0
chr1	154686473	1	0	1	0	0	0
chr1	154686474	1	0	1	0	0	0
chr1	154686475	1	0	1	0	0	0
chr1	154686476	1	0	1	0	0	0
chr1	154686477	1	0	1	0	0	0
chr1	154686478	1	0	1	0	0	0
chr1	154686479	1	0	1	0	0	0
chr1	154686480	1	0	1	0	0	0
chr1	154686481	1	0	1	0	0	0
chr1	154686482	1	0	1	0	0	0
chr1	154686483	1	0	1	0	0	0
chr1	154686484	1	0	1	0	0	0
chr1	154686485	1	0	1	0	0	0
chr1	154686486	1	0	1	0	0	0
chr1	154686487	1	0	1	0	0	0
chr1	154686488	1	0	1	0	0	0
chr1	154686489	1	0	1	0	0	0
chr1	154686490	1	0	1	0	0	0
chr1	154686491	1	0	1	0	0	0
chr1	154686492	1	0	1	0	0	0
chr1	154686493	1	0	1	0	0	0
chr1	154686494	1	0	1	0	0	0
chr1	154686495	1	0	1	0	0	0
chr1	154687603	1	0	1	0	0	0
chr1	154687604	1	0	1	0	0	0
chr1	154687605	1	0	1	0	0	0
chr1	154687606	1	0	1	0	0	0
chr1	154687607	1	0	1	0	0	0
chr1	154687608	1	0	1	0	0	0
chr1	154687609	1	0	1	0	0	0
chr1	154687610	1	0	1	0	0	0
