chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr19	17940022	1	0	1	0	0	0
chr19	17940023	1	0	1	0	0	0
chr19	17940024	1	0	1	0	0	0
chr19	17940025	1	0	1	0	0	0
chr19	17940026	1	0	1	0	0	0
chr19	17940027	1	0	1	0	0	0
chr19	17940028	1	0	1	0	0	0
chr19	17940029	1	0	1	0	0	0
chr19	17940030	1	0	1	0	0	0
chr19	17940031	1	0	1	0	0	0
chr19	17940032	1	0	1	0	0	0
chr19	17940033	1	0	1	0	0	0
chr19	17940034	1	0	1	0	0	0
chr19	17940035	1	0	1	0	0	0
chr19	17940036	1	0	1	0	0	0
chr19	17940037	1	0	1	0	0	0
chr19	17940038	1	0	1	0	0	0
chr19	17940039	1	0	1	0	0	0
chr19	17940040	1	0	1	0	0	0
chr19	17940041	1	0	1	0	0	0
chr19	17940042	1	0	1	0	0	0
chr19	17940043	1	0	1	0	0	0
chr19	17940044	1	0	1	0	0	0
chr19	17940045	1	0	1	0	0	0
chr19	17940046	1	0	1	0	0	0
chr19	17940047	1	0	1	0	0	0
chr19	17940048	1	0	1	0	0	0
chr19	17940049	1	0	1	0	0	0
chr19	17940050	1	0	1	0	0	0
chr19	17940051	1	0	1	0	0	0
chr19	17940052	1	0	1	0	0	0
chr19	17940053	1	0	1	0	0	0
chr19	17940054	1	0	1	0	0	0
chr19	17940055	1	0	1	0	0	0
chr19	17940056	1	0	1	0	0	0
chr19	17940057	1	0	1	0	0	0
chr19	17940058	1	0	1	0	0	0
chr19	17940059	1	0	1	0	0	0
chr19	17940060	1	0	1	0	0	0
chr19	17940061	1	0	1	0	0	0
chr19	17940062	1	0	1	0	0	0
chr19	17940063	1	0	1	0	0	0
chr19	17940064	1	0	1	0	0	0
chr19	17940065	1	0	1	0	0	0
chr19	17940066	1	0	1	0	0	0
chr19	17940067	1	0	1	0	0	0
chr19	17940068	1	0	1	0	0	0
chr19	17940069	1	0	1	0	0	0
chr19	17940070	1	0	1	0	0	0
chr19	17940071	1	0	1	0	0	0
chr19	17940072	1	0	1	0	0	0
chr19	17940073	1	0	1	0	0	0
chr19	17940074	1	0	1	0	0	0
chr19	17940075	1	0	1	0	0	0
chr19	17940076	1	0	1	0	0	0
chr19	17940077	1	0	1	0	0	0
chr19	17940078	1	0	1	0	0	0
chr19	17940079	1	0	1	0	0	0
chr19	17940080	1	0	1	0	0	0
chr19	17940081	1	0	1	0	0	0
chr19	17940082	1	0	1	0	0	0
chr19	17940083	1	0	1	0	0	0
chr19	17940084	1	0	1	0	0	0
chr19	17940085	1	0	1	0	0	0
chr19	17940086	1	0	1	0	0	0
chr19	17940087	1	0	1	0	0	0
chr19	17940088	1	0	1	0	0	0
chr19	17940089	1	0	1	0	0	0
chr19	17940090	1	0	1	0	0	0
chr19	17940091	1	0	1	0	0	0
chr19	17940092	1	0	1	0	0	0
chr19	17940093	1	0	1	0	0	0
chr19	17940094	1	0	1	0	0	0
chr19	17940095	1	0	1	0	0	0
chr19	17940096	1	0	1	0	0	0
chr19	17940097	1	0	1	0	0	0
chr19	17940098	1	0	1	0	0	0
chr19	17940099	1	0	1	0	0	0
chr19	17940100	1	0	1	0	0	0
chr19	17940101	1	0	1	0	0	0
chr19	17940102	1	0	1	0	0	0
chr19	17940103	1	0	1	0	0	0
chr19	17940104	1	0	1	0	0	0
chr19	17940105	1	0	1	0	0	0
chr19	17940106	1	0	1	0	0	0
chr19	17940107	1	0	1	0	0	0
chr19	17940108	1	0	1	0	0	0
chr19	17940109	1	0	1	0	0	0
chr19	17940110	1	0	1	0	0	0
chr19	17940111	1	0	1	0	0	0
chr19	17940112	1	0	1	0	0	0
chr19	17940113	1	0	1	0	0	0
chr19	17940114	1	0	1	0	0	0
chr19	17940115	1	0	1	0	0	0
chr19	17940116	1	0	1	0	0	0
chr19	17940117	1	0	1	0	0	0
chr19	17940118	1	0	1	0	0	0
chr19	17940119	1	0	1	0	0	0
chr19	17940120	1	0	1	0	0	0
chr19	17940121	1	0	1	0	0	0
chr19	17940122	1	0	1	0	0	0
chr19	17940197	1	0	1	0	0	0
chr19	17940198	1	0	1	0	0	0
chr19	17940199	1	0	1	0	0	0
chr19	17940200	1	0	1	0	0	0
chr19	17940201	1	0	1	0	0	0
chr19	17940202	1	0	1	0	0	0
chr19	17940203	1	0	1	0	0	0
chr19	17940204	1	0	1	0	0	0
chr19	17940205	1	0	1	0	0	0
chr19	17940206	1	0	1	0	0	0
chr19	17940207	1	0	1	0	0	0
chr19	17940208	1	0	1	0	0	0
chr19	17940209	1	0	1	0	0	0
chr19	17940210	1	0	1	0	0	0
chr19	17940211	1	0	1	0	0	0
chr19	17940212	1	0	1	0	0	0
chr19	17940213	1	0	1	0	0	0
chr19	17940214	1	0	1	0	0	0
chr19	17940215	1	0	1	0	0	0
chr19	17940216	1	0	1	0	0	0
chr19	17940217	1	0	1	0	0	0
chr19	17940218	1	0	1	0	0	0
chr19	17940219	1	0	1	0	0	0
chr19	17940220	1	0	1	0	0	0
chr19	17940221	1	0	1	0	0	0
chr19	17940222	1	0	1	0	0	0
chr19	17940223	1	0	1	0	0	0
chr19	17940224	1	0	1	0	0	0
chr19	17940225	1	0	1	0	0	0
chr19	17940226	1	0	1	0	0	0
chr19	17940227	1	0	1	0	0	0
chr19	17940228	1	0	1	0	0	0
chr19	17940229	1	0	1	0	0	0
chr19	17940230	1	0	1	0	0	0
chr19	17940231	1	0	1	0	0	0
chr19	17940232	1	0	1	0	0	0
chr19	17940233	1	0	1	0	0	0
chr19	17940234	1	0	1	0	0	0
chr19	17940235	1	0	1	0	0	0
chr19	17940236	1	0	1	0	0	0
chr19	17940237	1	0	1	0	0	0
chr19	17940238	1	0	1	0	0	0
chr19	17940239	1	0	1	0	0	0
chr19	17940240	1	0	1	0	0	0
chr19	17940241	1	0	1	0	0	0
chr19	17940242	1	0	1	0	0	0
chr19	17940243	1	0	1	0	0	0
chr19	17940244	1	0	1	0	0	0
chr19	17940245	1	0	1	0	0	0
chr19	17940246	1	0	1	0	0	0
chr19	17940247	1	0	1	0	0	0
chr19	17940248	1	0	1	0	0	0
chr19	17940249	1	0	1	0	0	0
chr19	17940250	1	0	1	0	0	0
chr19	17940251	1	0	1	0	0	0
chr19	17940252	1	0	1	0	0	0
chr19	17940253	1	0	1	0	0	0
chr19	17940254	1	0	1	0	0	0
chr19	17940255	1	0	1	0	0	0
chr19	17940256	1	0	1	0	0	0
chr19	17940257	1	0	1	0	0	0
chr19	17940258	1	0	1	0	0	0
chr19	17940259	1	0	1	0	0	0
chr19	17940260	1	0	1	0	0	0
chr19	17940261	1	0	1	0	0	0
chr19	17940262	1	0	1	0	0	0
chr19	17940263	1	0	1	0	0	0
chr19	17940264	1	0	1	0	0	0
chr19	17940265	1	0	1	0	0	0
chr19	17940266	1	0	1	0	0	0
chr19	17940267	1	0	1	0	0	0
chr19	17940268	1	0	1	0	0	0
chr19	17940269	1	0	1	0	0	0
chr19	17940270	1	0	1	0	0	0
chr19	17940271	1	0	1	0	0	0
chr19	17940272	1	0	1	0	0	0
chr19	17940273	1	0	1	0	0	0
chr19	17940274	1	0	1	0	0	0
chr19	17940275	1	0	1	0	0	0
chr19	17940276	1	0	1	0	0	0
chr19	17940277	1	0	1	0	0	0
chr19	17940278	1	0	1	0	0	0
chr19	17940279	1	0	1	0	0	0
chr19	17940280	1	0	1	0	0	0
chr19	17940281	1	0	1	0	0	0
chr19	17940282	1	0	1	0	0	0
chr19	17940283	1	0	1	0	0	0
chr19	17940284	1	0	1	0	0	0
chr19	17940285	1	0	1	0	0	0
chr19	17940286	1	0	1	0	0	0
chr19	17940287	1	0	1	0	0	0
chr19	17940288	1	0	1	0	0	0
chr19	17940289	1	0	1	0	0	0
chr19	17940290	1	0	1	0	0	0
chr19	17940291	1	0	1	0	0	0
chr19	17940292	1	0	1	0	0	0
chr19	17940293	1	0	1	0	0	0
chr19	17940294	1	0	1	0	0	0
chr19	17940295	1	0	1	0	0	0
chr19	17940296	1	0	1	0	0	0
chr19	17940297	1	0	1	0	0	0
chr19	17940301	1	0	1	0	0	0
chr19	17940302	1	0	1	0	0	0
chr19	17940303	1	0	1	0	0	0
chr19	17940304	1	0	1	0	0	0
chr19	17940305	1	0	1	0	0	0
chr19	17940306	1	0	1	0	0	0
chr19	17940307	1	0	1	0	0	0
chr19	17940308	1	0	1	0	0	0
chr19	17940309	1	0	1	0	0	0
chr19	17940310	1	0	1	0	0	0
chr19	17940311	1	0	1	0	0	0
chr19	17940312	1	0	1	0	0	0
chr19	17940313	1	0	1	0	0	0
chr19	17940314	1	0	1	0	0	0
chr19	17940315	1	0	1	0	0	0
chr19	17940316	1	0	1	0	0	0
chr19	17940317	1	0	1	0	0	0
chr19	17940318	1	0	1	0	0	0
chr19	17940319	1	0	1	0	0	0
chr19	17940320	1	0	1	0	0	0
chr19	17940321	1	0	1	0	0	0
chr19	17940322	1	0	1	0	0	0
chr19	17940323	1	0	1	0	0	0
chr19	17940324	1	0	1	0	0	0
chr19	17940325	1	0	1	0	0	0
chr19	17940326	1	0	1	0	0	0
chr19	17940327	1	0	1	0	0	0
chr19	17940328	1	0	1	0	0	0
chr19	17940329	1	0	1	0	0	0
chr19	17940330	1	0	1	0	0	0
chr19	17940331	1	0	1	0	0	0
chr19	17940332	1	0	1	0	0	0
chr19	17940333	1	0	1	0	0	0
chr19	17940334	1	0	1	0	0	0
chr19	17940335	1	0	1	0	0	0
chr19	17940336	1	0	1	0	0	0
chr19	17940337	1	0	1	0	0	0
chr19	17940338	1	0	1	0	0	0
chr19	17940339	1	0	1	0	0	0
chr19	17940340	1	0	1	0	0	0
chr19	17940341	1	0	1	0	0	0
chr19	17940342	1	0	1	0	0	0
chr19	17940343	1	0	1	0	0	0
chr19	17940344	1	0	1	0	0	0
chr19	17940345	1	0	1	0	0	0
chr19	17940346	1	0	1	0	0	0
chr19	17940347	1	0	1	0	0	0
chr19	17940348	1	0	1	0	0	0
chr19	17940349	1	0	1	0	0	0
chr19	17940350	1	0	1	0	0	0
chr19	17940351	1	0	1	0	0	0
chr19	17940352	1	0	1	0	0	0
chr19	17940353	1	0	1	0	0	0
chr19	17940354	1	0	1	0	0	0
chr19	17940355	1	0	1	0	0	0
chr19	17940356	1	0	1	0	0	0
chr19	17940357	1	0	1	0	0	0
chr19	17940358	1	0	1	0	0	0
chr19	17940359	1	0	1	0	0	0
chr19	17940360	1	0	1	0	0	0
chr19	17940361	1	0	1	0	0	0
chr19	17940362	1	0	1	0	0	0
chr19	17940363	1	0	1	0	0	0
chr19	17940364	1	0	1	0	0	0
chr19	17940365	1	0	1	0	0	0
chr19	17940366	1	0	1	0	0	0
chr19	17940367	1	0	1	0	0	0
chr19	17940368	1	0	1	0	0	0
chr19	17940369	1	0	1	0	0	0
chr19	17940370	2	0	2	0	0	0
chr19	17940371	2	0	2	0	0	0
chr19	17940372	2	0	2	0	0	0
chr19	17940373	2	0	2	0	0	0
chr19	17940374	2	0	2	0	0	0
chr19	17940375	2	0	2	0	0	0
chr19	17940376	2	0	2	0	0	0
chr19	17940377	2	0	2	0	0	0
chr19	17940378	2	0	2	0	0	0
chr19	17940379	2	0	2	0	0	0
chr19	17940380	2	0	2	0	0	0
chr19	17940381	2	0	2	0	0	0
chr19	17940382	2	0	2	0	0	0
chr19	17940383	2	0	2	0	0	0
chr19	17940384	2	0	2	0	0	0
chr19	17940385	2	0	2	0	0	0
chr19	17940386	2	0	2	0	0	0
chr19	17940387	2	0	2	0	0	0
chr19	17940388	2	0	2	0	0	0
chr19	17940389	2	0	2	0	0	0
chr19	17940390	2	0	2	0	0	0
chr19	17940391	2	0	2	0	0	0
chr19	17940392	2	0	2	0	0	0
chr19	17940393	2	0	2	0	0	0
chr19	17940394	2	0	2	0	0	0
chr19	17940395	2	0	2	0	0	0
chr19	17940396	2	0	2	0	0	0
chr19	17940397	2	0	2	0	0	0
chr19	17940398	2	0	2	0	0	0
chr19	17940399	2	0	2	0	0	0
chr19	17940400	2	0	2	0	0	0
chr19	17940401	2	0	2	0	0	0
chr19	17940402	1	0	1	0	0	0
chr19	17940403	1	0	1	0	0	0
chr19	17940404	1	0	1	0	0	0
chr19	17940405	1	0	1	0	0	0
chr19	17940406	1	0	1	0	0	0
chr19	17940407	1	0	1	0	0	0
chr19	17940408	1	0	1	0	0	0
chr19	17940409	1	0	1	0	0	0
chr19	17940410	1	0	1	0	0	0
chr19	17940411	1	0	1	0	0	0
chr19	17940412	1	0	1	0	0	0
chr19	17940413	1	0	1	0	0	0
chr19	17940414	1	0	1	0	0	0
chr19	17940415	1	0	1	0	0	0
chr19	17940416	1	0	1	0	0	0
chr19	17940417	1	0	1	0	0	0
chr19	17940418	1	0	1	0	0	0
chr19	17940419	1	0	1	0	0	0
chr19	17940420	1	0	1	0	0	0
chr19	17940421	1	0	1	0	0	0
chr19	17940422	1	0	1	0	0	0
chr19	17940423	1	0	1	0	0	0
chr19	17940424	1	0	1	0	0	0
chr19	17940425	1	0	1	0	0	0
chr19	17940426	1	0	1	0	0	0
chr19	17940427	1	0	1	0	0	0
chr19	17940428	1	0	1	0	0	0
chr19	17940429	1	0	1	0	0	0
chr19	17940430	1	0	1	0	0	0
chr19	17940431	1	0	1	0	0	0
chr19	17940432	1	0	1	0	0	0
chr19	17940433	1	0	1	0	0	0
chr19	17940434	1	0	1	0	0	0
chr19	17940435	1	0	1	0	0	0
