chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr19	17940044	1	1	0	0	0	0
chr19	17940045	1	1	0	0	0	0
chr19	17940046	1	1	0	0	0	0
chr19	17940047	1	1	0	0	0	0
chr19	17940048	1	1	0	0	0	0
chr19	17940049	1	1	0	0	0	0
chr19	17940050	1	1	0	0	0	0
chr19	17940051	1	1	0	0	0	0
chr19	17940052	1	1	0	0	0	0
chr19	17940053	1	1	0	0	0	0
chr19	17940054	1	1	0	0	0	0
chr19	17940055	1	1	0	0	0	0
chr19	17940056	1	1	0	0	0	0
chr19	17940057	1	1	0	0	0	0
chr19	17940058	1	1	0	0	0	0
chr19	17940059	1	1	0	0	0	0
chr19	17940060	1	1	0	0	0	0
chr19	17940061	1	1	0	0	0	0
chr19	17940062	1	1	0	0	0	0
chr19	17940063	1	1	0	0	0	0
chr19	17940064	1	1	0	0	0	0
chr19	17940065	1	1	0	0	0	0
chr19	17940066	1	1	0	0	0	0
chr19	17940067	1	1	0	0	0	0
chr19	17940068	1	1	0	0	0	0
chr19	17940069	1	1	0	0	0	0
chr19	17940070	1	1	0	0	0	0
chr19	17940071	1	1	0	0	0	0
chr19	17940072	1	1	0	0	0	0
chr19	17940073	1	1	0	0	0	0
chr19	17940074	1	1	0	0	0	0
chr19	17940075	1	1	0	0	0	0
chr19	17940076	1	1	0	0	0	0
chr19	17940077	1	1	0	0	0	0
chr19	17940078	1	1	0	0	0	0
chr19	17940079	1	1	0	0	0	0
chr19	17940080	1	1	0	0	0	0
chr19	17940081	1	1	0	0	0	0
chr19	17940082	1	1	0	0	0	0
chr19	17940083	1	1	0	0	0	0
chr19	17940084	1	1	0	0	0	0
chr19	17940085	1	1	0	0	0	0
chr19	17940086	1	1	0	0	0	0
chr19	17940087	1	1	0	0	0	0
chr19	17940088	1	1	0	0	0	0
chr19	17940089	1	1	0	0	0	0
chr19	17940090	1	1	0	0	0	0
chr19	17940091	1	1	0	0	0	0
chr19	17940092	1	1	0	0	0	0
chr19	17940093	1	1	0	0	0	0
chr19	17940094	1	1	0	0	0	0
chr19	17940095	1	1	0	0	0	0
chr19	17940096	1	1	0	0	0	0
chr19	17940097	1	1	0	0	0	0
chr19	17940098	1	1	0	0	0	0
chr19	17940099	1	1	0	0	0	0
chr19	17940100	1	1	0	0	0	0
chr19	17940101	1	1	0	0	0	0
chr19	17940102	1	1	0	0	0	0
chr19	17940103	1	1	0	0	0	0
chr19	17940104	1	1	0	0	0	0
chr19	17940105	1	1	0	0	0	0
chr19	17940106	1	1	0	0	0	0
chr19	17940107	1	1	0	0	0	0
chr19	17940108	1	1	0	0	0	0
chr19	17940109	1	1	0	0	0	0
chr19	17940110	1	1	0	0	0	0
chr19	17940111	1	1	0	0	0	0
chr19	17940112	1	1	0	0	0	0
chr19	17940113	1	1	0	0	0	0
chr19	17940114	1	1	0	0	0	0
chr19	17940115	1	1	0	0	0	0
chr19	17940116	1	1	0	0	0	0
chr19	17940117	1	1	0	0	0	0
chr19	17940118	1	1	0	0	0	0
chr19	17940119	1	1	0	0	0	0
chr19	17940120	1	1	0	0	0	0
chr19	17940121	1	1	0	0	0	0
chr19	17940122	1	1	0	0	0	0
chr19	17940123	1	1	0	0	0	0
chr19	17940124	1	1	0	0	0	0
chr19	17940125	1	1	0	0	0	0
chr19	17940126	1	1	0	0	0	0
chr19	17940127	1	1	0	0	0	0
chr19	17940128	1	1	0	0	0	0
chr19	17940129	1	1	0	0	0	0
chr19	17940130	1	1	0	0	0	0
chr19	17940131	1	1	0	0	0	0
chr19	17940132	1	1	0	0	0	0
chr19	17940133	1	1	0	0	0	0
chr19	17940134	1	1	0	0	0	0
