chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154685040	1	0	1	0	0	0
chr1	154685041	1	0	1	0	0	0
chr1	154685042	1	0	1	0	0	0
chr1	154685043	1	0	1	0	0	0
chr1	154685044	1	0	1	0	0	0
chr1	154685045	1	0	1	0	0	0
chr1	154685046	1	0	1	0	0	0
chr1	154685047	1	0	1	0	0	0
chr1	154685048	1	0	1	0	0	0
chr1	154685049	1	0	1	0	0	0
chr1	154685050	1	0	1	0	0	0
chr1	154685051	1	0	1	0	0	0
chr1	154685052	1	0	1	0	0	0
chr1	154685053	1	0	1	0	0	0
chr1	154685054	1	0	1	0	0	0
chr1	154685055	1	0	1	0	0	0
chr1	154685056	1	0	1	0	0	0
chr1	154685057	1	0	1	0	0	0
chr1	154685058	1	0	1	0	0	0
chr1	154685059	1	0	1	0	0	0
chr1	154685060	1	0	1	0	0	0
chr1	154685061	1	0	1	0	0	0
chr1	154685062	1	0	1	0	0	0
chr1	154685063	1	0	1	0	0	0
chr1	154685064	1	0	1	0	0	0
chr1	154685065	1	0	1	0	0	0
chr1	154685066	1	0	1	0	0	0
chr1	154685067	1	0	1	0	0	0
chr1	154685068	1	0	1	0	0	0
chr1	154685069	1	0	1	0	0	0
chr1	154685070	1	0	1	0	0	0
chr1	154685071	1	0	1	0	0	0
chr1	154685072	1	0	1	0	0	0
chr1	154685073	1	0	1	0	0	0
chr1	154685074	1	0	1	0	0	0
chr1	154685075	1	0	1	0	0	0
chr1	154685076	2	1	1	0	0	0
chr1	154685077	2	1	1	0	0	0
chr1	154685078	2	1	1	0	0	0
chr1	154685079	2	1	1	0	0	0
chr1	154685080	2	1	1	0	0	0
chr1	154685081	2	1	1	0	0	0
chr1	154685082	2	1	1	0	0	0
chr1	154685083	2	1	1	0	0	0
chr1	154685084	2	1	1	0	0	0
chr1	154685085	2	1	1	0	0	0
chr1	154685086	2	1	1	0	0	0
chr1	154685087	2	1	1	0	0	0
chr1	154685088	2	1	1	0	0	0
chr1	154685089	2	1	1	0	0	0
chr1	154685090	2	1	1	0	0	0
chr1	154685091	2	1	1	0	0	0
chr1	154685092	2	1	1	0	0	0
chr1	154685093	2	1	1	0	0	0
chr1	154685094	2	1	1	0	0	0
chr1	154685095	2	1	1	0	0	0
chr1	154685096	2	1	1	0	0	0
chr1	154685097	2	1	1	0	0	0
chr1	154685098	2	1	1	0	0	0
chr1	154685099	2	1	1	0	0	0
chr1	154685100	2	1	1	0	0	0
chr1	154685101	2	1	1	0	0	0
chr1	154685102	2	1	1	0	0	0
chr1	154685103	2	1	1	0	0	0
chr1	154685104	2	1	1	0	0	0
chr1	154685105	2	1	1	0	0	0
chr1	154685106	2	1	1	0	0	0
chr1	154685107	2	1	1	0	0	0
chr1	154685108	2	1	1	0	0	0
chr1	154685109	2	1	1	0	0	0
chr1	154685110	2	1	1	0	0	0
chr1	154685111	2	1	1	0	0	0
chr1	154685112	2	1	1	0	0	0
chr1	154685113	2	1	1	0	0	0
chr1	154685114	2	1	1	0	0	0
chr1	154685115	2	1	1	0	0	0
chr1	154685116	2	1	1	0	0	0
chr1	154685117	2	1	1	0	0	0
chr1	154685118	2	1	1	0	0	0
chr1	154685119	2	1	1	0	0	0
chr1	154685120	2	1	1	0	0	0
chr1	154685121	2	1	1	0	0	0
chr1	154685122	2	1	1	0	0	0
chr1	154685123	2	1	1	0	0	0
chr1	154685124	2	1	1	0	0	0
chr1	154685125	2	1	1	0	0	0
chr1	154685126	2	1	1	0	0	0
chr1	154685127	2	1	1	0	0	0
chr1	154685128	2	1	1	0	0	0
chr1	154685129	2	1	1	0	0	0
chr1	154685130	2	1	1	0	0	0
chr1	154685131	2	1	1	0	0	0
chr1	154685132	2	1	1	0	0	0
chr1	154685133	2	1	1	0	0	0
chr1	154685134	2	1	1	0	0	0
chr1	154685135	2	1	1	0	0	0
chr1	154685136	2	1	1	0	0	0
chr1	154685137	2	1	1	0	0	0
chr1	154685138	2	1	1	0	0	0
chr1	154685139	2	1	1	0	0	0
chr1	154685140	2	1	1	0	0	0
chr1	154685141	1	1	0	0	0	0
chr1	154685142	1	1	0	0	0	0
chr1	154685143	1	1	0	0	0	0
chr1	154685144	1	1	0	0	0	0
chr1	154685145	1	1	0	0	0	0
chr1	154685146	1	1	0	0	0	0
chr1	154685147	1	1	0	0	0	0
chr1	154685148	1	1	0	0	0	0
chr1	154685149	1	1	0	0	0	0
