chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154684923	1	0	1	0	0	0
chr1	154684924	1	0	1	0	0	0
chr1	154684925	1	0	1	0	0	0
chr1	154684926	1	0	1	0	0	0
chr1	154684927	1	0	1	0	0	0
chr1	154684928	1	0	1	0	0	0
chr1	154684929	1	0	1	0	0	0
chr1	154684930	1	0	1	0	0	0
chr1	154684931	1	0	1	0	0	0
chr1	154684932	1	0	1	0	0	0
chr1	154684933	1	0	1	0	0	0
chr1	154684934	1	0	1	0	0	0
chr1	154684935	1	0	1	0	0	0
chr1	154684936	1	0	1	0	0	0
chr1	154684937	1	0	1	0	0	0
chr1	154684938	1	0	1	0	0	0
chr1	154684939	1	0	1	0	0	0
chr1	154684940	1	0	1	0	0	0
chr1	154684941	1	0	1	0	0	0
chr1	154684942	1	0	1	0	0	0
chr1	154684943	1	0	1	0	0	0
chr1	154684944	1	0	1	0	0	0
chr1	154684945	1	0	1	0	0	0
chr1	154684946	1	0	1	0	0	0
chr1	154684947	1	0	1	0	0	0
chr1	154684948	1	0	1	0	0	0
chr1	154684949	1	0	1	0	0	0
chr1	154684950	1	0	1	0	0	0
chr1	154684951	1	0	1	0	0	0
chr1	154684952	1	0	1	0	0	0
chr1	154684953	1	0	1	0	0	0
chr1	154684954	1	0	1	0	0	0
chr1	154684955	1	0	1	0	0	0
chr1	154684956	1	0	1	0	0	0
chr1	154684957	1	0	1	0	0	0
chr1	154684958	1	0	1	0	0	0
chr1	154684959	1	0	1	0	0	0
chr1	154684960	1	0	1	0	0	0
chr1	154684961	1	0	1	0	0	0
chr1	154684962	1	0	1	0	0	0
chr1	154684963	1	0	1	0	0	0
chr1	154684964	1	0	1	0	0	0
chr1	154684965	1	0	1	0	0	0
chr1	154684966	1	0	1	0	0	0
chr1	154684967	1	0	1	0	0	0
chr1	154684968	1	0	1	0	0	0
chr1	154684969	1	0	1	0	0	0
chr1	154684970	1	0	1	0	0	0
chr1	154684971	1	0	1	0	0	0
chr1	154684972	1	0	1	0	0	0
chr1	154684973	1	0	1	0	0	0
chr1	154684974	1	0	1	0	0	0
chr1	154684975	1	0	1	0	0	0
chr1	154684976	1	0	1	0	0	0
chr1	154684977	1	0	1	0	0	0
chr1	154684978	1	0	1	0	0	0
chr1	154684979	1	0	1	0	0	0
chr1	154684980	1	0	1	0	0	0
chr1	154684981	1	0	1	0	0	0
chr1	154684982	1	0	1	0	0	0
chr1	154684983	1	0	1	0	0	0
chr1	154684984	1	0	1	0	0	0
chr1	154684985	1	0	1	0	0	0
chr1	154684986	1	0	1	0	0	0
chr1	154684987	1	0	1	0	0	0
chr1	154684988	1	0	1	0	0	0
chr1	154684989	1	0	1	0	0	0
chr1	154684990	1	0	1	0	0	0
chr1	154684991	1	0	1	0	0	0
chr1	154684992	1	0	1	0	0	0
chr1	154684993	1	0	1	0	0	0
chr1	154684994	1	0	1	0	0	0
chr1	154684995	1	0	1	0	0	0
chr1	154684996	1	0	1	0	0	0
chr1	154684997	1	0	1	0	0	0
chr1	154684998	1	0	1	0	0	0
chr1	154684999	1	0	1	0	0	0
chr1	154685000	1	0	1	0	0	0
chr1	154685001	1	0	1	0	0	0
chr1	154685002	1	0	1	0	0	0
chr1	154685003	1	0	1	0	0	0
chr1	154685004	1	0	1	0	0	0
chr1	154685005	1	0	1	0	0	0
chr1	154685006	1	0	1	0	0	0
chr1	154685007	1	0	1	0	0	0
chr1	154685008	1	0	1	0	0	0
chr1	154685009	1	0	1	0	0	0
chr1	154685010	1	0	1	0	0	0
chr1	154685011	1	0	1	0	0	0
chr1	154685012	1	0	1	0	0	0
chr1	154685013	1	0	1	0	0	0
chr1	154685014	1	0	1	0	0	0
chr1	154685015	1	0	1	0	0	0
chr1	154685016	1	0	1	0	0	0
chr1	154685017	1	0	1	0	0	0
chr1	154685018	1	0	1	0	0	0
chr1	154685019	1	0	1	0	0	0
chr1	154685020	1	0	1	0	0	0
chr1	154685021	1	0	1	0	0	0
chr1	154685022	1	0	1	0	0	0
chr1	154685023	1	0	1	0	0	0
chr1	154685704	1	0	1	0	0	0
chr1	154685705	1	0	1	0	0	0
chr1	154685706	1	0	1	0	0	0
chr1	154685707	1	0	1	0	0	0
chr1	154685708	1	0	1	0	0	0
chr1	154685709	1	0	1	0	0	0
chr1	154685710	1	0	1	0	0	0
chr1	154685711	1	0	1	0	0	0
chr1	154685712	1	0	1	0	0	0
chr1	154685713	1	0	1	0	0	0
chr1	154685714	1	0	1	0	0	0
chr1	154685715	1	0	1	0	0	0
chr1	154685716	1	0	1	0	0	0
chr1	154685717	1	0	1	0	0	0
chr1	154685718	1	0	1	0	0	0
