chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154684945	1	0	1	0	0	0
chr1	154684946	1	0	1	0	0	0
chr1	154684947	1	0	1	0	0	0
chr1	154684948	1	0	1	0	0	0
chr1	154684949	1	0	1	0	0	0
chr1	154684950	1	0	1	0	0	0
chr1	154684951	1	0	1	0	0	0
chr1	154684952	1	0	1	0	0	0
chr1	154684953	1	0	1	0	0	0
chr1	154684954	1	0	1	0	0	0
chr1	154684955	1	0	1	0	0	0
chr1	154684956	1	0	1	0	0	0
chr1	154684957	1	0	1	0	0	0
chr1	154684958	1	0	1	0	0	0
chr1	154684959	1	0	1	0	0	0
chr1	154684960	1	0	1	0	0	0
chr1	154684961	1	0	1	0	0	0
chr1	154684962	1	0	1	0	0	0
chr1	154684963	1	0	1	0	0	0
chr1	154684964	1	0	1	0	0	0
chr1	154684965	1	0	1	0	0	0
chr1	154684966	1	0	1	0	0	0
chr1	154684967	1	0	1	0	0	0
chr1	154684968	1	0	1	0	0	0
chr1	154684969	1	0	1	0	0	0
chr1	154684970	1	0	1	0	0	0
chr1	154684971	1	0	1	0	0	0
chr1	154684972	1	0	1	0	0	0
chr1	154684973	1	0	1	0	0	0
chr1	154684974	1	0	1	0	0	0
chr1	154684975	1	0	1	0	0	0
chr1	154684976	1	0	1	0	0	0
chr1	154684977	1	0	1	0	0	0
chr1	154684978	1	0	1	0	0	0
chr1	154684979	1	0	1	0	0	0
chr1	154684980	1	0	1	0	0	0
chr1	154684981	1	0	1	0	0	0
chr1	154684982	1	0	1	0	0	0
chr1	154684983	1	0	1	0	0	0
chr1	154684984	1	0	1	0	0	0
chr1	154684985	1	0	1	0	0	0
chr1	154684986	1	0	1	0	0	0
chr1	154684987	1	0	1	0	0	0
chr1	154684988	1	0	1	0	0	0
chr1	154684989	1	0	1	0	0	0
chr1	154684990	1	0	1	0	0	0
chr1	154684991	1	0	1	0	0	0
chr1	154684992	1	0	1	0	0	0
chr1	154684993	2	0	2	0	0	0
chr1	154684994	2	0	2	0	0	0
chr1	154684995	2	0	2	0	0	0
chr1	154684996	2	0	2	0	0	0
chr1	154684997	2	0	2	0	0	0
chr1	154684998	2	0	2	0	0	0
chr1	154684999	2	0	2	0	0	0
chr1	154685000	2	0	2	0	0	0
chr1	154685001	3	0	3	0	0	0
chr1	154685002	3	0	3	0	0	0
chr1	154685003	3	0	3	0	0	0
chr1	154685004	3	0	3	0	0	0
chr1	154685005	3	0	3	0	0	0
chr1	154685006	3	0	3	0	0	0
chr1	154685007	3	0	3	0	0	0
chr1	154685008	3	0	3	0	0	0
chr1	154685009	3	0	3	0	0	0
chr1	154685010	3	0	3	0	0	0
chr1	154685011	3	0	3	0	0	0
chr1	154685012	3	0	3	0	0	0
chr1	154685013	3	0	3	0	0	0
chr1	154685014	3	0	3	0	0	0
chr1	154685015	3	0	3	0	0	0
chr1	154685016	3	0	3	0	0	0
chr1	154685017	3	0	3	0	0	0
chr1	154685018	3	0	3	0	0	0
chr1	154685019	3	0	3	0	0	0
chr1	154685020	3	0	3	0	0	0
chr1	154685021	3	0	3	0	0	0
chr1	154685022	3	0	3	0	0	0
chr1	154685023	3	0	3	0	0	0
chr1	154685024	3	0	3	0	0	0
chr1	154685025	3	0	3	0	0	0
chr1	154685026	3	0	3	0	0	0
chr1	154685027	3	0	3	0	0	0
chr1	154685028	3	0	3	0	0	0
chr1	154685029	3	0	3	0	0	0
chr1	154685030	3	0	3	0	0	0
chr1	154685031	3	0	3	0	0	0
chr1	154685032	3	0	3	0	0	0
chr1	154685033	3	0	3	0	0	0
chr1	154685034	3	0	3	0	0	0
chr1	154685035	3	0	3	0	0	0
chr1	154685036	3	0	3	0	0	0
chr1	154685037	3	0	3	0	0	0
chr1	154685038	3	0	3	0	0	0
chr1	154685039	3	0	3	0	0	0
chr1	154685040	3	0	3	0	0	0
chr1	154685041	3	0	3	0	0	0
chr1	154685042	3	0	3	0	0	0
chr1	154685043	3	0	3	0	0	0
chr1	154685044	3	0	3	0	0	0
chr1	154685045	3	0	3	0	0	0
chr1	154685046	2	0	2	0	0	0
chr1	154685047	2	0	2	0	0	0
chr1	154685048	2	0	2	0	0	0
chr1	154685049	2	0	2	0	0	0
chr1	154685050	2	0	2	0	0	0
