chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154685107	1	1	0	0	0	0
chr1	154685108	1	1	0	0	0	0
chr1	154685109	1	1	0	0	0	0
chr1	154685110	1	1	0	0	0	0
chr1	154685111	1	1	0	0	0	0
chr1	154685112	1	1	0	0	0	0
chr1	154685113	1	1	0	0	0	0
chr1	154685114	1	1	0	0	0	0
chr1	154685115	1	1	0	0	0	0
chr1	154685116	1	1	0	0	0	0
chr1	154685117	1	1	0	0	0	0
chr1	154685118	2	1	1	0	0	0
chr1	154685119	2	1	1	0	0	0
chr1	154685120	2	1	1	0	0	0
chr1	154685121	2	1	1	0	0	0
chr1	154685122	2	1	1	0	0	0
chr1	154685123	2	1	1	0	0	0
chr1	154685124	2	1	1	0	0	0
chr1	154685125	2	1	1	0	0	0
chr1	154685126	2	1	1	0	0	0
chr1	154685127	2	1	1	0	0	0
chr1	154685128	2	1	1	0	0	0
chr1	154685129	2	1	1	0	0	0
chr1	154685130	2	1	1	0	0	0
chr1	154685131	2	1	1	0	0	0
chr1	154685132	2	1	1	0	0	0
chr1	154685133	2	1	1	0	0	0
chr1	154685134	2	1	1	0	0	0
chr1	154685135	2	1	1	0	0	0
chr1	154685136	2	1	1	0	0	0
chr1	154685137	2	1	1	0	0	0
chr1	154685138	2	1	1	0	0	0
chr1	154685139	2	1	1	0	0	0
chr1	154685140	2	1	1	0	0	0
chr1	154685141	2	1	1	0	0	0
chr1	154685142	2	1	1	0	0	0
chr1	154685143	2	1	1	0	0	0
chr1	154685144	2	1	1	0	0	0
chr1	154685145	2	1	1	0	0	0
chr1	154685146	2	1	1	0	0	0
chr1	154685147	2	1	1	0	0	0
chr1	154685148	2	1	1	0	0	0
chr1	154685149	2	1	1	0	0	0
chr1	154685150	2	1	1	0	0	0
chr1	154685151	2	1	1	0	0	0
chr1	154685152	2	1	1	0	0	0
chr1	154685153	2	1	1	0	0	0
chr1	154685154	2	1	1	0	0	0
chr1	154685155	2	1	1	0	0	0
chr1	154685156	2	1	1	0	0	0
chr1	154685157	2	1	1	0	0	0
chr1	154685158	2	1	1	0	0	0
chr1	154685159	2	1	1	0	0	0
chr1	154685160	2	1	1	0	0	0
chr1	154685161	2	1	1	0	0	0
chr1	154685162	2	1	1	0	0	0
chr1	154685163	2	1	1	0	0	0
