chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr1	154685055	1	0	1	0	0	0
chr1	154685056	1	0	1	0	0	0
chr1	154685057	1	0	1	0	0	0
chr1	154685058	1	0	1	0	0	0
chr1	154685059	1	0	1	0	0	0
chr1	154685060	1	0	1	0	0	0
chr1	154685061	1	0	1	0	0	0
chr1	154685062	1	0	1	0	0	0
chr1	154685063	1	0	1	0	0	0
chr1	154685064	1	0	1	0	0	0
chr1	154685065	1	0	1	0	0	0
chr1	154685066	1	0	1	0	0	0
chr1	154685067	1	0	1	0	0	0
chr1	154685068	1	0	1	0	0	0
chr1	154685069	1	0	1	0	0	0
chr1	154685070	1	0	1	0	0	0
chr1	154685071	1	0	1	0	0	0
chr1	154685072	1	0	1	0	0	0
chr1	154685073	1	0	1	0	0	0
chr1	154685074	1	0	1	0	0	0
chr1	154685075	1	0	1	0	0	0
chr1	154685076	1	0	1	0	0	0
chr1	154685077	1	0	1	0	0	0
chr1	154685078	1	0	1	0	0	0
chr1	154685079	1	0	1	0	0	0
chr1	154685080	1	0	1	0	0	0
chr1	154685081	1	0	1	0	0	0
chr1	154685082	1	0	1	0	0	0
chr1	154685083	1	0	1	0	0	0
chr1	154685084	1	0	1	0	0	0
chr1	154685085	1	0	1	0	0	0
chr1	154685086	1	0	1	0	0	0
chr1	154685087	1	0	1	0	0	0
chr1	154685088	1	0	1	0	0	0
chr1	154685089	1	0	1	0	0	0
chr1	154685090	1	0	1	0	0	0
chr1	154685091	1	0	1	0	0	0
chr1	154685092	1	0	1	0	0	0
chr1	154685093	1	0	1	0	0	0
chr1	154685094	1	0	1	0	0	0
chr1	154685095	1	0	1	0	0	0
chr1	154685096	1	0	1	0	0	0
chr1	154685097	1	0	1	0	0	0
chr1	154685098	1	0	1	0	0	0
chr1	154685099	1	0	1	0	0	0
chr1	154685100	1	0	1	0	0	0
chr1	154685101	1	0	1	0	0	0
chr1	154685102	1	0	1	0	0	0
chr1	154685103	1	0	1	0	0	0
chr1	154685104	1	0	1	0	0	0
chr1	154685105	2	0	2	0	0	0
chr1	154685106	2	0	2	0	0	0
chr1	154685107	2	0	2	0	0	0
