chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr19	17941354	1	0	1	0	0	0
chr19	17941355	1	0	1	0	0	0
chr19	17941356	1	0	1	0	0	0
chr19	17941357	1	0	1	0	0	0
chr19	17941358	1	0	1	0	0	0
chr19	17941359	1	0	1	0	0	0
chr19	17941360	1	0	1	0	0	0
chr19	17941361	1	0	1	0	0	0
chr19	17941362	1	0	1	0	0	0
chr19	17941363	1	0	1	0	0	0
chr19	17941364	1	0	1	0	0	0
chr19	17941365	1	0	1	0	0	0
chr19	17941366	1	0	1	0	0	0
chr19	17941367	1	0	1	0	0	0
chr19	17941368	1	0	1	0	0	0
chr19	17941369	1	0	1	0	0	0
chr19	17941370	1	0	1	0	0	0
chr19	17941371	1	0	1	0	0	0
chr19	17941372	1	0	1	0	0	0
chr19	17941373	1	0	1	0	0	0
chr19	17941374	1	0	1	0	0	0
chr19	17941375	1	0	1	0	0	0
chr19	17941376	1	0	1	0	0	0
chr19	17941377	1	0	1	0	0	0
chr19	17941378	1	0	1	0	0	0
chr19	17941379	1	0	1	0	0	0
chr19	17941380	1	0	1	0	0	0
chr19	17941381	1	0	1	0	0	0
chr19	17941382	1	0	1	0	0	0
chr19	17941383	1	0	1	0	0	0
chr19	17941384	1	0	1	0	0	0
chr19	17941385	1	0	1	0	0	0
chr19	17941386	1	0	1	0	0	0
chr19	17941387	1	0	1	0	0	0
chr19	17941388	1	0	1	0	0	0
chr19	17941389	1	0	1	0	0	0
chr19	17941390	1	0	1	0	0	0
chr19	17941391	1	0	1	0	0	0
chr19	17941392	1	0	1	0	0	0
chr19	17941393	1	0	1	0	0	0
chr19	17941394	1	0	1	0	0	0
chr19	17941395	1	0	1	0	0	0
chr19	17941396	1	0	1	0	0	0
chr19	17941397	1	0	1	0	0	0
chr19	17941398	1	0	1	0	0	0
chr19	17941399	1	0	1	0	0	0
chr19	17941400	1	0	1	0	0	0
chr19	17941401	1	0	1	0	0	0
chr19	17941402	1	0	1	0	0	0
chr19	17941403	1	0	1	0	0	0
chr19	17941404	1	0	1	0	0	0
chr19	17941405	1	0	1	0	0	0
chr19	17941406	1	0	1	0	0	0
chr19	17941407	1	0	1	0	0	0
chr19	17941408	1	0	1	0	0	0
chr19	17941409	1	0	1	0	0	0
chr19	17941410	1	0	1	0	0	0
chr19	17941411	1	0	1	0	0	0
chr19	17941412	1	0	1	0	0	0
chr19	17941413	1	0	1	0	0	0
chr19	17941414	1	0	1	0	0	0
chr19	17941415	1	0	1	0	0	0
chr19	17941416	1	0	1	0	0	0
chr19	17941417	1	0	1	0	0	0
chr19	17941418	1	0	1	0	0	0
chr19	17941419	1	0	1	0	0	0
chr19	17941420	1	0	1	0	0	0
chr19	17941421	1	0	1	0	0	0
chr19	17941422	1	0	1	0	0	0
chr19	17941423	1	0	1	0	0	0
chr19	17941424	1	0	1	0	0	0
chr19	17941425	1	0	1	0	0	0
chr19	17941426	1	0	1	0	0	0
chr19	17941427	1	0	1	0	0	0
chr19	17941428	1	0	1	0	0	0
chr19	17941429	1	0	1	0	0	0
chr19	17941430	1	0	1	0	0	0
chr19	17941431	1	0	1	0	0	0
chr19	17941432	1	0	1	0	0	0
chr19	17941433	1	0	1	0	0	0
chr19	17941434	1	0	1	0	0	0
chr19	17941435	1	0	1	0	0	0
chr19	17941436	1	0	1	0	0	0
chr19	17941437	1	0	1	0	0	0
chr19	17941438	1	0	1	0	0	0
chr19	17941439	1	0	1	0	0	0
chr19	17941440	1	0	1	0	0	0
chr19	17941441	1	0	1	0	0	0
chr19	17941442	1	0	1	0	0	0
chr19	17941443	1	0	1	0	0	0
chr19	17941444	1	0	1	0	0	0
chr19	17941445	1	0	1	0	0	0
chr19	17941446	1	0	1	0	0	0
chr19	17941447	1	0	1	0	0	0
chr19	17941448	1	0	1	0	0	0
chr19	17941449	1	0	1	0	0	0
chr19	17941450	1	0	1	0	0	0
chr19	17941451	1	0	1	0	0	0
chr19	17941452	1	0	1	0	0	0
