chromosome	position	reads_all	reads_fwd	reads_rev	reads_pp	reads_pp_fwd	reads_pp_rev
chr19	17940081	1	0	1	0	0	0
chr19	17940082	1	0	1	0	0	0
chr19	17940083	1	0	1	0	0	0
chr19	17940084	1	0	1	0	0	0
chr19	17940085	1	0	1	0	0	0
chr19	17940086	1	0	1	0	0	0
chr19	17940087	1	0	1	0	0	0
chr19	17940088	1	0	1	0	0	0
chr19	17940089	1	0	1	0	0	0
chr19	17940090	1	0	1	0	0	0
chr19	17940091	1	0	1	0	0	0
chr19	17940092	1	0	1	0	0	0
chr19	17940093	1	0	1	0	0	0
chr19	17940094	1	0	1	0	0	0
chr19	17940095	1	0	1	0	0	0
chr19	17940096	1	0	1	0	0	0
chr19	17940097	1	0	1	0	0	0
chr19	17940098	1	0	1	0	0	0
chr19	17940099	2	0	2	0	0	0
chr19	17940100	2	0	2	0	0	0
chr19	17940101	2	0	2	0	0	0
chr19	17940102	2	0	2	0	0	0
chr19	17940103	2	0	2	0	0	0
chr19	17940104	2	0	2	0	0	0
chr19	17940105	2	0	2	0	0	0
chr19	17940106	2	0	2	0	0	0
chr19	17940107	2	0	2	0	0	0
chr19	17940108	2	0	2	0	0	0
chr19	17940109	2	0	2	0	0	0
chr19	17940110	2	0	2	0	0	0
chr19	17940111	2	0	2	0	0	0
chr19	17940112	2	0	2	0	0	0
chr19	17940113	2	0	2	0	0	0
chr19	17940114	2	0	2	0	0	0
chr19	17940115	2	0	2	0	0	0
chr19	17940116	2	0	2	0	0	0
chr19	17940117	2	0	2	0	0	0
chr19	17940118	2	0	2	0	0	0
chr19	17940119	2	0	2	0	0	0
chr19	17940120	2	0	2	0	0	0
chr19	17940121	2	0	2	0	0	0
chr19	17940122	2	0	2	0	0	0
chr19	17940123	2	0	2	0	0	0
chr19	17940124	2	0	2	0	0	0
chr19	17940125	2	0	2	0	0	0
chr19	17940126	3	0	3	0	0	0
chr19	17940127	3	0	3	0	0	0
chr19	17940128	3	0	3	0	0	0
chr19	17940129	3	0	3	0	0	0
chr19	17940130	3	0	3	0	0	0
chr19	17940131	3	0	3	0	0	0
chr19	17940132	3	0	3	0	0	0
chr19	17940133	3	0	3	0	0	0
chr19	17940134	3	0	3	0	0	0
chr19	17940135	3	0	3	0	0	0
chr19	17940136	3	0	3	0	0	0
chr19	17940137	3	0	3	0	0	0
chr19	17940138	3	0	3	0	0	0
chr19	17940139	3	0	3	0	0	0
chr19	17940140	3	0	3	0	0	0
chr19	17940141	3	0	3	0	0	0
chr19	17940142	3	0	3	0	0	0
chr19	17940143	3	0	3	0	0	0
chr19	17940144	3	0	3	0	0	0
chr19	17940145	3	0	3	0	0	0
chr19	17940146	3	0	3	0	0	0
chr19	17940147	3	0	3	0	0	0
chr19	17940148	3	0	3	0	0	0
chr19	17940149	3	0	3	0	0	0
chr19	17940150	3	0	3	0	0	0
chr19	17940151	3	0	3	0	0	0
chr19	17940152	3	0	3	0	0	0
chr19	17940153	3	0	3	0	0	0
chr19	17940154	3	0	3	0	0	0
chr19	17940155	3	0	3	0	0	0
chr19	17940156	3	0	3	0	0	0
chr19	17940157	3	0	3	0	0	0
chr19	17940158	3	0	3	0	0	0
chr19	17940159	3	0	3	0	0	0
chr19	17940160	3	0	3	0	0	0
chr19	17940161	3	0	3	0	0	0
chr19	17940162	3	0	3	0	0	0
chr19	17940163	3	0	3	0	0	0
chr19	17940164	3	0	3	0	0	0
chr19	17940165	3	0	3	0	0	0
chr19	17940166	3	0	3	0	0	0
chr19	17940167	3	0	3	0	0	0
chr19	17940168	3	0	3	0	0	0
chr19	17940169	3	0	3	0	0	0
chr19	17940170	3	0	3	0	0	0
chr19	17940171	3	0	3	0	0	0
chr19	17940172	3	0	3	0	0	0
chr19	17940173	3	0	3	0	0	0
chr19	17940174	3	0	3	0	0	0
chr19	17940175	3	0	3	0	0	0
chr19	17940176	3	0	3	0	0	0
chr19	17940177	3	0	3	0	0	0
chr19	17940178	3	0	3	0	0	0
chr19	17940179	3	0	3	0	0	0
chr19	17940180	3	0	3	0	0	0
chr19	17940181	3	0	3	0	0	0
chr19	17940182	3	0	3	0	0	0
chr19	17940183	3	0	3	0	0	0
chr19	17940184	3	0	3	0	0	0
chr19	17940185	3	0	3	0	0	0
chr19	17940186	3	0	3	0	0	0
chr19	17940187	3	0	3	0	0	0
chr19	17940188	3	0	3	0	0	0
chr19	17940189	3	0	3	0	0	0
chr19	17940190	3	0	3	0	0	0
